Inflation rate, end of period consumer prices (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;52,4;6,5;13,3;10,6;4,3;16,1;18,8;-9,8;10,2;9,3;5,9;7,2;1,5;1,1;4,6;3;0,8
Albania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0;104;236,6;30,9;15,8;6;17,4;42,1;8,7;-1;4,2;3,5;1,7;3,3;2,2;2;2,5;3;2,2;3,5;3,5;1,7;2,5;1,8;0,7;1,9;2,2;1,8;1,8
Algeria;14,1;6,6;5,3;12,7;10,7;12,5;11,9;3,2;8,6;10,7;47,4;25,9;31,7;20,5;29;29,8;18,7;5,7;5;2,6;0,3;4,2;2,1;5,6;2,2;1,2;3,8;4,8;4,9;5,8;2,7;5,2;9;1,1;5,3;4,4;7;4,9;2,7
Angola;no data;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;175,7;495,8;1837,9;972;3783,9;1650,8;149,6;134,8;329;268,4;116,1;105,6;76,6;31;18,5;12,2;11,8;13,2;14;15,3;11,4;9;7,7;7,5;12,1;41,1;23,7;18,6
Antigua and Barbuda;17,7;7,2;2,6;3,1;3,2;-0,7;2;5,8;5,5;4,9;7,9;3,2;2,9;-0,5;0,1;-1,3;3,2;-1,1;4,7;1,1;0,4;0,9;2,5;1,8;2,8;2,5;0;5,2;0,7;2,4;2,9;4;1,8;1,1;1,3;0,9;-1,1;2,4;1,7
Argentina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,7;-1,8;-0,7;-1,5;41;3,7;6,1;12,3;9,8;8,5;7,2;7,7;10,9;9,5;10,8;10,9;23,9;no data;no data;24,8;47,6
Armenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10896,2;1884,5;31,9;5,8;21,9;-1,3;2;0,4;2,9;2,8;7,4;1,7;0,4;5,4;6,7;5,3;6,7;8,5;4,7;3,2;5,6;4,6;-0,1;-1,1;2,7;1,9
Aruba;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,1;2,8;1,5;3,7;-12,3;1,8;4,2;2,2;2,8;3,8;2,5;9,9;-1,8;6,8;-0,7;6,1;-3,8;0,1;2,2;-0,9;-0,3;-0,3;4,6
Australia;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,8;6,9;1,5;0,3;1,8;2,8;4,9;1,7;-0,3;1,5;1,8;5,8;3,1;3,1;2,4;2,6;2,7;3,3;3;3,7;2,1;2,6;3;2,1;2,6;1,7;1,7;1,4;2;1,8
Austria;6,7;6,4;4,7;3,8;5;2,8;1,1;1,6;1,9;2,5;3,1;2,7;3,7;3,1;2,4;0,6;2,2;0,9;0,4;1,7;1,9;1,8;1,7;1,3;2,5;1,5;1,6;3,5;1,5;1,1;2,2;3,3;2,8;1,9;0,7;1;1,5;2,3;1,7
