;1990;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Российская ;1925;17464172;26333273;32173286;34873724;41493568;47489498;60391454;74441095;82302969;93185612;108001247
Центральный;431;4358855;6296105;8304173;9280004;11481926;13199939;18409503;25151424;26832797;30674303;34970822
федеральный округ;;;;;;;;;;;;
Белгородская область;18;154391;214329;247369;264218;295272;332176;425857;507024;586006;671563;797428
Брянская область;14;123603;158390;191104;203623;218523;234250;311385;327029;350832;384939;431052
Владимирская область;18;135800;183274;221794;219687;219803;254161;290393;328569;369170;421136;506112
Воронежская область;26;235504;313132;375790;395404;428766;469878;562523;674657;738634;788059;1019463
Ивановская область;13;84587;106561;131905;144334;146922;160051;207383;260005;300365;350925;564135
Калужская область;12;110400;131045;179030;187474;202519;219137;281488;323872;383147;449711;513811
Костромская область;9;90668;118361;159813;176457;189028;209665;242020;263477;279921;295091;312406
Курская область;16;137988;206046;249278;246170;259718;290680;327734;360692;399626;435966;494722
Липецкая область;17;139471;208488;256852;279807;330185;364208;453206;524693;579269;635096;717970
Московская область;63;685595;1007563;1282486;1431287;1762773;2143837;2932730;3459831;3939219;4442527;5012245
Орловская область;11;71243;104635;119397;124752;135776;154206;187520;218125;237728;258382;298079
Рязанская область;15;122622;187267;241753;245709;289479;346379;402878;477383;525645;577233;673713
Смоленская область;16;138150;193051;215980;245734;276228;309351;373569;418597;440985;477280;543205
Тамбовская область;14;127462;162004;201944;212086;243714;269738;340731;391686;418694;467691;521673
Тверская область;19;188672;240683;306629;339189;368001;429239;537076;589581;663770;729864;825225
Тульская область;23;168150;232726;266508;274181;287642;335199;377757;431106;492051;562328;635993
Ярославская область;19;199812;272638;359037;384339;480593;535264;648365;717989;770917;821370;934472
г. Москва;108;1444737;2255912;3297504;3905553;5346984;6142520;9506888;14877108;15356818;17905142;20169118
Северо-Западный;221;1789585;2629404;3417342;3663691;4134214;4976071;6244131;7196426;8041564;9107642;10905713
федеральный округ;;;;;;;;;;;;
Республика Карелия;13;103488;148241;174757;198482;214925;243546;296563;323513;347961;393841;408974
Республика Коми;24;227521;386680;445128;472593;578010;727893;843245;994739;1084970;1245540;1365693
Архангельская область;21;222595;271575;394995;402806;452384;541730;684202;846044;968119;1068113;1161604
в том числе Ненецкий;…;17761;23169;29997;34435;56407;76978;103611;214738;271344;317535;347152
автономный округ;;;;;;;;;;;;
Вологодская область;21;162550;252460;332752;344991;400094;478439;674525;723043;757254;828642;1018443
Калининградская область;11;80300;102325;136207;142772;178685;195805;251225;303919;346298;398091;447257
Ленинградская область;26;238689;345419;432513;485920;546302;611268;803905;917978;1046094;1210457;1506817
Мурманская область;22;154603;214701;291420;311729;344444;406705;538057;623548;684809;799454;1163343
Новгородская область;10;71251;111122;139631;148288;162501;186183;223291;247086;263359;284453;316982
Псковская область;10;80780;111128;122694;129423;144880;164095;188943;211020;228645;243124;272812
г. Санкт-Петербург;63;447808;685753;947245;1026687;1111989;1420407;1740175;2005536;2314055;2635927;3243788
Южный;203;1256163;1767548;2138153;2341881;2752590;3001054;3813016;4526183;5062626;5706003;6548818
федеральный округ;;;;;;;;;;;;
Республика Адыгея;...;49258;50317;50972;52581;51313;58091;74408;93766;101212;109480;118216
Республика Калмыкия;4;24220;34613;40427;41465;58485;61232;98472;106663;114144;119600;113426
Краснодарский край;46;516894;666157;780300;896631;1079840;1114617;1385585;1645865;1870428;2139060;2471453
Астраханская область;12;110982;177818;215272;230042;275408;315059;367910;466376;529737;623538;747640
Волгоградская область;35;227818;360671;450274;471854;540678;621663;879288;1047580;1115884;1200283;1346669
Ростовская область;46;326991;477972;600908;649308;746866;830392;1007353;1165933;1331221;1514042;1751414
Северо-Кавказский;;538669;735870;853445;902083;1053567;1139523;1573198;1824682;2058011;2317317;2637978
федеральный округ;;;;;;;;;;;;
Республика Дагестан;10;176853;228062;242053;256898;312331;339844;431688;525036;610455;702603;821966
Республика Ингушетия;9;5739;9425;13783;17310;24538;25310;40475;38864;40638;45758;40918
Кабардино-Балкарская Республика;6;51765;68057;79410;80069;85088;90672;105499;120959;135976;158744;185443
Карачаево-Черкесская Республика;...;33788;42799;58170;60474;64592;68159;91481;101153;112083;116719;126319
Республика Северная;5;46347;65384;86484;91942;96529;98675;113037;119133;151730;171315;182119
Осетия - Алания;;;;;;;;;;;;
Чеченская Республика;9;…;…;…;…;…;…;185769;189968;207814;231128;300776
Ставропольский край;30;224177;322143;373545;395390;470489;516863;605249;729569;799315;891050;980437
Приволжский;402;3570321;5137048;6046752;6438858;7462180;8456510;10204265;11863782;13202934;14792989;17166375
федеральный округ;;;;;;;;;;;;
Республика Башкортостан;50;432691;581436;672147;721830;868425;974675;1153973;1326927;1485177;1604725;1703359
Республика Марий Эл;8;102150;88400;103379;112068;133723;141867;170447;193250;204323;225000;264186
Республика Мордовия;10;82806;127103;157478;158416;183836;204886;261867;335090;341899;353809;390900
