;1990;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Российская Федера­ция;249;1165234;1504712;1762407;2186365;2865014;3611109;4730023;6716222;8781616;7976013;9152096;10776839
Центральный;55,3;303918;349312;435810;563111;770409;964158;1225593;1779599;2278329;1928138;2103011;2360371
федеральный округ;;;;;;;;;;;;;
Белгородская область;2,7;9242;14031;10830;15336;22685;35022;52073;83510;104218;73127;96313;132289
Брянская область;1,9;2808;3467;4738;6528;6751;8496;12462;21010;25298;26858;41989;48617
Владимирская область;1,9;4852;6224;8850;10327;12491;17327;22253;37775;45056;51546;50088;57987
Воронежская область;3,2;8262;10409;15964;19756;21845;28652;38867;65319;94168;94788;132275;152210
Ивановская область;1,4;2058;2470;3176;5121;8997;12068;14734;17416;26051;31956;29961;31009
Калужская область;1,5;5293;6356;7451;9353;10479;13624;18297;35012;66270;60349;74489;69172
Костромская область;1,2;4636;4843;6222;5855;12500;14083;11821;13919;16848;11334;15100;15201
Курская область;2,1;5425;6646;10413;10112;15198;17864;23241;33523;46752;41183;46093;58244
Липецкая область;1,9;6265;8410;10985;17200;26575;30312;44565;64707;88089;84317;101600;117790
Московская область;8,5;50729;52701;71787;105176;154969;181260;236931;401143;481617;380061;391809;393043
Орловская область;1,7;4881;5141;5132;5950;7812;9610;12715;24119;27242;19791;20970;35470
Рязанская область;2;6162;9873;7086;9515;18326;23629;25945;33630;53231;38036;40622;53078
Смоленская область;2,2;6701;9072;9721;11427;11315;14371;16029;25178;37562;34633;48833;60564
Тамбовская область;1,6;2527;3772;5341;8257;11316;14698;19667;30861;42701;48795;53674;65601
Тверская область;2,2;9555;10687;14353;22094;29791;23845;24326;36384;50222;70047;82618;84478
Тульская область;2,2;10197;7871;9539;13655;14032;20804;24361;36208;55363;61518;71526;72579
Ярославская область;2,2;8112;13500;13828;17861;26795;42466;37143;44203;55174;57377;72291;69894
г. Москва;14,9;156215;173839;220396;269588;358531;456025;590162;775682;962468;742422;732761;843142
Северо-Западный ;25,5;116663;168114;199102;285159;359562;483265;651271;832478;1040669;933693;1134405;1259724
федеральный округ;;;;;;;;;;;;;
Республика Карелия;1,3;6396;8362;9191;9984;13741;15280;18081;19154;26133;18692;22798;29698
