млрд. $ (по ППС, в постоянных ценах 2005 г.);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
США;5796.4;5943.7;5826;6089.1;6527.2;6795.6;7028.5;7251.1;7548.4;7817.5;7962.6;7941.8;8212.2;8448.1;8795.7;9019.9;9361.4;9783.2;10213.8;10711.1;11158.1;11280.1;11486.3;11779.5;12189.4;12564.3;12898.4;13144.4;13097.2;12690;12992;13225.9;13518.19239
Китай;514.1183274;540.8524804;590.0700561;654.3876922;753.8546215;855.6249954;930.9199949;1038.906714;1156.303173;1203.711603;1249.452644;1364.402287;1558.147412;1776.28805;2008.981784;2227.960799;2450.756879;2678.677269;2887.614095;3107.072767;3368.066879;3647.61643;3979.549525;4377.504478;4819.63243;5364.250895;6045.510758;6903.973286;7566.754721;8262.896156;9122.237356;9970.60543;10748.31265
Япония;2082.749251;2169.742437;2243.00614;2311.658682;2414.848791;2567.789783;2640.48588;2748.941912;2945.40037;3103.572863;3276.516304;3385.438872;3413.166627;3419.005282;3448.531068;3515.513385;3607.270204;3664.828839;3591.4169;3584.257865;3665.172318;3678.200603;3688.850776;3751.012032;3839.563303;3889.582375;3955.42928;4042.139656;4000.035273;3778.954264;3954.755443;3932.200819;4008.682125
Индия;615.6346567;652.6109277;675.2939426;724.5153949;752.1972286;791.719922;829.5369322;862.431022;945.4640086;1001.693999;1057.122281;1068.294282;1126.862405;1180.397116;1258.998864;1354.36163;1456.609462;1515.599536;1609.330514;1745.529295;1814.915004;1904.64851;1979.073298;2136.290774;2303.963786;2517.884104;2751.14;3020.789145;3138.326753;3404.45008;3763.496731;4001.745552;4131.279786
Германия;1633.152571;1641.795877;1635.313398;1661.027232;1707.917164;1747.676369;1787.651657;1812.717243;1879.918943;1953.170957;2055.81021;2160.826371;2202.138929;2180.071351;2233.957296;2271.420857;2289.382839;2329.155798;2372.521153;2416.912907;2490.813631;2528.533792;2528.790392;2519.296201;2548.548571;2565.997353;2660.939255;2747.926566;2777.692135;2635.279282;2744.847369;2827.985683;2846.974063
Россия;;;;;;;;;;1930.183816;1872.278386;1777.78563;1519.454288;1387.73978;1213.304276;1163.030669;1121.161565;1136.857827;1076.604362;1145.507041;1260.057745;1324.219687;1387.036297;1488.232445;1595.027249;1696.72917;1835.070829;1991.695596;2096.218855;1932.275989;2019.300397;2105.948514;2178.438916
Великобритания;1022.325322;1008.795274;1029.910054;1067.237562;1095.742676;1135.182634;1180.729906;1234.595759;1296.721874;1326.305893;1305.733508;1282.515289;1293.514523;1333.497162;1394.524801;1438.862467;1483.662549;1540.935016;1595.093682;1645.605979;1715.305019;1764.797993;1807.73409;1876.69727;1931.273973;1984.852827;2036.467482;2110.445671;2090.019135;2006.952942;2043.064445;2063.337796;2068.964113
Франция;1117.912111;1128.854254;1156.140088;1170.382822;1187.875287;1207.001473;1234.229712;1263.707739;1322.692399;1378.082212;1414.188482;1428.885886;1450.002616;1440.325811;1472.695399;1502.84447;1518.887409;1552.055669;1604.487279;1657.30621;1718.294196;1749.837509;1766.091287;1781.977356;1827.323965;1860.699796;1906.601506;1950.175255;1948.602095;1887.278586;1919.831396;1958.744259;1959.016109
Мексика;704.1664323;765.9401407;761.1307825;729.1914776;755.5166091;775.110057;746.0130465;759.8571611;769.3207114;801.619051;842.24756;877.8093636;909.6620695;927.4052523;968.7513724;908.5145403;955.2106216;1019.931388;1069.974584;1111.417433;1184.793038;1182.9331;1192.712226;1208.832073;1257.831348;1298.150277;1365.006992;1409.509588;1426.291273;1341.370732;1412.210459;1467.112855;1524.689074
Бразилия;920.952616;880.491878;885.6008929;855.4037314;900.4761786;972.0267708;1049.675138;1087.459553;1086.343029;1121.969202;1073.724526;1089.959965;1084.870779;1135.481639;1196.052316;1248.879937;1275.730856;1318.785992;1319.254322;1322.626298;1379.575223;1397.715204;1434.83816;1451.292153;1534.217781;1582.6431;1645.243207;1745.528266;1835.759842;1829.733996;1967.579119;2021.3434;2038.98383