$ (по ППС, в постоянных ценах 2005 г.);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
США;25509.517;25902.31233;25148.49092;26044.94593;27678.15117;28562.06183;29269.19665;29927.48329;30872.92791;31673.00735;31898.50294;31392.8714;32014.62688;32502.81819;33427.71144;33873.99635;34749.84595;35880.97867;37026.10801;38385.53612;39544.95555;39583.61008;39934.95799;40603.85346;41629.71122;42516.39347;43228.11115;43635.58521;43069.58199;41366.28989;42000.96516;42446.78168;43063.35706
Китай;523.9502539;544.180142;585.0213221;639.4813812;727.079904;814.0746264;872.6365967;958.3700843;1049.629343;1076.039515;1100.659931;1185.632603;1337.500032;1507.321586;1685.620731;1849.152636;2012.859331;2177.653613;2325.092775;2480.231467;2667.469383;2867.961183;3108.0518;3397.628437;3718.636985;4114.572834;4611.303228;5238.676581;5712.24562;6206.823728;6819.319174;7417.887727;7957.616378
Япония;17834.50575;18442.66317;18936.47173;19383.51556;20120.72182;21264.6354;21733.82511;22515.51639;24021.92566;25208.5258;26522.55036;27319.33144;27474.79757;27453.95133;27596.85877;28025.68089;28683.53627;29064.95181;28410.86069;28300.49637;28889.19617;28928.27;28944.64887;29369.48615;30052.70233;30441.34813;30960.81029;31635.87641;31322.69952;29625.39008;31029.74657;30764.23557;31425.48865
Индия;880.7796531;912.6083224;923.2342758;968.6212306;983.5865638;1012.770825;1038.294567;1056.475075;1133.876244;1176.560685;1216.634361;1205.275381;1246.874532;1281.497624;1341.569016;1416.986251;1496.802229;1530.197419;1596.959577;1702.930969;1741.323607;1797.684676;1838.081897;1953.11449;2074.472921;2233.862855;2406.337468;2606.161267;2671.684162;2860.550527;3121.615618;3277.013344;3340.603306
Германия;20860.6754;20939.16213;20876.33254;21260.25543;21936.11623;22496.99718;23001.05029;23287.7583;24056.92122;24801.76681;25881.05018;27005.63876;27313.48724;26862.60536;27431.2698;27809.43998;27948.33134;28392.29962;28916.54191;29438.55973;30297.62732;30704.74918;30656.27991;30524.27883;30885.4106;31114.53059;32302.18373;33402.79265;33828.87411;32175.88586;33565.05764;34572.93563;34765.90134
Россия;;;;;;;;;;13066.4145;12625.61963;11961.63224;10219.0094;9343.790602;8179.432344;7850.835818;7588.798928;7717.766162;7328.874682;7829.368262;8612.658286;9073.131172;9546.037536;10292.10332;11088.16108;11852.80594;12877.69003;14016.15479;14767.30437;13616.20737;14181.57581;14731.03325;15177.26875
Великобритания;18153.94751;17907.45085;18288.82017;18945.2087;19420.46148;20073.86834;20830.99551;21735.05637;22778.14829;23237.25158;22808.53394;22333.78475;22464.49274;23103.4162;24099.31474;24799.83665;25506.96829;26423.44825;27272.5535;28042.54987;29126.02811;29857.19679;30471.29269;31506.04556;32258.94126;32957.66985;33607.49636;34605.04398;34042.99186;32469.1732;32809.15094;32880.58192;32722.52204
Франция;20242.98399;20337.78072;20713.17438;20843.90825;21028.11004;21240.61799;21594.3688;21984.10852;22882.43765;23713.58323;24211.74119;24401.59381;24639.28686;24368.90335;24823.8637;25240.62015;25419.85039;25883.21413;26659.17643;27395.54235;28209.88964;28519.54742;28576.03584;28629.60357;29142.93705;29452.52232;29969.54093;30465.50379;30271.3815;29168.36762;29521.68133;29963.22362;29819.09954
Мексика;10009.04442;10650.44146;10367.40669;9738.091653;9895.293581;9955.260566;9394.421339;9381.048154;9309.827804;9506.087042;9784.815001;9987.580211;10134.61665;10118.56562;10356.37204;9523.947273;9827.114781;10305.61028;10627.59858;10862.51368;11406.10278;11229.67991;11175.70569;11187.05655;11499.48367;11723.371;12174.87729;12415.3249;12405.9807;11521.5515;11979.41757;12291.36813;12616.63968
Бразилия;7564.886665;7065.936088;6944.504813;6557.045804;6752.004351;7135.553203;7550.348956;7670.718513;7520.410596;7628.361649;7174.984493;7163.553161;7017.366879;7231.854402;7501.916156;7714.334686;7760.27771;7900.448592;7784.481333;7689.403358;7905.6533;7898.114827;7998.260898;7984.971606;8337.674155;8502.32443;8745.045832;9187.137096;9572.937783;9456.43329;10079.28675;10264.00602;10263.89152