RU-50634;Кыштовский район
RU-50644;Северный район
RU-50655;Усть-Таркский район
RU-50608;Венгеровский район
RU-50630;Куйбышевский район
RU-50650;Татарский район
RU-50656;Чановский район
RU-50604;Барабинский район
RU-50658;Чистоозёрный район
RU-50632;Купинский район
RU-50613;Здвинский район
RU-50603;Баганский район
RU-50617;Карасукский район
RU-50654;Убинский район
RU-50619;Каргатский район
RU-50610;Доволенский район
RU-50627;Краснозёрский район
RU-50625;Кочковский район
RU-50659;Чулымский район
RU-50621;Колыванский район
RU-50623;Коченёвский район
RU-50642;Ордынский район
RU-50648;Сузунский район
RU-50615;Искитимский район
RU-50657;Черепановский район
RU-50636;Маслянинский район
RU-50652;Тогучинский район
RU-50606;Болотнинский район
RU-50638;Мошковский район
RU-50640;Новосибирский район
RU-50701;Новосибирск
RU-50712;Искитим
