RU-98601;Абыйский район
RU-98603;Алданский район
RU-98606;Аллаиховский район
RU-98608;Амгинский район
RU-98610;Анабарский национальный (долгано-эвенкийский) район
RU-98612;Булунский район
RU-98614;Верхневилюйский район
RU-98615;Верхнеколымский район
RU-98616;Верхоянский район
RU-98618;Вилюйский район
RU-98620;Горный район
RU-98622;Жиганский район
RU-98624;Кобяйский район
RU-98627;Ленский район
RU-98629;Мегино-Кангаласский район
RU-98631;Мирнинский район
RU-98633;Момский район
RU-98635;Намский район
RU-98660;Нерюнгринский район
RU-98637;Нижнеколымский район
RU-98626;Нюрбинский район
RU-98639;Оймяконский район
RU-98642;Оленёкский район
RU-98641;Олёкминский район
RU-98646;Среднеколымский район
RU-98648;Сунтарский район
RU-98604;Таттинский район
RU-98650;Томпонский район
RU-98652;Усть-Алданский район
RU-98654;Усть-Майский район
RU-98656;Усть-Янский район
RU-98644;Хангаласский район
RU-98658;Чурапчинский район
RU-98659;Эвено-Бытантайский национальный район
RU-98701;Якутск
