СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
20. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;;;;
Удельный вес организаций, использовавших информационные и коммуникационные технологии, в процентах от общего числа обследованных организаций:;;;;;;;;;;;;;;;;;;;;;;;;;;
персональные компьютеры;;;;;;;;;;;;;84,6;87,6;91,1;93,3;93,3;93,7;93,7;93,8;94,1;94;94;93,8;92,3;92,4
серверы1);;;;;;;;;;;;;8,3;8,4;9,3;11,3;13;14,5;16;18,2;19,7;18,9;19,7;26,6;47,7;50,8
локальные вычислительные сети;;;;;;;;;;;;;45,8;49,7;52,4;57;56,4;59,3;60,5;68,4;71,3;71,7;73,4;67,2;63,5;62,3
электронную почту;;;;;;;;;;;;;48,6;53,2;56;63,6;69,1;74,4;78,5;81,9;83,1;85,2;86,5;84,2;84;87,6
глобальные информационные сети;;;;;;;;;;;;;50,1;57,3;54,3;62,5;68,7;74,7;79,3;83,4;85,6;87,5;88,7;89,8;89;89,6
из них сеть Интернет;;;;;;;;;;;;;43,4;48,8;53,3;61,3;67,8;73,7;78,3;82,4;84,8;86,9;88,1;89;88,1;88,7
"из них использующие широкополосный доступ
к сети Интернет2)";;;;;;;;;;;;;;;;;31;39,2;47,3;56,7;63,4;76,6;79,4;81,2;79,5;81,8
Удельный вес организаций, имевших веб-сайты в сети Интернет, в процентах ;;;;;;;;;;;;;13,5;14,4;14,8;21,1;19,8;22,8;24,1;28,5;33;37,8;41,3;40,3;42,6;45,9
Число персональных компьютеров в обследованных организациях, тыс.шт. ;;;;;;;;;;;;;4150,5;4558,3;5709,6;6684;7528,4;8267,3;8743,7;9288,1;9972,2;10807,5;11438;11740,8;11992,3;12422,1
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;
в составе локальных вычислительных сетей, тыс.шт.;;;;;;;;;;;;;2794,2;3177,9;4057,6;4871,5;5731;6369,1;6893,6;7480,2;8018,3;8733,7;9394,5;…;…;…
имевшие доступ к глобальным информационным сетям;;;;;;;;;;;;;1204;1513,4;2032;2606,3;3267,5;3873,5;4313,5;4997,1;5663,2;6508,1;7220,8;8157,5;8362;8782,2
в том числе к сети Интернет;;;;;;;;;;;;;986;1218,8;1686,1;2232;2888,4;3411,5;3866,4;4553,3;5198,3;6066,5;6764,4;7277,6;7561,5;8117,9
