СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;
22. ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Государственные финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Доходы консолидированного бюджета Российской Федерации1), млрд.руб. (до 1998 г. - трлн. руб.);0,31;5,3;49,7;172,4;437,0;558,5;711,6;686,8;1213,6;2097,7;2683,7;3519,2;4138,7;5429,9;8579,6;10625,8;13368,3;16169,1;13599,7;16031,9;20855,4;23435,1;24442,7;26766,1;26922,0;28181,5;;;;;;;;;;;;;;;;;
Расходы консолидированного бюджета Российской Федерации1), млрд.руб.(до 1998 г. - трлн. руб.);0,35;6,0;57,7;230,4;486,1;652,7;839,5;842,1;1258,0;1960,1;2419,4;3422,3;3964,9;4669,7;6820,6;8375,2;11378,6;14157,0;16048,3;17616,7;19994,6;23174,7;25290,9;27611,7;29741,5;31323,7;;;;;;;;;;;;;;;;;
Профицит, дефицит (-) консолидированного бюджета Российской Федерации1), млрд.руб.(до 1998 г. - трлн. руб.);-0,04;-0,6;-7,9;-65,5;-49,1;-94,2;-127,9;-155,3;-44,4;137,6;264,3;97,0;173,8;760,2;1759,0;2250,6;1989,7;2012,1;-2448,6;-1584,7;860,7;260,4;-848,2;-845,6;-2819,5;-3142,1;;;;;;;;;;;;;;;;;
Источники финансирования дефицита федерального бюджета1), млрд.руб. (до 1998 г. - трлн. руб.);;;;;43,1;74,3;93,1;146,3;51,4;-102,9;-272,1;-150,5;-227,6;-730,0;-1612,9;-1994,1;-1794,6;-1705,1;2322,3;1812,0;-442,0;39,4;323,0;334,7;1961,0;2956,4;;;;;;;;;;;;;;;;;
Внешний долг органов государственного управления 2), на конец года, млрд.долл.США ;;;114,4;122,8;124,5;138,4;149,7;154,4;145,5;126,6;110,4;103,3;103,2;100,7;71,1;44,7;37,4;29,5;31,3;34,6;34,7;54,4;61,7;41,6;30,6;39,2;;;;;;;;;;;;;;;;;
Задолженность по налогам и сборам в консолидированный бюджет Российской Федерации, на начало года, млрд.руб.3) (до 1998 г. - трлн. руб.) ;;;;;15,1;56,8;128,2;181,8;259,0;371,6;461,7;475,0;520,5;522,4;892,0;754,2;757,5;574,9;559,1;699,0;704,5;675,3;728,2;770,3;802,7;827,5;;;;;;;;;;;;;;;;;
Поступление средств в Пенсионный фонд Российской Федерации4), млрд.руб. (до 1998 г. - трлн. руб.) ;;1,3;10,6;38,3;88,3;131,7;178,3;166,7;276,5;431,3;532,1;699,9;843,1;1015,8;1349,6;1637,6;1946,8;2730,2;3222,6;4610,1;5255,6;5890,4;6388,4;6159,1;7126,6;7625,2;;;;;;;;;;;;;;;;;
Расходование средств Пенсионного фонда Российской Федерации4), млрд.руб. (до 1998 г .- трлн. руб.);;0,9;10,4;37,3;88,7;129,6;176,6;167,0;271,4;341,1;514,8;789,6;804,1;967,5;1299,1;1537,3;1786,5;2357,8;3008,7;4249,2;4922,1;5451,2;6378,5;6190,1;7670,3;7829,7;;;;;;;;;;;;;;;;;
Поступление средств в Фонд социального страхования Российской Федерации4), млрд.руб. (до 1998 г. - трлн. руб.);;0,2;2,0;7,5;17,6;27,1;31,5;32,5;51,9;86,6;89,0;116,4;137,2;159,3;186,7;218,9;295,4;360,5;440,0;463,8;558,6;630,8;603,5;569,8;541,3;616,4;;;;;;;;;;;;;;;;;
Расходование средств Фонда социального страхования Российской Федерации4), млрд.руб. (до 1998 г.  -трлн. руб.);;0,15;1,6;6,6;17,5;26,8;30,4;31,1;43,9;70,0;93,7;125,6;136,2;140,6;165,3;208,2;303,1;379,4;448,5;491,2;497,6;531,2;566,2;546,2;612,1;664,9;;;;;;;;;;;;;;;;;
Поступление средств в Федеральный фонд обязательного медицинского страхования5), млрд.руб. (до 1998 г. - трлн. руб.);;;0,1;0,3;0,5;0,8;1,1;1,3;2,0;2,9;4,0;5,1;5,8;6,8;83,0;125,5;157,8;162,6;126,6;101,8;348,4;966,5;1101,4;1250,5;1573,5;1657,6;;;;;;;;;;;;;;;;;
