СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Общая характеристика предприятий и организаций;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число предприятий и организаций по данным государственной регистрации;;608959;1244860;1946276;2249531;2504518;2727146;2901237;3106350;3346483;3593837;3845278;4149815;4417074;4767260;4506607;4674896;4771904;4907753;4823304;4866620;4886432;4843393;4886007;5043553;4764483;4561737;
в том числе по формам собственности:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственная ;;;;324594;322240;232763;142540;147872;149584;150758;155064;157050;161338;159190;160424;149285;141659;135007;129864;119446;115508;112580;116053;113716;110713;108001;103105;
муниципальная;;;;171116;197778;184356;177619;183322;197682;216647;231037;239256;246121;248247;252070;264317;262657;257627;252977;246449;239458;230897;225310;218943;211972;203043;195916;
частная;;;;1215938;1425548;1730482;2014101;2146843;2311905;2509567;2725903;2956810;3237745;3499163;3837557;3638823;3855399;3975511;4128132;4103583;4164605;4195016;4159501;4212175;4377776;4122214;3935974;
собственность общественных и религиозных организаций (объединений) ;;;;53505;95014;129547;157784;183137;213072;222957;236755;244320;251509;252777;252515;239189;212319;197398;187760;157031;149632;147326;144943;144438;145411;143802;140402;
прочие  форм собственности, включая смешанную российскую, собственность государственных корпораций, иностранную, совместную российскую и иностранную;;;;181123;208951;227370;235102;240063;234107;246554;245076;247842;253102;257697;264694;214993;202862;206361;209020;196795;197417;200613;197586;196735;197681;187423;186340;
Число предприятий и организаций по данным государственной регистрации по видам экономической деятельности:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;322197;300701;293241;261487;233572;222076;207615;193435;179933;169416;157998;149641;146822;133140;;
рыболовство, рыбоводство;;;;;;;;;;;;;5263;6327;7404;7832;8360;8678;8948;9197;8962;8676;8489;8391;8530;8187;;
добыча полезных ископаемых;;;;;;;;;;;;;11533;12826;14551;14806;16100;17215;17552;17314;17240;17280;17432;17834;18512;18187;;
в том числе;;;;;;;;;;;;;;;;;;;;;;;;;;;;
добыча топливно-энергетических полезных ископаемых;;;;;;;;;;;;;4503;5185;6100;6514;7004;7228;7345;7289;7146;7093;6991;6900;6862;6405;;
добыча полезных ископаемых, кроме топливно-энергетических;;;;;;;;;;;;;7030;7641;8451;8292;9096;9987;10207;10025;10094;10187;10441;10934;11650;11782;;
обрабатывающие производства;;;;;;;;;;;;;434566;452222;478413;409742;416135;410999;418601;402479;403942;404959;401872;403126;411964;387137;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство пищевых продуктов, включая напитки, и табака;;;;;;;;;;;;;64485;66548;69347;61292;59495;56799;56244;52266;51464;50848;49985;49992;51387;49282;;
текстильное и швейное производство;;;;;;;;;;;;;38744;39421;40466;30570;29652;27638;27760;26551;26309;26075;25781;25429;25705;23845;;
производство кожи, изделий из кожи и производство обуви;;;;;;;;;;;;;5930;5822;5842;4014;3694;3195;3131;2820;2776;2696;2573;2459;2470;2263;;
обработка древесины и производство изделий из дерева;;;;;;;;;;;;;40689;42546;45069;36197;36768;35946;36212;33685;32910;32194;31625;31118;31437;28982;;
"целлюлозно-бумажное производство; издательская и полиграфическая деятельность";;;;;;;;;;;;;46112;50737;55973;52315;54981;56371;58126;57190;57055;56462;54409;52680;52001;46122;;
производство кокса и нефтепродуктов;;;;;;;;;;;;;;2397;2727;2593;2674;2656;2663;2525;2461;2392;2223;2157;2130;1850;;
химическое производство;;;;;;;;;;;;;14944;15959;17049;15334;15470;15193;15523;14825;14853;14695;14310;14201;14624;14088;;
производство резиновых и пластмассовых изделий;;;;;;;;;;;;;13183;14530;16191;15718;17226;18056;18875;19330;20000;20544;20741;21303;21946;20712;;
производство прочей неметаллических минеральных продуктов;;;;;;;;;;;;;29168;30043;31366;25417;26666;27198;27847;27438;27737;28233;28792;29932;30864;29179;;
металлургическое производство и производство готовых металлических изделий;;;;;;;;;;;;;26592;29346;32783;31091;34229;36179;38211;38974;40685;42291;44006;45917;48287;46812;;
из них металлургическое производство;;;;;;;;;;;;;3730;4113;4620;4348;4717;4855;5000;4948;4951;4943;4900;4868;4919;4524;;
производство машин и оборудования;;;;;;;;;;;;;78021;74643;74234;57728;54894;50484;49944;44630;43898;43729;42528;42348;43163;40971;;
производство электрооборудования, электронного и оптического оборудования;;;;;;;;;;;;;30112;32729;35369;30378;31678;32165;33609;33147;34229;34960;35233;35758;36695;35137;;
производство транспортных средств и оборудования;;;;;;;;;;;;;8700;9197;10000;9173;9503;9620;9944;9754;9915;9978;9977;10028;10188;9626;;
из него:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство автомобилей, прицепов и полуприцепов;;;;;;;;;;;;;;3846;4076;3585;3632;3576;3644;3535;3557;3646;3607;3611;3666;3513;;
производство судов, летательных и космических аппаратов и прочих транспортных средств;;;;;;;;;;;;;;5351;5924;5588;5871;6044;6300;6219;6358;6332;6370;6417;6522;6113;;
производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;;12697;15291;18586;21840;24174;26010;28545;30332;31191;31903;32271;32582;32971;31846;;
строительство;;;;;;;;;;;;;301684;333214;371696;351751;390495;425967;433706;431812;437684;449475;463812;483560;512376;497836;;
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;;1572747;1682597;1831401;1724292;1807452;1797630;1846337;1788473;1799064;1784593;1711169;1697414;1754543;1585030;;
гостиницы и рестораны;;;;;;;;;;;;;71890;73952;79749;80928;84728;85945;90667;90843;93153;96426;99329;104805;110607;107260;;
транспорт и связь;;;;;;;;;;;;;141473;162229;184487;193474;214866;238045;254921;266040;278112;288602;300867;313444;330850;325268;;
из них связь;;;;;;;;;;;;;19155;20846;22969;23809;26070;27439;28851;29139;28618;28317;27711;27488;27359;24794;;
финансовая деятельность;;;;;;;;;;;;;90246;95385;102453;94213;98924;101195;104051;101148;102004;102243;101701;101542;102051;92387;;
операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;;544496;614230;689787;658983;709520;775439;834584;864045;892773;913802;924874;948368;985322;961278;;
"государственное управление и обеспечение военной безопасности;  социальное страхование";;;;;;;;;;;;;80601;83400;93261;100455;99795;100266;98498;94743;91575;88455;94841;96131;96081;96317;;
образование;;;;;;;;;;;;;167771;170857;171874;167525;166202;165175;163647;160403;158158;156344;152719;149408;146569;141726;;
здравоохранение и предоставление социальных услуг;;;;;;;;;;;;;67467;72570;75760;73263;75305;75003;77885;78199;80038;80810;81476;83232;85997;85893;;
предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;;324801;333916;346596;338105;322324;315739;314997;290876;290672;291713;292957;294995;298860;291077;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;129360;
добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;17641;
 из нее:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
добыча угля;;;;;;;;;;;;;;;;;;;;;;;;;;;874;
добыча сырой нефти и природного газа;;;;;;;;;;;;;;;;;;;;;;;;;;;1698;
добыча металлических руд;;;;;;;;;;;;;;;;;;;;;;;;;;;3106;
добыча прочих полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;8446;
обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;331588;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство пищевых продуктов;;;;;;;;;;;;;;;;;;;;;;;;;;;40042;
производство напитков;;;;;;;;;;;;;;;;;;;;;;;;;;;6630;
производство табачных изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;228;
производство текстильных изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;7276;
производство одежды;;;;;;;;;;;;;;;;;;;;;;;;;;;14966;
производство кожи, и изделий из кожи ;;;;;;;;;;;;;;;;;;;;;;;;;;;2201;
обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения;;;;;;;;;;;;;;;;;;;;;;;;;;;26145;
