СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
16. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Деятельность строительных организаций;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Объем работ, выполненных по виду экономической деятельности ""Строительство""1), млн. руб. (до 1998 г. -млрд. руб.)";;1533;16262;58940;145690;214286;229998;229520;307813;503837;703831;830996;1042721;1313651;1754406;2350840;3293323;4528145;3998342;4454156;5140310;5714109;6019465;6125191;7010356;7204235;7545912;;;;;;;;;;;;;;;;
в том числе организациями по формам собственности (в % к итогу)2):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    государственная;;;28,4;18,2;12,4;12,3;12,8;12,9;11,8;10,5;8,4;7,6;7,4;6,2;5,4;4,5;4,1;3,6;3,6;3,5;3,1;3,1;2,9;2,5;2,2;2,1;1,8;;;;;;;;;;;;;;;;
    муниципальная;;;1,2;1,1;1,2;0,9;0,9;1,2;1,0;0,9;1,0;0,9;0,7;0,7;0,8;0,6;0,6;0,5;0,4;0,4;0,4;0,4;0,4;0,3;0,2;0,3;0,2;;;;;;;;;;;;;;;;
    частная;;;24,4;34,8;43,2;48,3;49,5;53,8;57,5;63,9;68,6;72,4;76,3;78,1;81,4;84,1;86,0;88,2;89,0;89,2;88,6;88,5;88,1;89,8;91,4;90,5;91,6;;;;;;;;;;;;;;;;
    cмешанная российская;;;41,6;44,4;42,0;37,4;34,9;29,8;27,4;22,2;18,9;15,0;12,0;9,2;7,5;5,9;4,8;3,1;2,7;2,3;2,2;1,9;1,6;1,8;1,3;0,9;0,8;;;;;;;;;;;;;;;;
    прочие;;;4,4;1,5;1,2;1,1;1,9;2,3;2,3;2,5;3,1;4,1;3,6;5,8;4,9;4,9;4,5;4,6;4,3;4,6;5,7;6,1;7,0;5,6;4,9;6,2;5,6;;;;;;;;;;;;;;;;
"Объем работ, выполненных по виду экономической деятельности ""Строительство"", в процентах к предыдущему году (в сопоставимых ценах)3)";;64,0;92,0;76,0;93,8;83,2;94,5;94,2;103,9;113,5;110,4;102,9;112,8;110,1;113,2;118,1;118,2;112,8;86,8;105,0;105,1;102,5;100,1;97,7;96,1;97,8;98,6;;;;;;;;;;;;;;;;
Число действующих строительных организаций;67814;69049;95938;124908;127764;134620;136997;137156;136788;129340;118374;113082;113720;114705;112846;122598;131394;155036;175817;196234;209185;205075;217961;226838;232154;271604;279496;;;;;;;;;;;;;;;;
в том числе по формам собственности4):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    государственная;;;;;4778;3434;3174;3604;3303;3108;2762;2756;2455;2098;1877;1759;1559;1346;1249;1203;1108;950;879;818;832;778;759;;;;;;;;;;;;;;;;
    муниципальная;;;;;1050;606;576;967;897;1032;964;972;909;742;685;692;647;601;512;530;499;449;403;395;461;426;442;;;;;;;;;;;;;;;;
    частная;;;;;108639;115716;118609;118744;120714;115331;106191;102582;105096;107598;106834;116321;125464;150317;171291;192165;205416;201273;214055;223022;229943;269548;276944;;;;;;;;;;;;;;;;
    смешанная российская;;;;;12683;13837;13701;11568;9879;7787;6936;5309;3897;2742;2004;1715;1414;1076;864;775;605;606;522;405;293;242;283;;;;;;;;;;;;;;;;
    прочие;;;;;614;1027;937;2273;1995;2082;1521;1463;1363;1525;1446;2111;2310;1696;1901;1561;1557;1797;2102;2198;625;610;1068;;;;;;;;;;;;;;;;
Состояние парка основных строительных машин в строительных организациях (удельный вес машин с истекшим сроком службы в общем количестве машин, процентов)5);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
