СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
10. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовой внутренний продукт, млрд.руб.(1992-1997 гг.- трлн.руб);1,4;19,0;171,5;610,7;1428,5;2007,8;2342,5;2629,6;4823,2;7305,6;8943,6;10830,5;13208,2;17027,2;21609,8;26917,2;33247,5;41276,8;38807,2;46308,5;60282,5;68163,9;73133,9;79199,7;83387,2;86148,6;92037,2;
на душу населения1), руб.(1992-1997 гг.- тыс.руб);9,4;128,0;1155,3;4115,3;9627,7;13551,7;15836,9;17807,3;32763,2;49834,9;61267,3;74535,8;91312,5;118189,1;150571,0;188166,9;232817,4;289170,3;271787,1;324177,2;421671,5;475999,0;509619,0;542127,0;569561,3;587345,2;587345,2;
Темпы роста ВВП (в постоянных ценах), в процентах к предыдущему году;95,0;85,5;91,3;87,3;95,9;96,4;101,4;94,7;106,4;110,0;105,1;104,7;107,3;107,2;106,4;108,2;108,5;105,2;92,2;104,5;104,3;103,7;101,8;100,7;97,5;99,8;101,5;
Индекс-дефлятор ВВП, в процентах к предыдущему году2) ;228,6;1589,5;988,4;407,9;243,9;145,8;115,1;118,6;172,5;137,6;116,5;115,6;113,8;120,3;119,3;115,2;113,8;118,0;102,0;114,2;…;109,1;105,4;107,5;108,0;103,5;105,2;
"Динамика валового внутреннего продукта ( в постоянных ценах; 2011 г.- 100%)";85,0;72,6;66,3;57,9;55,5;53,5;54,3;51,4;54,6;60,1;63,2;66,2;71,0;76,1;80,9;87,5;95,0;100,0;92,2;96,3;100,0;103,7;105,6;106,3;103,6;103,4;…;
1) За 2003-2010 гг. показатели рассчитаны с использованием численности населения с учетом итогов Всероссийской переписи населения 2010 года.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Индекс-дефлятор за 2011. не публикуется в связи с различной методологией расчёта валовой добавленной стоимости в текущих ценах за 2010, 2011 гг. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Счет товаров и услуг (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
