СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
13. ОСНОВНЫЕ ФОНДЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Основные фонды на конец  года по полной учетной стоимости1), млн руб. (до 1997 г. - млрд руб.);2061;43215;63861;1221494;5306460;13250160;13419951;14277540;14334783;17464772;21495236;26333273;32173286;34873724;41493568;47489498;60391454;74441095;82302969;93185612;108001247;121268908;133521531;147429656;160725261;183403693;194649464;210940524
Основные фонды государственной формы собственности на конец года по полной учетной стоимости2), млн руб.(до 1997 г. - млрд руб.);1875;11106;16795;368891;1491115;3776296;3757586;3854936;3927730;4366043;5588761;7109984;7399856;8020957;9543521;10447690;14493949;15632630;16460594;20500835;23760274;26679160;28039522;32434524;35359557;42182849;42822882;48554819
Основные фонды негосударственной формы собственности на конец года по полной учетной стоимости2), млн руб. (до 1997 г. - млрд руб.);186;32109;47066;852603;3815345;9473864;9662365;10422604;10407053;13098729;15906475;19223289;24773430;26852767;31950047;37041808;45897505;58808465;65842375;72684777;84240973;94589748;105482009;114995132;125365704;141220844;151826582;162385705
Ввод в действие основных фондов, млн руб. (до 1997 г. - млрд руб.);175;2005;15093;72350;230407;334302;406472;428564;597306;843378;1117655;1615063;1815658;1972112;2943686;3252436;4296411;5744847;6356223;6275935;8813314;10338476;11160485;10887946;10721081;13256290;12484066;14907930
"Основные фонды на конец  года по полной учетной стоимости по видам экономической деятельности 1);3), млн руб. (до 1997 г.- млрд руб.)";2061;43215;63861;1221494;5306460;13250160;13419951;14277540;14334783;17464772;21495236;26333273;32173286;34873724;41493568;47489498;60391454;74441095;82302969;93185612;108001247;121268908;133521531;147429656;160725261;183403693;194649464;210940524
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;;1395777;1440084;1574699;1963327;2259571;2566917;2859877;3127209;3335020;3671833;3909034;4285130;4758488;;
рыболовство, рыбоводство;;;;;;;;;;;;;;56675;55139;59975;79318;91247;97356;113107;132742;143320;151434;148346;159828;187833;;
добыча полезных ископаемых;;;;;;;;;;;;;;2618033;3310147;4081090;4976884;6365455;7861116;9084573;10574297;12242237;14106953;15733599;18518184;21527321;;
обрабатывающие производства;;;;;;;;;;;;;;3196017;3639399;4218012;5122523;6001523;6951720;7989040;8876602;9862265;11378966;13550258;15099981;16437831;;
