СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность и состав населения на конец соответствующего года1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность населения, тыс.человек;148514,7;148561,7;148355,9;148459,9;148291,6;148028,6;147802,1;147539,4;146890,1;146303,6;145649,3;144963,6;144333,6;143801,0;143236,6;142862,7;142747,5;142737,2;142833,5;142865,4;143056,4;143347,1;143666,9;146267,3;146544,7;146804,4;146880,4;146780,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность городского населения, тыс.человек;109357,7;108668,4;108304,8;108321,7;108310,6;108187,8;108110,8;108053,2;107419,5;107071,7;106725,3;106321,2;106039,5;105182,1;104818,6;104731,7;104865,1;104915,5;105061,4;105421,2;105742,0;106118,3;106548,7;108282,2;108657,4;109032,4;109326,9;109453,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность сельского населения, тыс.человек;39157,0;39893,3;40051,1;40138,2;39981,0;39840,8;39691,3;39486,2;39470,6;39231,9;38924,0;38642,4;38294,1;38618,9;38418,0;38131,0;37882,4;37821,7;37772,1;37444,2;37314,4;37228,8;37118,2;37985,1;37887,3;37772,0;37553,5;37327,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность мужчин, человек;69599904;69662391;69585409;69659152;69517865;69345748;69210709;69058759;68698284;68338955;67921974;67490662;67071499;66696221;66301704;66051745;65975847;65960828;66015883;66050255;66176283;66353527;66546888;67771724;67896547;68044299;68119915;68096427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность женщин, человек;78914788;78899303;78770458;78800785;78773773;78682865;78591424;78480667;78191844;77964656;77727360;77472988;77262087;77104825;76934878;76810947;76771688;76776368;76817619;76815178;76880100;76993532;77120043;78495564;78648163;78760073;78760517;78684293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность мужчин в возрасте, лет:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0-4;5446527;5017457;4559209;4235159;3924656;3681160;3497983;3430767;3318535;3264689;3260493;3314496;3414687;3546945;3622961;3707465;3810558;3931448;4057142;4126534;4297663;4457392;4569189;4758296;4887993;4923684;4802893;4644956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9;6149155;6241378;6188887;6091339;5923274;5583814;5154773;4688617;4307568;3971061;3713738;3515513;3457812;3368158;3334938;3331459;3401897;3476868;3583573;3642979;3716234;3809375;3921555;4097859;4211668;4389167;4552880;4664469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-14;5538423;5664210;5851726;6024067;6147537;6312688;6405519;6340242;6200802;6010733;5653874;5211905;4758819;4392623;4043602;3803921;3607027;3524808;3416154;3381634;3364658;3428069;3496772;3651092;3712709;3791237;3889114;4004769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-19 ;5269518;5307692;5402735;5495469;5580853;5633962;5787588;5995073;6167206;6266381;6440121;6501078;6364426;6192247;6010532;5695481;5308668;4893025;4505137;4201550;3895343;3656700;3559891;3496839;3443026;3418141;3484480;3552070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-24;4889311;4998953;5113925;5235269;5285365;5363911;5383145;5463583;5514200;5600087;5664960;5832922;5993146;6094935;6097002;6193537;6277287;6246508;6239062;6147588;5897188;5519200;5082059;4743897;4307642;3993373;3744119;3627097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
