Раз.1;Раздел 1.  Государственное устройство Российской Федерации;
Раз.2;Раздел 2. Природные ресурсы и охрана окружающей среды;
Раз.3;Раздел 3.  Население;
Раз.4;Раздел 4. Труд;
Раз.5;Раздел 5. Уровень жизни населения ;
Раз.6;Раздел 6. Образование;
Раз.7;Раздел 7.  Здравоохранение;
Раз.8;Раздел 8. Культура;
Раз.9;Раздел 9.  Туризм и отдых;
Раз.10;Раздел 10. Преступность;
Раз.11;Раздел 11. Система национальных счетов;
Раз.12;Раздел 12. Инвестиции;
Раз.13;Раздел 13. Основные фонды;
Раз.14;Раздел 14. Предприятия и организации;
Раз.15;Раздел 15. Промышленное производство;
Раз.16;Раздел 16. Сельское, лесное хозяйство, рыболовство и рыбоводство;
Раз.17;Раздел 17. Строительство;
Раз.18;Раздел 18. Торговля и услуги населению;
Раз.19;Раздел 19. Транспорт;
Раз.20;Раздел 20. Информационные и коммуникационные технологии;
Раз.21;Раздел 21.  Наука и инновации;
Раз.22;Раздел 22. Финансы;
Раз.23;Раздел 23.  Цены и тарифы;
Раз.24;Раздел 24. Внешняя торговля;
