,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Всего,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в основной капитал3),,,,,,,,98.5,98.6,98.4,99.1,98.6,98.9,99.1,98.2,98.7,98.8,98.7,98.8,98.7,98.4,98.2,98.7,98.5,97.7,98.7,98.6,98.9,98.6,99.0,98.6,98.3,98.8,98.8,,,,,,,,,,,,,
Инвестиции в объекты интеллектуальной собственности,,,,,,,,1.0,1.2,1.5,0.7,0.5,0.5,0.4,0.8,0.6,0.5,0.5,0.4,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
"Затраты на научно-исследовательские, опытно-конструкторские 
и технологические работы ",,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в другие нефинансовые активы4),,,,,,,,0.5,0.2,0.1,0.2,0.9,0.6,0.5,0.7,0.4,0.4,0.5,0.5,0.5,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в непроизведенные нефинансовые активы5),,,,,,,,,,,,,,,,,,,,,,,1.3,1.5,2.3,1.3,1.4,1.1,1.4,1.0,1.4,1.7,1.2,1.2,,,,,,,,,,,,,
"Инвестиции в основной капитал, 
в фактически действовавших ценах, млн руб. (до 1998 г. - млрд  руб.) ",210.5,"2,670.2","27,124.5","108,809.9","266,973.6","375,958.1","408,797.3","407,086.3","670,438.8","1,165,234.2","1,504,712.1","1,762,407.3","2,186,365.2","2,865,013.9","3,611,109.0","4,730,022.9","6,716,222.4","8,781,616.4","7,976,012.8","9,152,096.0","11,035,652.0","12,586,090.4","13,450,238.2","13,902,645.3","13,897,187.7","14,748,846.9","16,027,302.0","17,782,012.3","19,329,038.3","20,393,742.4","23,239,504.0","28,413,875.0","34,038,863.0","39,533,661.0",,,,,,,,,,,,,
"Индексы физического объема инвестиций в основной капитал, в процентах 
к предыдущему году (в сопоставимых ценах)6) ",85.1,60.3,88.3,75.7,89.9,81.9,95.0,88.0,105.3,117.4,111.7,102.9,112.7,116.8,110.2,117.8,123.8,109.5,86.5,106.3,110.8,106.8,100.8,98.5,89.9,99.8,104.8,105.4,102.1,99.9,108.6,106.7,109.8,107.4,,,,,,,,,,,,,
Структура инвестиций в основной капитал по видам основных фондов в фактически действовавших ценах2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором основных фондов (ОКОФ) ОК 013-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего, млн руб  ",,,,,,,,"407,086.3","670,438.8","1,165,234.2","1,504,712.1","1,762,407.3","2,186,365.2","2,865,013.9","3,611,109.0","4,730,022.9","6,716,222.4","8,781,616.4","7,976,012.8","9,152,096.0","11,035,652.0","12,586,090.4","13,450,238.2","13,902,645.3","13,897,187.7","14,748,846.9",,,,,,,,,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
инвестиции  в жилища,,,,,,,,"66,310.8","95,963.2","131,999.6","171,517.1","214,539.6","275,819.1","340,784.7","434,264.4","557,241.6","876,252.6","1,193,839.5","1,036,902.3","1,111,719.7","1,395,584.1","1,533,702.6","1,681,513.4","2,014,388.4","2,172,739.6","2,170,369.1",,,,,,,,,,,,,,,,,,,,,
