,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Розничная торговля,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли 
(до 1998 г. - млрд  руб.), млн  руб. 
(в фактически действовавших ценах)",474,"5,085","53,869","195,694","512,026","728,929","852,857","1,042,799","1,797,390","2,352,274","3,070,014","3,765,364","4,529,633","5,642,498","7,041,509","8,711,920","10,868,976","13,944,183","14,599,153","16,512,047","19,104,336","21,394,526","23,685,914","26,356,237","27,526,793","28,240,885","29,745,536","31,579,372","33,624,303","33,873,660","39,472,018","42,577,016","48,155,722","55,791,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"оборот розничной торговли торгующих организаций 
и индивидуальных предпринимателей, осуществляющих деятельность 
вне рынка ",414,"3,974","40,653","145,133","376,037","533,680","633,166","771,077","1,312,725","1,735,155","2,294,218","2,842,888","3,454,649","4,381,551","5,545,798","7,000,310","9,218,579","12,113,250","12,655,449","14,457,154","16,898,443","19,126,304","21,453,830","24,057,249","25,358,189","26,298,361","27,879,585","29,799,469","31,843,525","32,286,818","37,673,097","40,605,885","46,094,201","53,691,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
продажа товаров на розничных рынках и ярмарках,60,"1,111","13,216","50,561","135,989","195,249","219,691","271,722","484,665","617,119","775,796","922,476","1,074,984","1,260,947","1,495,711","1,711,610","1,650,397","1,830,933","1,943,704","2,054,893","2,205,893","2,268,222","2,232,084","2,298,988","2,168,604","1,942,524","1,865,951","1,779,903","1,780,778","1,586,842","1,798,921","1,971,131","2,061,521","2,100,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли пищевыми продуктами, включая напитки, и табачными изделиями1) 
(до 1998 г. - млрд руб.), млн руб. 
(в фактически действовавших ценах)",200,"2,325","23,283","87,142","238,848","327,278","391,326","490,159","866,062","1,093,195","1,416,832","1,753,920","2,091,748","2,580,299","3,217,647","3,947,402","4,891,343","6,495,646","7,097,079","8,002,168","9,104,324","9,961,361","11,143,009","12,380,806","13,412,264","13,716,580","14,402,841","15,055,431","16,120,770","16,587,173","18,554,230","21,033,793","23,025,889","26,410,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли непродовольственными товарами2) 
(до 1998 г. - млрд  руб.), млн  руб. 
(в фактически действовавших ценах)",274,"2,760","30,586","108,552","273,178","401,651","461,531","552,640","931,328","1,259,079","1,653,182","2,011,444","2,437,885","3,062,199","3,823,862","4,764,518","5,977,633","7,448,537","7,502,074","8,509,879","10,000,012","11,433,165","12,542,905","13,975,431","14,114,529","14,524,305","15,342,695","16,523,941","17,503,533","17,286,487","20,917,787","21,543,223","25,129,833","29,381,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли на душу населения (до 1998 г. - тыс.руб.), руб. 
(в фактически действовавших ценах)",3.197,34.232,363,"1,319","3,451","4,920","5,766","7,062","12,304","16,162","21,181","26,109","31,557","39,166","49,063","60,901","76,111","97,688","102,245","115,591","133,580","149,217","164,708","179,896","187,304","191,618","201,407","213,636","227,345","229,329","268,120","290,205","329,159","381,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"пищевые продукты, включая напитки, и табачные изделия1)",1.35,15.651,157,587,"1,610","2,209","2,646","3,319","5,929","7,511","9,775","12,162","14,573","17,910","22,420","27,595","34,252","45,506","49,705","56,018","63,659","69,476","77,487","84,506","91,263","93,069","97,522","101,851","108,998","112,297","126,032","143,366","157,389","180,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
непродовольственные товары2),1.847,18.581,206,732,"1,841","2,711","3,120","3,743","6,375","8,651","11,406","13,947","16,984","21,256","26,643","33,306","41,859","52,182","52,540","59,573","69,921","79,741","87,221","95,390","96,041","98,549","103,886","111,785","118,347","117,032","142,088","146,839","171,770","201,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс физического объема оборота розничной торговли3), в процентах 
к предыдущему году",95.3,100.3,101.6,100.2,93.8,100.3,104.9,96.8,94.2,109.0,111.0,109.3,108.8,113.3,112.8,114.1,116.1,113.7,94.9,106.5,107.1,106.3,103.9,102.7,90.0,95.2,101.3,102.8,101.9,96.8,107.8,93.5,108.0,107.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс физического объема оборота розничной торговли пищевыми продуктами, включая напитки, 
и табачными изделиями1); 3), 
в процентах к предыдущему году",98.4,91.4,109.9,97.0,91.1,98.2,106.1,99.0,93.6,107.5,107.6,110.1,107.7,111.4,110.5,111.0,112.6,111.7,98.1,105.1,103.4,103.6,102.6,100.0,91.0,94.8,101.1,102.1,101.8,98.4,102.7,98.3,104.4,105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс физического объема оборота розничной торговли непродовольственными товарами2);3), в процентах к предыдущему году",93.0,106.8,94.6,102.6,95.9,102.0,103.9,94.9,94.7,110.5,113.9,108.6,109.7,115.1,115.1,116.8,119.1,115.3,91.8,108.0,110.8,108.6,104.9,105.1,89.1,95.5,101.5,103.5,102.0,95.4,112.7,89.4,111.5,109.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс физического объема оборота розничной торговли торгующих организаций и индивидуальных предпринимателей, осуществляющих деятельность вне рынка3), в процентах к предыдущему году",90.8,89.8,98.1,98.5,92.8,99.9,106.4,96.4,93.0,110.1,112.4,110.4,109.9,115.4,114.4,116.4,122.6,116.5,94.7,107.6,108.2,107.5,105.2,103.6,90.8,96.3,101.9,103.5,102.2,97.4,107.9,93.5,108.4,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Индекс физического объема продажи товаров на розничных рынках 
и ярмарках 3), в процентах 
к предыдущему году",145.9,172.7,114.0,105.5,96.4,101.1,100.9,97.9,97.5,106.1,106.9,106.0,105.4,106.7,107.2,105.6,89.7,98.3,96.2,99.6,99.3,97.6,92.3,93.2,81.3,83.1,92.4,92.4,95.7,85.6,104.9,95.0,99.8,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли государственных и муниципальных предприятий  (до 1998 г. - млрд руб.), млн руб. (в фактически действовавших ценах)",312,"2,849","11,840","27,182","61,257","63,774","60,958","57,370","84,115","98,689","116,945","132,176","140,914","149,465","155,153","185,505","194,715","205,443","215,091","216,749","216,857","209,876","201,470","207,732","227,326","233,922","218,562","217,777","226,314","236,598","246,780","269,292","284,163","319,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли организаций частной формы собственности  (до 1998 г. - млрд  руб.), млн  руб. (в фактически действовавших ценах)",162,2174,"38,551","150,799","382,934","572,795","678,621","862,425","1,480,808","1,949,848","2,593,700","3,236,956","3,913,794","4,866,716","6,078,282","7,507,414","9,287,687","11,821,643","12,383,483","13,937,683","15,959,744","17,748,767","19,917,497","22,271,766","23,707,664","24,153,205","25,537,742","27,300,139","28,434,933","28,354,404","32,825,361","37,496,266","43,148,172","50,509,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оборот розничной торговли организаций других форм собственности (до 1998 г. - млрд  руб.), млн  руб. (в фактически действовавших ценах)",1,62,"3,477","17,713","67,835","92,359","113,279","123,004","232,467","303,737","359,369","396,232","474,925","626,317","808,074","1,019,001","1,386,574","1,917,097","2,000,579","2,357,615","2,927,735","3,435,883","3,566,947","3,876,739","3,591,803","3,853,758","3,989,232","4,061,456","4,963,056","5,282,658","6,399,877","4,811,458","4,723,388","4,962,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Продажа мяса и птицы (включая пищевые субпродукты) 4), тыс. т","3,611","3,032","2,676","3,504","3,108","3,257","3,433","2,925","2,703","2,865","3,234","3,607","3,896","4,490","4,871","4,910","5,182","5,554","5,266","5,520","5,719","5,859","6,163","6,465","6,266","6,409","6,492","6,467","6,501","6,577","6,766","6,891","7,102","7,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Продажа растительных масел 4), тыс .т",364,420,440,415,427,429,499,489,503,571,611,622,811,900,"1,013","1,078","1,276","1,356","1,459","1,632","1,596","1,668","1,677","1,794","1,643","1,613","1,704","1,743","2,336","2,685","1,756","1,698","2,644","2,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Продажа животных масел 4), тыс. т",743,556,530,583,473,442,438,389,370,388,423,449,448,471,476,492,493,416,377,364,368,377,391,377,355,340,314,309,323,335,335,348,369,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
