,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,
8. КУЛЬТУРА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Число профессиональных театров1),393,421,439,460,470,489,506,523,539,547,556,571,568,579,588,590,594,586,601,604,618,643,658,661,665,651,649,657,671,669,679,666,706,728,,,,,,,,,,,,,,,
"Численность зрителей в театрах1), млн человек",50.5,44.2,41.4,34.6,31.6,29.1,27.7,27.6,29.3,30.8,31,30.1,29.1,28.2,28,28.6,29.3,30.4,30.2,31,32.9,33.9,35.8,37.2,38.2,38.9,39.6,40.8,41.1,16.1,25.5,36.0,41.6,42.8,,,,,,,,,,,,,,,
Число цирков,45,77,73,72,70,62,68,68,68,62,63,64,71,66,67,67,68,68,66,68,68,67,67,63,67,65,66,60,68,70,69,68,67,64,,,,,,,,,,,,,,,
"Численность зрителей в цирках1), млн человек",15.1,21.5,14.1,13.1,11.1,11.3,9.6,8.2,8.6,8.6,8.9,8.1,7.5,6.7,6.8,6.5,6.9,7.4,6.3,"11,32)",11.5,10.8,5.6,5.1,4.2,4.2,5.8,4.9,5.8,1.5,2.8,2.8,2.6,2.2,,,,,,,,,,,,,,,
Число музеев1) ,"1,282","1,425","1,478","1,547","1,725","1,814","1,871","1,942","1,979","2,047","2,113","2,189","2,229","2,269","2,285","2,368","2,468","2,495","2,539","2,578","2,631","2,687","2,727","2,731","2,758","2,742","2,742","2,809","2,861","2,917","2,981","3,036","3,119","3,216",,,,,,,,,,,,,,,
"Число посещений музеев1), млн",114.4,95.0,79.8,62.5,75.4,69.0,69.6,66.8,72.3,73.2,74.3,75.1,73.8,74.3,75.6,79.2,78.8,80.8,78.9,81.0,85.9,90.1,95.8,102.7,119.0,123.6,117.4,113.8,128.7,59.1,95.4,121.4,132.3,142.4,,,,,,,,,,,,,,,
"Число объектов культурного 
и археологического наследия1), тыс.",49.6,52.4,55.1,57.1,64.5,70.3,78,84.8,84.9,84.9,85,83.6,87.8,87.7,87.8,89.3,131.1,142.7,142.5,143.4,185.1,175.9,180.1,172.5,171.1,"168,0",158.1,149.3,151,153,154,156,159,161,,,,,,,,,,,,,,,
"Число организаций культурно-досугового типа1), тыс.",70.1,66.0,63.7,61.3,59.9,58.6,57.4,56.1,55.1,54.8,54.8,54.2,53.6,52.9,51.4,49.5,49.5,48.4,47.4,46.6,45.0,43.7,42.4,42.1,40.3,41.3,42.5,42.8,42.7,42.4,42.2,41.8,41.5,41.2,,,,,,,,,,,,,,,
"Число общедоступных библиотек1), тыс.",59.1,57.2,56.9,54.8,54.4,53.5,52.9,52.2,51.4,51.2,51.2,51.0,50.6,49.9,49.5,48.3,47.5,47.0,46.7,46.1,43.2,40.8,39.8,40.1,39.0,38.2,37.4,37.1,37.0,41.6,41.4,41.1,41.0,40.7,,,,,,,,,,,,,,,
"Библиотечный фонд1), млн экз.","1,083","1,063","1,034","1,117","1,105","1,082","1,069","1,053","1,034","1,027","1,022","1,014","1,007",988,977,958,945,942,934,923,888,864,851,854,839,831,818,810,802,840,829,819,887,880,,,,,,,,,,,,,,,
"Число книг и брошюр (печатных единиц)2), тыс.",34,29,29,30,34,36,45,46,48,60,70,70,81,89,96,102,109,123,128,122,123,117,121,112,112,117,117,117,115,100,108,108,96,103,,,,,,,,,,,,,,,
Число журналов и других периодических изданий2),"3,353","2,664","2,273","2,307","2,471","2,751","3,308","3,420","3,358","3,570","4,139","4,315","4,551","4,674","4,874","5,429","6,312","6,698","7,312","7,049","7,812","8,051","8,598","8,846","8,847","8,177","8,032","7,678","7,507","6,851","6,708","6,514","6,222","6,203",,,,,,,,,,,,,,,
Число газет (изданий)2),"4,863","4,837","4,650","4,526","5,101","4,881","5,500","5,436","5,535","5,758","5,532","6,663","8,086","7,517","7,535","8,250","8,516","8,978","9,563","9,659","10,152","10,681","11,109","11,061","10,504","10,051","9,542","8,984","8,503","7,867","7,324","6,937","6,565","6,536",,,,,,,,,,,,,,,
Охват населением теле- и радиовещанием3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Имеют возможность принимать одну телевизионную программу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Наземного эфирного аналового телевещания4),,,,,,,,,,,,,,,,,,,,98.6,98.6,98.7,97.6,96.9,97.2,97.1,97.2,97.0,60.8,54.4,43.6,49.5,47.9,45.6,,,,,,,,,,,,,,,
Цифрового телевещания,,,,,,,,,,,,,,,,,,,,6.0,18.2,30.8,43.9,61.3,70.7,88.0,96.8,97.8,97.8,97.7,97.6,98.6,98.7,98.7,,,,,,,,,,,,,,,
Общероссийские обязательные общедоступные телеканалы эфирного аналогового телевещания:5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россия""",,,,,,,,,,,,,,,,,,,,94.4,95.8,96.0,94.8,93.7,92.2,93.5,93.4,92.9,0.6,0.7,1.2,0.1,0.1, - ,,,,,,,,,,,,,,,
"""Россия-Культура""",,,,,,,,,,,,,,,,,,,,63.3,65.2,65.9,64.8,65.4,54.8,53.2,54.0,54.0,0.3,0.4,1.0,0.1,0.1, - ,,,,,,,,,,,,,,,
"""Россия-24""",,,,,,,,,,,,,,,,,,,,…,…,…,33.2,21.5,30.7,34.4,25.8,21.6,1.4,1.7,1.0,0.2,0.2, - ,,,,,,,,,,,,,,,
Первый канал,,,,,,,,,,,,,,,,,,,,96.4,97.3,97.5,96.1,95.3,96.0,96.1,95.7,95.4,0.6,0.7,1.2,0.1,0.1, - ,,,,,,,,,,,,,,,
