;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2 008,0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Валовой внутренний продукт, 
млрд руб (1992-1997 гг. -  трлн руб)";1,4;19,0;171,5;610,7;1 428,5;2 007,8;2 342,5;2 629,6;4 823,2;7 305,6;8 943,6;10 830,5;13 208,2;17 027,2;21 609,8;26 917,2;33 247,5;41 276,8;38 807,2;46 308,5;60 114,0;68 103,4;72 985,7;79 030,0;83 087,4;85 616,1;91 843,2;103 861,7;109 608,3;107 658,1;134 727,5;156 940,9;176 413,6;201 152,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"на душу населения, руб.
(1992-1997 гг. - тыс. руб)";9,4;128,0;1 155,3;4 115,3;9 627,7;13 551,7;15 836,9;17 807,3;32 763,2;49 834,9;61 267,3;74 535,8;91 312,5;118 189,1;150 571,0;188 166,9;232 817,4;289 170,3;271 787,1;324 177,2;420 324,1;474 990,8;507 530,2;539 424,1;565 361,8;580 916,0;621 870,5;702 627,7;741 097,4;728 860,2;915 156,8;1 069 708,4;1 205 841,9;1 376 477,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Темпы роста ВВП (в постоянных ценах), 
в процентах к предыдущему году";95,0;85,5;91,3;87,3;95,9;96,4;101,4;94,7;106,4;110,0;105,1;104,7;107,3;107,2;106,4;108,2;108,5;105,2;92,2;104,5;104,3;104,0;101,8;100,7;98,0;100,2;101,8;102,8;102,2;97,3;105,9;98,6;104,1;104,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индекс-дефлятор ВВП, в процентах 
к предыдущему году1) ";228,6;1 589,5;988,4;407,9;243,9;145,8;115,1;118,6;172,5;137,6;116,5;115,6;113,8;120,3;119,3;115,2;113,8;118,0;102,0;114,2;…;108,9;105,3;107,5;107,2;102,8;105,3;110,0;103,3;100,9;118,2;118,2;108,0;109,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Динамика валового внутреннего продукта (в постоянных ценах; 2011 г. - 100%)";85,0;72,6;66,3;57,9;55,5;53,5;54,3;51,4;54,6;60,1;63,2;66,2;71,0;76,1;80,9;87,5;95,0;100,0;92,2;96,3;100,0;104,0;105,9;106,6;104,5;104,7;106,6;109,6;112,0;109,1;115,5;113,8;118,5;123,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
___________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) Индекс-дефлятор за 2011 г. не публикуется в связи с различной методологией расчёта валовой добавленной стоимости в текущих ценах за 2010, 2011 гг. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
