;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;20101);2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;;;;;;
23. ВНЕШНЯЯ ТОРГОВЛЯ2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Экспорт товаров Российской Федерации  (по методологии платежного баланса)3), 
млн долл. США - всего";66128;81176;88501;85945;73742;69657;99220;96553;102068;129060;177 861;240 024;297 481;346 530;466 298;297 155;392 674;515 409;527 434;521 835;496 806;341 419;281 709;352 941;443 915;419 721;333 530;494 161;592 0774);424 7484);433 6344);;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
экспорт товаров Российской Федерации со странами дальнего зарубежья, млн долл. США;51552;65333;70877;67604;58422;58101;85354;81716;86096;108580;148 396;207 304;255 793;294 822;397 662;252 005;333 635;436 727;443 778;443 843;428 121;292 130;241 675;302 796;387 217;363 319;282 656;426 416;…;…;…;;;;;;;;;
"экспорт товаров Российской Федерации со странами СНГ, 
млн долл. США";14576;15843;17624;18341;15320;11556;13866;14836;15972;20480;29 465;32 720;41 689;51 708;68 636;45 149;59 039;78 682;83 656;77 993;68 686;49 289;40 034;50 145;56 698;56 402;50 873;67 745;…;…;…;;;;;;;;;
"Экспорт товаров Российской Федерации  (по данным таможенной статистики, с учетом взаимной торговли товарами с государствами-членами ЕАЭС)3), 
млн долл. США - всего";63286;78217;85189;85096;71314;72885;103093;99969;106712;133656;181 600;241 473;301 244;351 928;467 581;301 667;397 068;516 718;524 735;525 976;497 359;343 512;285 652;357 266;450 278;424 261;337 295;492 907;592,55);425,35);433,95);;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
экспорт товаров Российской Федерации со странами дальнего зарубежья, млн долл. США;49 204;63 687;69 294;68 472;57 614;62 179;89 269;85 352;91 001;113 157;152 129;208 846;258 934;299 267;397 925;254 856;337 467;437 283;445 478;452 036;433 173;298 420;247 687;309 090;395 161;370 240;288 605;427 587;…;…;…;;;;;;;;;
"экспорт товаров Российской Федерации со странами СНГ, 
млн долл. США";14 082;14 530;15 895;16 624;13 699;10 707;13 824;14 617;15 711;20 498;29 471;32 627;42 310;52 661;69 656;46 811;59 601;79 435;79 258;73 940;64 186;45 092;37 966;48 171;55 117;54 021;48 690;65 320;…;…;…;;;;;;;;;
"Импорт товаров Российской Федерации (по методологии платежного баланса)3), 
млн долл. США - всего";48 103;60 885;67 653;71 788;57 539;37 262;42 131;51 317;58 418;73 214;94 244;123 839;163 187;223 084;288 673;183 924;245 680;318 555;335 771;341 269;307 875;193 021;191 494;238 384;248 857;253 877;240 089;301 047;276 5104);303 0864);301 5484);;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
импорт товаров Российской Федерации со странами дальнего зарубежья, млн  долл. США;36 307;44 169;48 062;54 115;44 057;27 892;30 220;39 712;48 021;60 333;76 498;104 319;141 333;194 143;253 834;162 666;213 237;273 841;288 406;294 952;271 867;170 584;170 827;213 009;222 309;225 971;214 587;268 604;…;…;…;;;;;;;;;
импорт товаров Российской Федерации со странами СНГ, млн долл. США;11 796;16 716;19 591;17 673;13 483;9 370;11 911;11 605;10 397;12 881;17 746;19 520;21 854;28 940;34 838;21 258;32 442;44 714;47 365;46 318;36 009;22 437;20 667;25 375;26 548;27 906;25 502;32 443;…;…;…;;;;;;;;;
