;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. ЗДРАВООХРАНЕНИЕ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лечебно-профилактическая помощь населению;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число больничных организаций, тыс.;;12,6;12,6;12,3;12,1;11,8;11,5;11,1;10,9;10,7;10,6;10,3;10,1;9,8;9,5;7,5;6,8;6,5;6,5;6,3;6,3;6,2;5,9;5,6;5,4;5,4;5,3;5,3;5,1;5,1;5,1;5,2;5,2;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число больничных коек на 10 000 человек населения;;130,6;129,1;126,2;125,8;123,4;120,1;117,3;114,7;115,0;113,5;111,7;110,6;111,3;110,0;108,7;106,6;98,0;96,2;93,8;94,1;92,8;90,4;86,3;83,0;81,1;80,0;79,3;79,3;80,6;79,1;78,0;77,5;77,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число врачебных амбулаторно-поликлинических организаций, тыс.;;20,7;20,9;21,6;21,1;22,1;21,7;21,1;21,1;21,3;21,3;21,4;21,5;22,1;21,8;18,8;18,3;15,6;15,3;15,7;16,3;16,5;16,5;17,1;18,6;19,1;20,2;20,2;21,2;22,9;21,6;22,1;22,7;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мощность врачебных амбулаторно-поликлинических организаций, тыс. посещений в смену;;3 320,7;3 384,0;3 425,7;3 457,9;3 470,1;3 475,3;3 482,5;3 494,6;3 533,7;3 548,4;3 565,2;3 557,8;3 577,5;3 637,9;3 646,2;3 673,9;3 651,0;3 657,2;3 685,1;3 727,7;3 780,4;3 799,4;3 858,5;3 861,0;3 914,2;3 966,7;3 997,8;4 072,4;4 147,3;4 253,4;4 379,6;4 451,4;4 669,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мощность врачебных амбулаторно-поликлинических организаций на 10 000 человек населения, посещений в смену;;223,5;228,1;230,7;235,1;236,3;237,0;237,9;239,7;243,2;243,6;245,9;246,5;248,8;254,0;255,2;257,4;255,8;256,0;257,9;260,4;263,3;263,8;262,9;262,3;265,2;268,4;270,4;275,2;281,3;289,4;299,1;304,6;319,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число больничных коек, тыс.;;1 939,5;1 914,7;1 873,9;1 850,5;1 812,7;1 760,7;1 716,5;1 672,4;1 671,6;1 653,4;1 619,7;1 596,6;1600,7;1 575,4;1 553,6;1 521,7;1 398,5;1 373,4;1 339,5;1 347,1;1 332,3;1 301,9;1 266,8;1 222,0;1 197,2;1 182,7;1 172,8;1 173,6;1 188,8;1 162,1;1 141,9;1 132,4;1 127,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
терапевтического профиля;;482,0;478,6;464,4;453,2;444,2;427,9;407,9;393,4;394,8;366,8;352,3;345,0;340,4;329,7;326,1;320,7;251,8;304,7;296,1;299,2;302,8;294,3;280,3;266,2;258,9;257,8;255,5;254,3;199,0;213,9;248,5;252,3;253,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
хирургического профиля;;340,5;337,3;324,1;322,1;323,5;318,2;311,8;306,7;306,0;299,7;291,4;288,1;285,0;279,7;278,1;273,8;265,3;262,7;257,2;259,5;256,4;251,3;241,8;231,7;227,0;224,8;223,6;222,1;181,3;192,5;217,6;219,9;224,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
онкологических;;37,7;38,6;37,7;38,0;37,9;37,9;38,1;37,5;38,2;38,1;38,4;38,3;38,1;38,3;38,9;39,2;39,3;39,3;39,7;40,4;42,8;43,4;44,3;44,4;44,5;44,5;45,2;45,7;46,3;46,8;47,3;46,7;46,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
гинекологических;;117,5;118,7;114,4;111,6;109,4;105,6;101,4;97,7;98,1;92,2;87,1;84,6;82,3;81,7;79,1;76,7;72,9;71,1;68,8;66,9;64,6;61,1;57,5;53,2;51,0;49,1;48,2;46,8;35,9;38,9;43,7;43,2;42,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
туберкулезных;;91,7;90,7;88,2;89,6;88,6;87,3;87,3;87,5;89,3;86,9;85,3;84,8;84,6;84,3;84,5;84,5;84,1;84,9;84,0;91,0;93,2;90,9;86,5;82,1;79,9;77,2;75,4;72,6;68,7;63,9;61,6;59,1;55,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
инфекционных;;130,1;126,6;124,3;124,3;119,7;114,7;109,3;105,7;103,4;99,1;94,5;91,3;88,0;84,6;81,7;79,1;74,1;74,0;70,5;71,1;70,2;68,2;65,3;62,7;61,0;59,9;59,3;58,5;220,8;166,1;72,9;66,2;59,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
офтальмологических;;31,5;31,7;31,4;31,4;31,1;30,1;29,5;28,9;29,2;28,1;27,1;27,0;26,6;26,3;26,2;26,0;25,7;26,5;25,8;25,4;23,7;23,1;22,1;20,6;20,3;20,4;19,9;19,8;16,6;16,9;18,7;18,4;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
оториноларингологических;;37,0;35,7;34,7;33,7;32,9;32,0;30,7;29,7;29,6;28,1;26,6;25,8;25,2;24,5;23,7;23,3;21,7;21,0;20,3;20,9;20,2;19,6;18,7;18,0;17,5;17,1;17,0;16,8;13,5;14,3;16,1;16,1;16,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
дерматовенерологических;;34,2;32,8;33,0;33,0;33,0;32,5;31,5;30,4;30,0;27,0;24,6;23,4;22,4;21,6;20,5;19,9;18,0;17,2;16,4;16,5;16,0;15,2;13,9;13,0;12,3;11,8;11,7;11,3;10,1;9,9;10,3;10,3;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
психиатрических;;193,6;190,3;188,9;187,1;183,5;180,3;178,8;174,1;173,3;169,5;167,0;166,0;168,8;167,0;165,8;165,1;162,6;159,8;153,4;153,2;149,4;147,6;142,9;141,7;138,1;136,0;134,5;138,0;132,9;132,3;128,4;126,1;126,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
наркологических;;43,9;38,6;35,9;34,6;34,2;32,1;30,7;29,3;29,6;30,3;29,9;29,6;29,8;29,3;28,8;28,4;27,5;26,8;26,3;26,3;25,5;25,3;23,5;23,2;22,2;21,5;21,1;21,0;19,9;20,1;20,0;20,0;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
неврологических;;91,1;91,4;92,0;92,3;92,6;92,0;90,1;89,6;91,5;88,8;86,7;85,8;86,0;86,3;87,1;85,7;83,9;83,5;83,5;84,7;86,0;84,4;81,6;77,7;76,0;75,6;75,0;74,3;57,8;61,6;70,9;70,5;70,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
для беременных, рожениц и родильниц;;113,1;110,8;106,8;105,1;101,8;98,7;95,2;91,6;90,7;87,8;85,9;85,0;83,7;81,9;82,3;82,0;81,1;80,5;80,3;79,2;77,4;74,9;72,4;69,4;67,0;64,3;62,1;58,9;50,8;50,7;52,3;50,3;48,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
общих коек;;59,5;57,3;54,1;50,2;47,7;42,9;37,4;33,0;33,0;30,9;26,3;23,4;21,1;22,6;19,7;15,9;13,2;10,9;9,7;8,3;1,4;1,8;3,2;2,1;1,3;1,7;1,7;3,4;3,2;3,5;2,8;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Из числа всех коек - койки для детей, тыс. ;;284,6;281,8;272,4;267,8;260,4;251,9;250,1;236,4;228,6;229,1;224,1;214,0;210,4;200,3;190,2;190,1;191,9;185,8;179,0;178,4;177,9;173,9;166,5;163,5;158,5;158,4;157,3;155,5;139,4;142,5;149,6;151,5;148,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность врачей  на 10 000 человек населения1);;42,9;43,2;42,9;44,4;45,6;45,9;46,4;46,8;46,8;46,5;47,1;47,5;47,9;48,2;49,1;49,6;49,3;49,8;50,1;51,2;49,0;48,8;48,3;45,7;46,1;47,2;47,6;48,3;50,0;50,5;50,8;51,9;51,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Численность врачей1), тыс. человек;;637,3;641,6;636,8;653,7;669,2;673,4;679,8;682,5;680,2;677,8;682,4;686,0;688,2;690,3;702,2;707,3;703,8;711,3;715,8;732,8;703,2;702,6;709,4;673,0;680,9;697,1;703,7;714,6;737,4;741,9;744,1;758,8;749,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
