Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;
1.12. СМЕРТНОСТЬ НАСЕЛЕНИЯ (БЕЗ ПОКАЗАТЕЛЯ СМЕРТНОСТИ ОТ ВНЕШНИХ ПРИЧИН)1);;;;;;;;;
(число умерших на 100 000 человек населения);;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;;
Российская Федерация ;1207,6;1195,9;1175,2;1179,7;1182,3;1175,1;1139,6;;
Центральный    федеральный округ;1278,6;1281,9;1257,2;1251,3;1244,5;1244,8;1196,3;;
Белгородская область;1309,9;1302,1;1284,2;1297,8;1297,0;1307,8;1277,4;;
Брянская область;1447,1;1454,2;1430,8;1432,9;1435,2;1423,5;1403,7;;
Владимирская область;1564,7;1522,7;1526,9;1508,2;1518,2;1522,0;1456,7;;
Воронежская область;1457,3;1432,7;1412,2;1415,3;1362,8;1347,9;1274,6;;
Ивановская область;1545,0;1541,0;1504,5;1520,9;1489,7;1493,2;1478,8;;
Калужская область;1394,7;1431,0;1370,2;1363,9;1366,0;1382,7;1369,1;;
Костромская область;1489,7;1467,0;1481,3;1453,2;1468,0;1443,2;1375,5;;
Курская область;1559,3;1542,4;1494,4;1541,4;1520,8;1505,4;1470,3;;
Липецкая область;1372,6;1389,3;1368,8;1395,2;1409,4;1401,3;1352,0;;
Московская область;1286,8;1306,8;1276,3;1248,7;1182,1;1188,0;1133,5;;
Орловская область;1477,7;1493,0;1500,4;1511,6;1511,7;1534,7;1482,3;;
Рязанская область;1500,0;1512,2;1452,2;1473,8;1451,5;1471,6;1423,9;;
Смоленская область;1508,0;1519,4;1482,0;1452,1;1491,7;1479,7;1435,3;;
Тамбовская область;1499,6;1483,1;1475,7;1495,9;1489,4;1468,4;1413,4;;
Тверская область;1687,0;1652,5;1637,3;1606,0;1615,7;1622,4;1562,8;;
Тульская область;1624,1;1623,7;1595,1;1564,0;1567,1;1573,6;1536,0;;
Ярославская область;1431,0;1441,0;1437,3;1404,0;1419,4;1446,9;1405,8;;
г. Москва;910,1;931,1;911,4;915,4;944,9;945,4;900,0;;
