Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;
1. НАСЕЛЕНИЕ;;;;;;;;;;
ОЖИДАЕМАЯ ПРОДОЛЖИТЕЛЬНОСТЬ ЖИЗНИ ПРИ РОЖДЕНИИ;;;;;;;;;;
1.16.2. Мужчины;;;;;;;;;;
(число лет);;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;
Российская Федерация;58,92;63,09;64,04;64,56;65,13;65,29;65,92;66,50;67,51;
Центральный федеральный округ;60,01;64,17;65,51;65,86;66,45;66,58;67,49;67,97;68,95;
Белгородская область;62,22;66,03;66,22;66,48;66,86;66,90;67,33;67,68;68,66;
Брянская область;56,06;61,47;62,28;62,59;63,32;63,04;64,32;64,96;65,23;
Владимирская область;56,41;60,64;61,77;62,29;62,78;62,90;63,86;64,39;65,22;
Воронежская область;59,76;63,40;64,45;64,86;64,81;64,67;65,66;66,20;67,46;
Ивановская область;55,11;60,82;62,19;63,25;63,90;63,76;64,71;64,94;65,83;
Калужская область;57,58;61,76;63,45;63,54;64,43;63,42;65,13;65,46;66,34;
Костромская область;55,93;61,34;62,67;63,62;64,31;64,10;64,94;65,56;66,25;
Курская область;58,01;62,32;63,04;63,49;64,27;63,79;64,81;65,19;66,13;
Липецкая область;59,37;62,09;63,49;63,77;64,56;64,50;65,26;65,98;66,74;
Московская область;59,28;63,29;64,69;64,73;65,10;65,31;67,05;67,33;68,41;
Орловская область;58,07;62,16;63,21;63,07;64,36;63,32;63,96;64,85;65,84;
Рязанская область;56,80;61,22;63,03;63,79;64,77;64,79;65,72;66,01;67,06;
Смоленская область;55,17;60,06;61,83;62,44;62,93;63,36;64,08;64,29;65,78;
Тамбовская область;58,61;62,97;63,93;64,62;64,87;65,30;65,90;66,42;67,72;
Тверская область;54,51;59,47;60,80;61,70;62,28;62,33;63,33;63,47;64,92;
Тульская область;55,98;60,75;62,47;62,67;63,22;63,60;64,01;64,77;65,60;
Ярославская область;56,83;61,79;63,48;63,58;64,25;64,15;64,95;65,35;66,12;
г. Москва;66,72;69,88;71,47;71,60;72,31;72,77;72,96;73,48;74,39;
Северо-Западный      федеральный округ;57,48;62,94;64,17;64,84;65,65;65,86;66,28;66,79;67,74;
Республика Карелия;55,03;59,82;61,75;61,42;63,17;62,99;62,86;63,72;64,90;
Республика Коми;55,82;60,73;61,62;62,27;63,22;63,05;63,26;63,61;65,32;
Архангельская область;56,16;61,68;62,69;63,69;64,11;64,19;64,85;64,95;66,12;
в том числе: ;;;;;;;;;;
Ненецкий автономный округ;55,59;59,15;60,61;62,00;60,22;64,72;65,22;63,86;65,94;
Архангельская область   без автономного округа;56,18;61,77;62,78;63,80;64,27;64,16;64,84;64,96;66,14;
Вологодская область;56,12;60,61;62,05;63,09;63,21;63,66;64,38;64,15;65,53;
Калининградская область;54,86;63,26;64,38;64,82;65,10;64,82;65,50;66,98;67,60;
Ленинградская область;55,74;62,21;63,53;64,07;64,73;64,78;65,84;66,49;67,39;
Мурманская область;57,65;62,69;62,97;63,94;65,15;64,02;64,48;65,71;66,49;
Новгородская область;54,74;58,47;59,71;61,03;60,89;62,29;62,47;62,92;63,86;
Псковская область;53,81;58,04;60,30;60,24;61,81;62,13;62,78;63,41;64,13;
г. Санкт-Петербург;61,67;66,76;67,79;68,43;69,43;69,83;69,83;70,25;70,94;
Южный                    федеральный округ1);61,05;64,67;65,30;65,98;66,59;66,54;67,05;67,24;68,30;
Республика Адыгея;61,93;64,28;65,80;66,35;66,55;66,85;66,88;67,66;68,18;
Республика Калмыкия;61,17;63,85;65,18;65,78;65,65;67,01;67,01;67,78;68,55;
Республика Крым;;;;;;65,65;65,28;65,58;67,08;
Краснодарский край;61,59;65,63;66,03;66,64;67,16;67,20;67,55;67,85;68,58;
Астраханская область;58,44;63,32;64,24;64,88;65,91;65,53;66,10;66,90;68,38;
Волгоградская область;60,74;64,09;64,90;65,33;66,11;66,11;66,68;67,26;68,59;
Ростовская область;61,06;64,28;64,86;65,79;66,34;66,13;66,90;67,33;68,29;
г. Севастополь;;;;;;67,14;64,70;66,14;68,48;
Северо-Кавказский   федеральный округ;64,58;67,42;67,97;68,87;69,67;69,86;70,42;71,05;71,95;
Республика Дагестан;69,05;69,97;70,56;71,56;72,31;72,56;73,18;74,19;75,02;
Республика Ингушетия ;69,91;70,88;72,37;74,43;75,97;76,35;76,51;77,35;78,58;
Кабардино-Балкарская Республика;62,78;67,13;67,52;68,47;69,03;69,36;69,82;70,79;71,70;
Карачаево-Черкесская Республика;63,65;67,29;67,64;68,37;69,21;69,04;69,94;70,13;71,42;
Республика Северная Осетия - Алания;63,33;66,85;66,75;67,87;68,46;68,76;68,62;69,72;70,48;
Чеченская Республика ;67,52;68,31;68,61;68,98;70,23;70,01;70,35;71,43;71,98;
Ставропольский край;61,94;65,63;66,44;67,27;67,91;67,85;68,61;68,57;69,46;
Приволжский                          федеральный округ;58,68;62,23;63,13;63,76;64,04;64,17;64,83;65,66;66,73;
Республика Башкортостан;60,41;63,06;63,13;63,34;63,66;63,79;64,31;65,33;66,24;
Республика Марий Эл;56,78;60,95;61,94;62,82;62,82;62,87;63,52;64,68;66,47;
Республика Мордовия;60,10;63,42;64,12;64,59;64,79;65,20;66,49;66,76;68,12;
Республика Татарстан;61,31;64,41;65,38;65,95;66,35;66,39;67,05;68,15;68,86;
Удмуртская Республика;57,50;61,64;62,58;63,40;63,52;63,55;64,24;64,59;65,93;
Чувашская Республика;59,89;62,30;63,44;64,31;64,59;64,46;65,53;65,61;66,99;
Пермский край;55,65;60,21;61,30;62,24;62,61;63,14;63,08;63,95;65,10;
Кировская область;57,82;62,14;63,38;63,91;64,31;64,44;65,20;65,77;67,04;
Нижегородская область ;56,42;60,52;62,07;62,63;63,06;63,30;64,05;64,69;66,21;
Оренбургская область;58,51;61,89;62,36;62,79;63,10;62,78;63,87;64,94;65,53;
Пензенская область;58,73;62,97;63,84;64,90;65,47;65,67;66,47;66,81;67,79;
Самарская область;59,37;62,02;62,90;63,49;63,28;63,35;64,34;65,37;66,15;
Саратовская область;59,46;63,00;64,04;64,51;65,01;65,26;65,83;66,86;67,80;
Ульяновская область;58,72;62,35;63,25;64,70;64,64;64,52;64,50;65,22;67,04;
Уральский    федеральный округ;58,69;62,83;63,50;63,82;64,14;64,30;64,55;65,04;66,24;
Курганская область;57,35;61,35;62,03;62,13;61,93;62,54;62,82;63,35;65,10;
Свердловская область ;57,75;62,69;63,23;63,51;63,64;63,71;63,75;63,94;65,22;
Тюменская область;60,63;63,92;65,04;65,39;65,97;66,14;66,47;67,28;68,09;
в том числе:;;;;;;;;;;
Ханты-Мансийский   автономный округ – Югра;62,13;65,20;66,03;66,88;67,27;67,32;67,57;68,91;69,25;
Ямало-Ненецкий автономный округ;61,99;65,59;65,62;66,26;66,53;67,02;66,90;67,15;68,99;
Тюменская область без автономных округов;58,41;61,95;63,36;63,41;64,23;64,55;64,95;65,53;66,63;
Челябинская область;58,32;62,30;62,76;63,03;63,48;63,59;63,94;64,50;65,90;
Сибирский                                       федеральный округ;56,18;61,07;61,79;62,09;62,74;62,95;63,59;64,09;64,95;
Республика Алтай;54,23;59,95;59,86;60,80;61,48;61,88;62,82;64,99;65,88;
Республика Бурятия;54,42;60,05;60,25;60,97;62,32;62,72;63,73;64,21;65,29;
Республика Тыва;50,60;54,64;56,25;55,53;56,37;56,63;58,05;59,13;61,29;
Республика Хакасия;54,95;61,61;62,03;61,86;62,95;63,02;63,40;63,66;64,96;
Алтайский край;58,26;62,69;63,29;63,49;64,11;64,33;64,97;65,12;65,71;
Забайкальский край;52,93;59,05;59,94;60,61;61,47;61,68;61,92;62,96;64,62;
Красноярский край;56,58;61,60;62,53;62,65;63,35;63,60;64,01;64,32;65,04;
Иркутская область;53,26;58,85;59,59;59,92;60,32;60,53;61,31;62,19;63,24;
Кемеровская область;54,92;59,01;59,87;60,54;61,50;61,64;62,32;62,72;63,68;
Новосибирская область ;58,51;63,28;63,86;63,90;64,29;64,41;65,08;65,41;65,95;
Омская область;58,66;62,91;63,71;63,47;63,86;64,10;64,56;65,04;66,01;
Томская область;59,26;63,10;63,71;64,48;64,78;64,94;65,94;66,16;66,62;
Дальневосточный федеральный округ;56,10;59,98;60,62;61,35;62,22;62,68;63,28;63,84;64,80;
Республика Саха (Якутия);58,66;60,97;61,88;62,37;63,54;64,34;64,94;65,78;66,39;
Камчатский край;57,60;60,51;61,55;62,09;62,59;62,82;63,26;63,48;65,21;
Приморский край;56,88;61,09;61,65;62,29;62,77;63,39;64,04;64,48;65,34;
Хабаровский край ;55,32;59,59;59,97;61,27;62,13;62,24;63,21;63,52;64,23;
Амурская область;53,98;58,51;58,87;59,26;60,59;61,32;61,64;62,65;63,66;
Магаданская область;57,08;59,80;60,18;60,82;61,84;61,62;63,17;63,56;63,41;
Сахалинская область;54,53;59,06;59,80;60,75;62,17;62,21;62,35;63,08;64,59;
Еврейская автономная область;53,76;57,46;57,50;58,46;58,84;59,49;59,12;59,98;63,35;
Чукотский автономный округ;54,36;52,69;57,53;56,59;58,65;58,84;59,35;59,73;60,33;
?????;;;;;;;;;;
1) 2014, 2015 гг. – без учета данных по Республике Крым  и г. Севастополю.;;;;;;;;;;
;;;;;;;;;;
