Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
1. НАСЕЛЕНИЕ;;;;;;;;;
РАСПРЕДЕЛЕНИЕ ЧИСЛА ВЫБЫВШИХ ПО НАПРАВЛЕНИЯМ ПЕРЕДВИЖЕНИЯ;;;;;;;;;
1.22.3. За пределы России;;;;;;;;;
(в процентах от общего числа выбывших);;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;3,5;1,7;1,2;3,1;4,4;7,1;7,9;7,1;8,3
Центральный    федеральный округ;3,3;2,1;1,7;4,2;5,7;7,4;9,0;9,4;11,1
Белгородская область;4,5;2,0;1,0;1,5;1,9;5,0;7,0;8,5;15,5
Брянская область;3,4;0,9;0,5;0,5;0,6;1,6;1,4;1,9;3,6
Владимирская область;3,1;1,2;1,0;1,7;1,6;2,7;2,6;2,4;2,7
Воронежская область;2,4;1,8;1,5;3,9;6,5;7,8;9,8;13,0;15,7
Ивановская область;2,1;1,1;0,6;0,7;0,7;0,8;0,7;0,4;0,5
Калужская область;3,4;3,7;2,4;10,2;10,4;14,5;24,7;23,2;30,2
Костромская область;2,2;1,4;0,6;0,8;4,1;6,9;8,0;7,4;7,5
Курская область;2,2;0,9;0,8;0,9;1,1;1,8;2,2;13,6;19,3
Липецкая область;2,4;1,3;1,1;1,4;2,4;6,5;9,7;10,5;15,6
Московская область;2,2;1,5;1,4;3,6;4,5;5,9;6,3;6,5;6,5
Орловская область;2,0;0,9;0,7;0,5;0,6;0,7;0,6;2,2;6,1
Рязанская область;2,3;1,1;0,7;1,1;1,6;4,6;3,6;5,1;6,2
Смоленская область;5,1;1,8;1,9;14,5;20,1;19,8;25,4;24,8;22,6
Тамбовская область;1,8;0,8;0,6;13,4;24,2;28,7;32,6;27,3;24,3
Тверская область;1,3;0,9;0,6;1,5;2,6;7,6;7,8;8,2;9,1
Тульская область;3,0;1,2;1,5;10,8;8,4;6,7;7,1;7,2;8,7
Ярославская область;2,1;1,0;0,7;1,8;2,1;4,6;5,8;5,7;8,8
г. Москва;10,8;8,4;6,1;5,3;6,9;8,2;9,2;9,0;10,4
Северо-Западный       федеральный округ;4,4;2,2;1,3;4,8;9,5;16,7;15,4;7,8;7,8
Республика Карелия;4,6;4,6;2,4;2,5;3,1;4,7;5,8;6,9;7,9
Республика Коми;4,6;1,8;1,2;2,1;1,9;3,5;3,3;2,5;3,1
Архангельская область;1,9;0,6;0,6;1,1;1,2;1,1;1,3;2,0;2,9
в том числе:;;;;;;;;;
Ненецкий автономный округ;0,8;-;0,4;0,5;0,6;0,4;2,0;5,1;6,8
Архангельская область     без автономного округа;1,9;0,6;0,6;1,1;1,2;1,2;1,3;1,9;2,8
Вологодская область;1,7;1,0;0,8;3,1;2,9;2,6;2,9;2,3;3,4
Калининградская область;6,8;4,2;2,7;6,1;8,6;10,9;8,8;9,6;12,3
Ленинградская область;3,7;2,0;1,2;6,2;20,1;23,0;21,0;9,9;10,2
Мурманская область;5,6;3,0;2,0;4,1;4,2;5,8;7,4;8,4;7,7
Новгородская область;2,8;1,2;0,9;2,4;1,9;5,1;2,4;1,3;6,3
Псковская область;4,1;2,1;1,4;4,3;3,7;6,2;7,3;7,6;10,5
г. Санкт-Петербург;6,2;2,2;1,2;8,0;16,0;30,1;27,3;11,4;8,8
Южный федеральный округ;4,4;1,6;1,3;3,7;3,4;5,8;5,8;6,5;8,6
Республика Адыгея;2,6;1,0;0,7;1,4;3,4;6,7;8,2;7,2;10,4
Республика Калмыкия;4,1;0,6;0,3;0,3;0,5;0,6;0,9;0,6;0,7
Республика Крым;;;;;;…;0,9;6,1;10,2
Краснодарский край;5,3;1,3;0,7;2,4;3,0;5,5;4,6;6,3;8,5
Астраханская область;5,8;4,7;6,4;23,7;16,1;24,5;29,8;22,6;24,2
Волгоградская область;4,4;1,7;1,3;1,2;1,5;2,8;3,2;4,6;5,2
Ростовская область;3,3;1,4;1,0;1,3;1,6;2,6;3,3;4,8;6,9
г. Севастополь;;;;;;…;0,6;1,0;8,2
Северо-Кавказский   федеральный округ;2,3;0,8;0,4;0,6;1,1;2,4;2,9;3,4;3,8
Республика Дагестан;0,8;0,4;0,0;0,1;0,3;0,3;0,3;0,7;1,1
Республика Ингушетия ;2,8;1,3;0,2;0,6;1,5;1,9;1,9;1,4;2,2
Кабардино-Балкарская   Республика;4,0;1,2;0,6;0,8;0,8;1,1;2,0;3,7;3,4
Карачаево-Черкесская   Республика;1,4;0,4;0,3;0,2;0,4;1,0;1,4;1,5;1,6
Республика Северная Осетия -  Алания;2,8;1,1;0,6;1,3;2,7;3,3;5,5;3,8;2,2
Чеченская Республика;1,4;0,8;0,8;0,5;0,4;0,4;0,8;0,9;1,1
Ставропольский край;3,2;1,1;0,5;0,9;1,6;4,5;5,1;6,1;7,2
