Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
11. ИНВЕСТИЦИИ ;;;;;;;
ИНОСТРАННЫЕ ИНВЕСТИЦИИ;;;;;;;
 ПОСТУПЛЕНИЕ ПРЯМЫХ ИНОСТРАННЫХ ИНВЕСТИЦИЙ В РОССИЙСКУЮ ФЕДЕРАЦИЮ1);;;;;;;
11.4.3. Изъято;;;;;;;
"(по данным платежного баланса Российской Федерации; миллионов долларов США)";;;;;;;
;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;179998;110545;124466;124339;127096;105224;121876
Центральный  федеральный округ;129285;57075;77995;78277;85326;65937;85316
Белгородская область;343;183;239;239;45;798;819
Брянская область;1;88;21;9;6;7;5
Владимирская область;181;255;298;555;239;225;371
Воронежская область;398;350;238;260;187;255;450
Ивановская область;27;144;29;68;31;3;8
Калужская область;458;932;272;661;909;830;1310
Костромская область;169;155;196;288;154;130;208
Курская область;9;357;82;59;23;13;25
Липецкая область;503;197;254;410;624;1223;1740
Московская область;4295;4505;5611;6749;6891;7805;9285
Орловская область;93;89;21;27;106;9;38
Рязанская область;94;129;68;126;102;73;228
Смоленская область;125;22;133;30;112;145;189
Тамбовская область;27;28;10;11;8;10;5
Тверская область;44;56;41;53;79;178;47
Тульская область;291;714;687;627;300;698;646
Ярославская область;595;3866;1298;570;60;30;426
г. Москва;121632;45005;68497;67535;75450;53505;69517
Северо-Западный      федеральный округ;11064;13766;12700;18369;16039;22598;17209
Республика Карелия;163;75;31;153;95;194;551
Республика Коми;492;342;378;359;497;292;180
Архангельская область;177;503;233;379;110;464;157
в том числе:;;;;;;;
Ненецкий автономный округ;26;280;18;26;30;1;82
Архангельская область    без автономного округа;151;223;215;353;80;463;75
Вологодская область;296;2751;1683;2693;1707;7417;4295
Калинингpадская область;72;142;212;141;112;112;282
Ленинградская область;4185;2248;3190;4984;4613;5096;4533
Мурманская область;469;441;37;68;160;369;411
Новгородская область;229;209;287;326;158;205;313
Псковская область;22;49;10;13;47;27;30
г. Санкт-Петербург;4959;7006;6639;9253;8540;8422;6457
