Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ  ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ;;;;;
12.4.3. Средняя численность работников1);;;;;
"(по данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства; тысяч человек)";;;;;
;2010;2015;;;
Российская Федерация;5350;4984;;;
"Центральный
федеральный округ";1187;1100;;;
Белгородская область;91;75;;;
Брянская область;54;43;;;
Владимирская область;76;63;;;
Воронежская область;106;93;;;
Ивановская область;60;49;;;
Калужская область;41;41;;;
Костромская область;51;41;;;
Курская область;57;50;;;
Липецкая область;48;48;;;
Московская область ;118;161;;;
Орловская область;37;33;;;
Рязанская область;54;46;;;
Смоленская область;44;39;;;
Тамбовская область;64;49;;;
Тверская область;58;46;;;
Тульская область;67;56;;;
Ярославская область;56;44;;;
г. Москва;108;123;;;
"Северо-Западный
федеральный округ";444;403;;;
Республика Карелия;23;19;;;
Республика Коми;46;39;;;
Архангельская область;62;58;;;
в том числе: ;;;;;
Ненецкий автономный округ;2;2;;;
Архангельская область      без автономного округа;59;56;;;
Вологодская область;62;48;;;
Калинингpадская область;43;43;;;
Ленинградская область;50;46;;;
Мурманская область;27;22;;;
Новгородская область;30;22;;;
Псковская область;24;20;;;
г. Санкт-Петербург;79;87;;;
Южный                 федеральный округ;661;775;;;
Республика Адыгея;21;19;;;
Республика Калмыкия;16;12;;;
Республика Крым;;91;;;
Краснодарский край;240;295;;;
Астраханская область;59;50;;;
Волгоградская область;123;83;;;
Ростовская область;203;204;;;
г. Севастополь;;22;;;
Северо-Кавказский федеральный округ;305;280;;;
Республика Дагестан;37;32;;;
Республика Ингушетия;5;17;;;
Кабардино-Балкарская Республика;50;22;;;
Карачаево-Черкесская Республика;18;14;;;
Республика Северная Осетия – Алания;25;15;;;
Чеченская Республика;24;51;;;
Ставропольский край;147;130;;;
Приволжский федеральный округ;1201;1043;;;
Республика Башкортостан;152;139;;;
Республика Марий Эл;27;23;;;
Республика Мордовия;42;31;;;
Республика Татарстан;146;120;;;
Удмуртская Республика;63;59;;;
Чувашская Республика;56;45;;;
Пермский край;124;111;;;
Кировская область;78;67;;;
Нижегородская область;124;107;;;
Оренбургская область;88;69;;;
Пензенская область;82;73;;;
Самарская область;91;67;;;
Саратовская область;78;91;;;
Ульяновская область;50;42;;;
Уральский            федеральный округ;479;421;;;
Курганская область;44;34;;;
Свердловская область;184;165;;;
Тюменская область;122;111;;;
в том числе:;;;;;
Ханты-Мансийский      автономный округ – Югра;53;48;;;
Ямало-Ненецкий автономный округ;18;17;;;
Тюменская область     без автономных округов;52;46;;;
Челябинская область;129;112;;;
Сибирский           федеральный округ;764;679;;;
Республика Алтай;15;11;;;
Республика Бурятия;51;43;;;
Республика Тыва;14;11;;;
Республика Хакасия;34;28;;;
Алтайский край;107;91;;;
Забайкальский край;46;43;;;
Красноярский край;109;97;;;
Иркутская область;84;84;;;
Кемеровская область;96;75;;;
Новосибирская область;70;81;;;
Омская область;91;74;;;
Томская область;47;41;;;
Дальневосточный федеральный округ;309;283;;;
Республика Саха (Якутия);61;55;;;
Камчатский край;19;15;;;
Приморский край;94;93;;;
Хабаровский край;47;42;;;
Амурская область;41;38;;;
Магаданская область;8;7;;;
Сахалинская область;29;25;;;
Еврейская автономная область;11;8;;;
Чукотский автономный округ;1;2;;;
?????;;;;;
1) Включая среднюю численность наемных работников, партнеров, помогающих членов семьи, а также численность самих индивидуальных предпринимателей.;;;;;
