Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
12.5. ЧИСЛЕННОСТЬ ФАКТИЧЕСКИ ДЕЙСТВУЮЩИХ ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ;;;;;
"(по данным выборочных обследований индивидуальных предпринимателей; тысяч)";;;;;
;2016;2017;;;
Российская Федерация;2523,6;2561,1;;;
Центральный федеральный округ;553,3;630,4;;;
Белгородская область;36,4;38,7;;;
Брянская область;19,4;18,2;;;
Владимирская область;27,3;30,6;;;
Воронежская область;39,6;41,2;;;
Ивановская область;17,9;18,1;;;
Калужская область;17,1;16,3;;;
Костромская область;12,8;12,0;;;
Курская область;20,5;21,1;;;
Липецкая область;20,9;22,7;;;
Московская область ;95,1;95,6;;;
Орловская область;15,2;15,5;;;
Рязанская область;18,5;15,9;;;
Смоленская область;14,8;16,3;;;
Тамбовская область;17,3;19,1;;;
Тверская область;19,4;22,8;;;
Тульская область;27,8;28,3;;;
Ярославская область;21,0;22,9;;;
г. Москва;112,2;175,1;;;
Северо-Западный федеральный округ;217,1;239,0;;;
Республика Карелия;11,8;11,5;;;
Республика Коми;17,3;14,1;;;
Архангельская область;17,5;22,0;;;
в том числе: ;;;;;
Ненецкий автономный округ;0,5;0,7;;;
Архангельская область      без автономного округа;17,0;21,3;;;
Вологодская область;24,0;24,5;;;
Калинингpадская область;22,6;23,9;;;
Ленинградская область;29,2;28,9;;;
Мурманская область;10,7;10,8;;;
Новгородская область;11,1;12,1;;;
Псковская область;8,9;11,0;;;
г. Санкт-Петербург;63,8;80,0;;;
Южный                 федеральный округ;442,3;418,3;;;
Республика Адыгея;8,4;6,8;;;
Республика Калмыкия;6,3;7,5;;;
Республика Крым;58,2;55,3;;;
Краснодарский край;186,3;165,8;;;
Астраханская область;22,4;17,5;;;
Волгоградская область;41,4;41,3;;;
Ростовская область;105,5;109,3;;;
г. Севастополь;13,8;14,7;;;
Северо-Кавказский федеральный округ;144,7;149,0;;;
Республика Дагестан;14,4;22,8;;;
Республика Ингушетия;3,0;2,9;;;
Кабардино-Балкарская Республика;17,4;15,3;;;
Карачаево-Черкесская Республика;9,6;8,2;;;
Республика Северная Осетия – Алания;12,9;12,1;;;
Чеченская Республика;18,4;18,9;;;
Ставропольский край;69,0;68,8;;;
Приволжский федеральный округ;504,3;478,8;;;
Республика Башкортостан;64,7;54,8;;;
Республика Марий Эл;9,9;10,6;;;
Республика Мордовия;12,2;13,7;;;
Республика Татарстан;67,1;67,9;;;
Удмуртская Республика;23,2;25,7;;;
Чувашская Республика;25,4;25,1;;;
Пермский край;50,0;47,2;;;
Кировская область;25,9;24,3;;;
Нижегородская область;55,6;38,7;;;
Оренбургская область;35,5;34,0;;;
Пензенская область;25,3;27,5;;;
Самарская область;46,6;50,7;;;
Саратовская область;39,2;36,0;;;
Ульяновская область;23,7;22,7;;;
Уральский            федеральный округ;223,5;212,6;;;
Курганская область;10,6;11,7;;;
Свердловская область;90,7;76,3;;;
Тюменская область;62,0;64,3;;;
в том числе:;;;;;
Ханты-Мансийский      автономный округ – Югра;28,0;28,9;;;
Ямало-Ненецкий автономный округ;9,6;9,4;;;
Тюменская область     без автономных округов;24,4;25,9;;;
Челябинская область;60,2;60,4;;;
Сибирский           федеральный округ;312,5;319,8;;;
Республика Алтай;4,2;5,8;;;
Республика Бурятия;15,4;13,1;;;
Республика Тыва;4,9;5,5;;;
Республика Хакасия;14,3;11,7;;;
Алтайский край;40,4;37,8;;;
Забайкальский край;17,5;15,8;;;
Красноярский край;49,8;49,2;;;
Иркутская область;38,6;45,0;;;
Кемеровская область;38,9;37,2;;;
Новосибирская область;42,6;47,7;;;
Омская область;27,8;33,5;;;
Томская область;18,1;17,5;;;
Дальневосточный федеральный округ;125,8;113,3;;;
Республика Саха (Якутия);26,3;21,1;;;
Камчатский край;9,1;8,4;;;
Приморский край;34,5;36,1;;;
Хабаровский край;20,4;19,2;;;
Амурская область;16,4;14,7;;;
Магаданская область;2,3;4,0;;;
Сахалинская область;13,0;6,0;;;
Еврейская автономная область;2,8;2,9;;;
Чукотский автономный округ;1,0;0,8;;;
