Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
12.6. ЧИСЛЕННОСТЬ ЗАНЯТЫХ В БИЗНЕСЕ ИНДИВИДУАЛЬНОГО ПРЕДПРИНИМАТЕЛЯ1);;;;;
"(по данным выборочных обследований индивидуальных предпринимателей; тысяч человек)";;;;;
;2016;2017;;;
Российская Федерация;5682,4;5798,5;;;
Центральный федеральный округ;1224,2;1420,6;;;
Белгородская область;85,7;97,1;;;
Брянская область;41,6;40,4;;;
Владимирская область;65,5;62,5;;;
Воронежская область;87,1;84,1;;;
Ивановская область;51,8;73,1;;;
Калужская область;35,2;35,1;;;
Костромская область;35,5;35,7;;;
Курская область;53,5;52,7;;;
Липецкая область;49,5;50,0;;;
Московская область ;171,8;194,5;;;
Орловская область;30,6;31,0;;;
Рязанская область;51,5;36,4;;;
Смоленская область;40,0;42,5;;;
Тамбовская область;49,1;47,8;;;
Тверская область;46,2;57,5;;;
Тульская область;62,7;65,2;;;
Ярославская область;58,0;57,9;;;
г. Москва;208,8;357,0;;;
Северо-Западный федеральный округ;481,5;510,7;;;
Республика Карелия;22,5;23,9;;;
Республика Коми;40,1;38,0;;;
Архангельская область;49,7;57,3;;;
в том числе: ;;;;;
Ненецкий автономный округ;1,2;2,1;;;
Архангельская область      без автономного округа;48,5;55,2;;;
Вологодская область;54,3;61,0;;;
Калинингpадская область;45,7;45,5;;;
Ленинградская область;69,5;67,9;;;
Мурманская область;20,6;17,9;;;
Новгородская область;27,9;26,9;;;
Псковская область;20,2;22,7;;;
г. Санкт-Петербург;130,9;149,6;;;
Южный                 федеральный округ;863,7;857,5;;;
Республика Адыгея;16,2;14,1;;;
Республика Калмыкия;13,0;14,9;;;
Республика Крым;120,4;116,1;;;
Краснодарский край;334,4;306,5;;;
Астраханская область;62,8;47,5;;;
Волгоградская область;75,0;88,6;;;
Ростовская область;219,8;240,5;;;
г. Севастополь;22,2;29,2;;;
Северо-Кавказский федеральный округ;313,1;319,8;;;
Республика Дагестан;31,8;44,1;;;
Республика Ингушетия;18,8;22,6;;;
Кабардино-Балкарская Республика;38,0;34,0;;;
Карачаево-Черкесская Республика;17,9;18,5;;;
Республика Северная Осетия – Алания;19,2;18,6;;;
Чеченская Республика;53,6;57,7;;;
Ставропольский край;133,9;124,2;;;
Приволжский федеральный округ;1123,5;1116,9;;;
Республика Башкортостан;137,2;116,8;;;
Республика Марий Эл;25,0;33,4;;;
Республика Мордовия;27,3;30,2;;;
Республика Татарстан;114,9;145,1;;;
Удмуртская Республика;62,3;60,9;;;
Чувашская Республика;45,7;44,9;;;
Пермский край;144,9;134,0;;;
Кировская область;67,8;65,3;;;
Нижегородская область;112,9;83,8;;;
Оренбургская область;80,9;74,5;;;
Пензенская область;67,9;72,3;;;
Самарская область;85,6;100,1;;;
Саратовская область;105,2;107,3;;;
Ульяновская область;45,9;48,3;;;
Уральский            федеральный округ;552,4;481,2;;;
Курганская область;32,9;30,3;;;
Свердловская область;241,4;175,5;;;
Тюменская область;129,9;127,5;;;
в том числе:;;;;;
Ханты-Мансийский      автономный округ – Югра;52,5;52,4;;;
Ямало-Ненецкий автономный округ;22,7;20,4;;;
Тюменская область     без автономных округов;54,7;54,8;;;
Челябинская область;148,2;147,9;;;
Сибирский           федеральный округ;817,7;808,1;;;
Республика Алтай;9,0;13,9;;;
Республика Бурятия;59,1;38,8;;;
Республика Тыва;13,6;16,7;;;
Республика Хакасия;33,9;35,0;;;
Алтайский край;80,9;77,0;;;
Забайкальский край;44,7;43,0;;;
Красноярский край;157,5;150,0;;;
Иркутская область;115,1;113,4;;;
Кемеровская область;95,4;90,4;;;
Новосибирская область;82,2;92,4;;;
Омская область;87,0;95,1;;;
Томская область;39,2;42,3;;;
Дальневосточный федеральный округ;306,4;283,7;;;
Республика Саха (Якутия);59,5;45,7;;;
Камчатский край;17,4;17,7;;;
Приморский край;91,6;91,3;;;
Хабаровский край;49,1;50,4;;;
Амурская область;36,8;43,3;;;
Магаданская область;6,1;7,5;;;
Сахалинская область;36,4;18,0;;;
Еврейская автономная область;7,9;8,2;;;
Чукотский автономный округ;1,5;1,7;;;
?????;;;;;
"1) Включая  численность наемных работников, партнеров, помогающих членов семьи, а также численность самих индивидуальных предпринимателей.
";;;;;
