Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;
ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;
13.1.2.  «Добыча полезных ископаемых» в соответствии с ОКВЭД21) ;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;
;2017;;;;;;;;
Российская Федерация;13916165;;;;;;;;
"Центральный
федеральный округ";1502691;;;;;;;;
Белгородская область;116588;;;;;;;;
Брянская область;277;;;;;;;;
Владимирская область;4004;;;;;;;;
Воронежская область;6283;;;;;;;;
Ивановская область;755;;;;;;;;
Калужская область;3672;;;;;;;;
Костромская область;317;;;;;;;;
Курская область;67783;;;;;;;;
Липецкая область;5765;;;;;;;;
Московская область;13870;;;;;;;;
Орловская область;106;;;;;;;;
Рязанская область;1781;;;;;;;;
Смоленская область;1454;;;;;;;;
Тамбовская область;145;;;;;;;;
Тверская область;755;;;;;;;;
Тульская область;5548;;;;;;;;
Ярославская область;1172;;;;;;;;
г. Москва;1272415;;;;;;;;
"Северо-Западный
федеральный округ";844244;;;;;;;;
Республика Карелия;73729;;;;;;;;
Республика Коми;314270;;;;;;;;
Архангельская область;294998;;;;;;;;
в том числе:;;;;;;;;;
Ненецкий автономный округ;267858;;;;;;;;
Архангельская область без автономного округа;27140;;;;;;;;
Вологодская область;632;;;;;;;;
Калининградская область;18260;;;;;;;;
Ленинградская область;11402;;;;;;;;
Мурманская область;107973;;;;;;;;
Новгородская область;1593;;;;;;;;
Псковская область;1371;;;;;;;;
г. Санкт-Петербург;20017;;;;;;;;
Южный            федеральный округ;374342;;;;;;;;
Республика Адыгея;2740;;;;;;;;
Республика Калмыкия;…2);;;;;;;;
Республика Крым;10787;;;;;;;;
Краснодарский край;53142;;;;;;;;
Астраханская область;226961;;;;;;;;
Волгоградская область;47985;;;;;;;;
Ростовская область;29664;;;;;;;;
г. Севастополь;…2);;;;;;;;
Северо-Кавказский       федеральный округ;26447;;;;;;;;
Республика Дагестан;4922;;;;;;;;
Республика Ингушетия;1463;;;;;;;;
Кабардино-Балкарская Республика;398;;;;;;;;
Карачаево-Черкесская Республика;2751;;;;;;;;
Республика Северная           Осетия – Алания;661;;;;;;;;
Чеченская Республика;5593;;;;;;;;
Ставропольский край;10659;;;;;;;;
Приволжский федеральный округ;1972042;;;;;;;;
Республика Башкортостан ;233703;;;;;;;;
Республика Марий Эл;656;;;;;;;;
Республика Мордовия;77;;;;;;;;
Республика Татарстан;547515;;;;;;;;
Удмуртская Республика ;191064;;;;;;;;
Чувашская Республика;706;;;;;;;;
Пермский край ;294130;;;;;;;;
Кировская область;1107;;;;;;;;
Нижегородская область;1168;;;;;;;;
Оренбургская область ;389692;;;;;;;;
Пензенская область;890;;;;;;;;
Самарская область;273744;;;;;;;;
Саратовская область;30492;;;;;;;;
Ульяновская область;7096;;;;;;;;
Уральский        федеральный округ;5202482;;;;;;;;
Курганская область ;3315;;;;;;;;
Свердловская область ;66980;;;;;;;;
Тюменская область;5068914;;;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;2983368;;;;;;;;
Ямало-Ненецкий автономный округ;1911722;;;;;;;;
Тюменская область без автономных округов;173825;;;;;;;;
Челябинская область ;63272;;;;;;;;
Сибирский           федеральный округ;2332671;;;;;;;;
Республика Алтай ;3593;;;;;;;;
Республика Бурятия;25331;;;;;;;;
Республика Тыва;23347;;;;;;;;
Республика Хакасия;52497;;;;;;;;
Алтайский край ;6143;;;;;;;;
Забайкальский край;82184;;;;;;;;
Красноярский край;552416;;;;;;;;
Иркутская область;455207;;;;;;;;
Кемеровская область ;899156;;;;;;;;
Новосибирская область ;50568;;;;;;;;
Омская область ;3165;;;;;;;;
Томская область ;179063;;;;;;;;
Дальневосточный федеральный округ;1661246;;;;;;;;
Республика Саха (Якутия);599620;;;;;;;;
Камчатский край;19729;;;;;;;;
Приморский край;19568;;;;;;;;
Хабаровский край;78459;;;;;;;;
Амурская область;64359;;;;;;;;
Магаданская область;112749;;;;;;;;
Сахалинская область;693852;;;;;;;;
Еврейская автономная область;7593;;;;;;;;
Чукотский автономный округ;65316;;;;;;;;
?????;;;;;;;;;
1) Данные сформированы по кругу крупных, средних и малых организаций по фактическим видам экономической деятельности в соответствии с Общероссийским классификатором видов  экономической деятельности ОК 029-2014 (КДЕС РЕД. 2) (ОКВЭД2).;;;;;;;;;
"2) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от  организаций, в соответствии с Федеральным законом от 29.11.2007 № 282-ФЗ ""Об официальном статистическом учете и системе государственной статистики в Российской Федерации"" (п.5 ст.4, ч.1 ст.9).         ";;;;;;;;;
