Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;
ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;
13.1.4.  «Обрабатывающие производства» в соответствии с ОКВЭД21);;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;
;2017;;;;;;;;
Российская Федерация;38733173;;;;;;;;
"Центральный
федеральный округ";13217385;;;;;;;;
Белгородская область;629093;;;;;;;;
Брянская область;191019;;;;;;;;
Владимирская область;406484;;;;;;;;
Воронежская область;422944;;;;;;;;
Ивановская область;133335;;;;;;;;
Калужская область;672706;;;;;;;;
Костромская область;118263;;;;;;;;
Курская область;176100;;;;;;;;
Липецкая область;628043;;;;;;;;
Московская область;2328071;;;;;;;;
Орловская область;104211;;;;;;;;
Рязанская область;277309;;;;;;;;
Смоленская область;192044;;;;;;;;
Тамбовская область;134329;;;;;;;;
Тверская область;246185;;;;;;;;
Тульская область;629921;;;;;;;;
Ярославская область;338016;;;;;;;;
г. Москва;5589313;;;;;;;;
"Северо-Западный
федеральный округ";5178185;;;;;;;;
Республика Карелия;93268;;;;;;;;
Республика Коми;170537;;;;;;;;
Архангельская область;310669;;;;;;;;
в том числе:;;;;;;;;;
Ненецкий автономный округ;21434;;;;;;;;
Архангельская область без автономного округа;289235;;;;;;;;
Вологодская область;572244;;;;;;;;
Калининградская область;464119;;;;;;;;
Ленинградская область;909008;;;;;;;;
Мурманская область;160154;;;;;;;;
Новгородская область;181982;;;;;;;;
Псковская область;94887;;;;;;;;
г. Санкт-Петербург;2221317;;;;;;;;
Южный            федеральный округ;2615541;;;;;;;;
Республика Адыгея;47823;;;;;;;;
Республика Калмыкия;1235;;;;;;;;
Республика Крым;78647;;;;;;;;
Краснодарский край;923476;;;;;;;;
Астраханская область;53839;;;;;;;;
Волгоградская область;724306;;;;;;;;
Ростовская область;772905;;;;;;;;
г. Севастополь;13310;;;;;;;;
Северо-Кавказский       федеральный округ;405290;;;;;;;;
Республика Дагестан;40558;;;;;;;;
Республика Ингушетия;1865;;;;;;;;
Кабардино-Балкарская Республика;27688;;;;;;;;
Карачаево-Черкесская Республика;35194;;;;;;;;
Республика Северная           Осетия – Алания;27588;;;;;;;;
Чеченская Республика;10186;;;;;;;;
Ставропольский край;262211;;;;;;;;
Приволжский федеральный округ;7942292;;;;;;;;
Республика Башкортостан ;1082923;;;;;;;;
Республика Марий Эл;152086;;;;;;;;
Республика Мордовия;167180;;;;;;;;
Республика Татарстан;1596330;;;;;;;;
Удмуртская Республика ;321066;;;;;;;;
Чувашская Республика;172565;;;;;;;;
Пермский край ;933960;;;;;;;;
Кировская область;199822;;;;;;;;
Нижегородская область;1237833;;;;;;;;
Оренбургская область ;304238;;;;;;;;
Пензенская область;195823;;;;;;;;
Самарская область;969528;;;;;;;;
Саратовская область;352459;;;;;;;;
Ульяновская область;256480;;;;;;;;
Уральский        федеральный округ;4760492;;;;;;;;
Курганская область ;96670;;;;;;;;
Свердловская область ;1734335;;;;;;;;
Тюменская область;1568613;;;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;534441;;;;;;;;
Ямало-Ненецкий автономный округ;346799;;;;;;;;
Тюменская область без автономных округов;687373;;;;;;;;
Челябинская область ;1360874;;;;;;;;
Сибирский           федеральный округ;3911191;;;;;;;;
Республика Алтай ;4995;;;;;;;;
Республика Бурятия;59164;;;;;;;;
Республика Тыва;370;;;;;;;;
Республика Хакасия;87250;;;;;;;;
Алтайский край ;307970;;;;;;;;
Забайкальский край;26309;;;;;;;;
Красноярский край;990878;;;;;;;;
Иркутская область;481866;;;;;;;;
Кемеровская область ;545842;;;;;;;;
Новосибирская область ;459489;;;;;;;;
Омская область ;791301;;;;;;;;
Томская область ;155757;;;;;;;;
Дальневосточный федеральный округ;702797;;;;;;;;
Республика Саха (Якутия);34852;;;;;;;;
Камчатский край;99560;;;;;;;;
Приморский край;229130;;;;;;;;
Хабаровский край;244085;;;;;;;;
Амурская область;31095;;;;;;;;
Магаданская область;4467;;;;;;;;
Сахалинская область;51842;;;;;;;;
Еврейская автономная область;6743;;;;;;;;
Чукотский автономный округ;1023;;;;;;;;
?????;;;;;;;;;
1) Данные сформированы по кругу крупных, средних и малых организаций по фактическим видам экономической деятельности  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС РЕД. 2) (ОКВЭД2).;;;;;;;;;
