Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;
ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;
"13.1.7. «Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений» в соответствии с ОКВЭД21)";;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;
;2017;;;;;;;;
Российская Федерация;1022498;;;;;;;;
"Центральный
федеральный округ";312144;;;;;;;;
Белгородская область;10614;;;;;;;;
Брянская область;7347;;;;;;;;
Владимирская область;9987;;;;;;;;
Воронежская область;12116;;;;;;;;
Ивановская область;4285;;;;;;;;
Калужская область;8463;;;;;;;;
Костромская область;3101;;;;;;;;
Курская область;4582;;;;;;;;
Липецкая область;10347;;;;;;;;
Московская область;72279;;;;;;;;
Орловская область;3238;;;;;;;;
Рязанская область;5163;;;;;;;;
Смоленская область;6839;;;;;;;;
Тамбовская область;3102;;;;;;;;
Тверская область;6240;;;;;;;;
Тульская область;9426;;;;;;;;
Ярославская область;9396;;;;;;;;
г. Москва;125621;;;;;;;;
"Северо-Западный
федеральный округ";116340;;;;;;;;
Республика Карелия;3067;;;;;;;;
Республика Коми;5715;;;;;;;;
Архангельская область;5767;;;;;;;;
в том числе:;;;;;;;;;
Ненецкий автономный округ;479;;;;;;;;
Архангельская область без автономного округа;5288;;;;;;;;
Вологодская область;7872;;;;;;;;
Калининградская область;6013;;;;;;;;
Ленинградская область;13257;;;;;;;;
Мурманская область;9217;;;;;;;;
Новгородская область;2998;;;;;;;;
Псковская область;4534;;;;;;;;
г. Санкт-Петербург;57899;;;;;;;;
Южный          федеральный округ;83770;;;;;;;;
Республика Адыгея;1807;;;;;;;;
Республика Калмыкия;395;;;;;;;;
Республика Крым;6175;;;;;;;;
Краснодарский край;28504;;;;;;;;
Астраханская область;4784;;;;;;;;
Волгоградская область;14641;;;;;;;;
Ростовская область;25736;;;;;;;;
г. Севастополь;1729;;;;;;;;
Северо-Кавказский     федеральный округ;18195;;;;;;;;
Республика Дагестан;2626;;;;;;;;
Республика Ингушетия;487;;;;;;;;
Кабардино-Балкарская Республика;1069;;;;;;;;
Карачаево-Черкесская Республика;991;;;;;;;;
Республика Северная Осетия – Алания;1542;;;;;;;;
Чеченская Республика;1408;;;;;;;;
Ставропольский край;10071;;;;;;;;
Приволжский      федеральный округ;209722;;;;;;;;
Республика Башкортостан ;22875;;;;;;;;
Республика Марий Эл;4671;;;;;;;;
Республика Мордовия;3347;;;;;;;;
Республика Татарстан;28212;;;;;;;;
Удмуртская Республика ;7071;;;;;;;;
Чувашская Республика;6248;;;;;;;;
Пермский край ;24411;;;;;;;;
Кировская область;4776;;;;;;;;
Нижегородская область;29172;;;;;;;;
Оренбургская область ;13608;;;;;;;;
Пензенская область;5329;;;;;;;;
Самарская область;40487;;;;;;;;
Саратовская область;11208;;;;;;;;
Ульяновская область;8307;;;;;;;;
Уральский          федеральный округ;142211;;;;;;;;
Курганская область ;2856;;;;;;;;
Свердловская область ;60330;;;;;;;;
Тюменская область;44790;;;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;22732;;;;;;;;
Ямало-Ненецкий автономный округ;10388;;;;;;;;
Тюменская область без автономных округов;11671;;;;;;;;
Челябинская область ;34234;;;;;;;;
Сибирский федеральный округ;108977;;;;;;;;
Республика Алтай ;356;;;;;;;;
Республика Бурятия;1512;;;;;;;;
Республика Тыва;326;;;;;;;;
Республика Хакасия;1455;;;;;;;;
Алтайский край ;8069;;;;;;;;
Забайкальский край;2842;;;;;;;;
Красноярский край;28898;;;;;;;;
Иркутская область;14309;;;;;;;;
Кемеровская область ;17251;;;;;;;;
Новосибирская область ;17522;;;;;;;;
Омская область ;8673;;;;;;;;
Томская область ;7764;;;;;;;;
Дальневосточный   федеральный округ;31140;;;;;;;;
Республика Саха (Якутия);5175;;;;;;;;
Камчатский край;2555;;;;;;;;
Приморский край;9476;;;;;;;;
Хабаровский край;6805;;;;;;;;
Амурская область;2881;;;;;;;;
Магаданская область;854;;;;;;;;
Сахалинская область;2662;;;;;;;;
Еврейская автономная область;446;;;;;;;;
Чукотский автономный округ;288;;;;;;;;
_______________;;;;;;;;;
1) Данные сформированы по кругу крупных, средних и малых организаций по фактическим видам экономической деятельности  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС РЕД. 2) (ОКВЭД2).;;;;;;;;;
