Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;
ИНДЕКСЫ ПРОМЫШЛЕННОГО ПРОИЗВОДСТВА;;;;;;;;;
13.2.2. В соответствии с ОКВЭД21);;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;
;2015;2016;2017;;;;;;
Российская Федерация;99,2;102,2;102,1;;;;;;
"Центральный
федеральный округ";100,3;105,0;102,1;;;;;;
Белгородская область;105,0;105,0;106,1;;;;;;
Брянская область;113,9;105,9;107,3;;;;;;
Владимирская область;99,4;96,8;100,6;;;;;;
Воронежская область;103,5;108,1;106,7;;;;;;
Ивановская область;96,3;107,7;101,2;;;;;;
Калужская область;96,9;108,4;115,1;;;;;;
Костромская область;93,6;101,7;108,6;;;;;;
Курская область;104,5;104,7;103,1;;;;;;
Липецкая область;100,5;103,4;103,0;;;;;;
Московская область;100,5;110,7;111,3;;;;;;
Орловская область;98,6;98,9;96,7;;;;;;
Рязанская область;97,9;102,9;102,0;;;;;;
Смоленская область;101,9;101,1;102,8;;;;;;
Тамбовская область;105,2;104,1;110,1;;;;;;
Тверская область;97,7;105,5;101,8;;;;;;
Тульская область;110,5;114,3;106,2;;;;;;
Ярославская область;102,2;106,8;114,2;;;;;;
г. Москва;98,8;100,2;101,0;;;;;;
"Северо-Западный
федеральный округ";98,1;103,3;101,8;;;;;;
Республика Карелия;99,2;103,0;103,0;;;;;;
Республика Коми;101,8;96,5;97,1;;;;;;
Архангельская область;105,5;106,9;115,6;;;;;;
в том числе;;;;;;;;;
Ненецкий автономный округ;110,4;114,9;96,9;;;;;;
Архангельская область без автономного округа;101,5;100,0;132,4;;;;;;
Вологодская область;103,0;101,2;101,0;;;;;;
Калининградская область;92,6;101,4;102,8;;;;;;
Ленинградская область;99,6;103,7;100,7;;;;;;
Мурманская область;107,4;105,6;110,6;;;;;;
Новгородская область;100,0;111,2;109,6;;;;;;
Псковская область;102,6;104,2;106,5;;;;;;
г. Санкт-Петербург;93,0;103,9;105,7;;;;;;
Южный         федеральный округ;112,2;105,8;104,2;;;;;;
Республика Адыгея;102,5;109,9;104,2;;;;;;
Республика Калмыкия;98,8;109,3;99,6;;;;;;
Республика Крым;127,2;125,0;104,5;;;;;;
Краснодарский край;102,9;103,7;104,4;;;;;;
Астраханская область;108,7;112,0;134,1;;;;;;
Волгоградская область;102,7;102,7;103,5;;;;;;
Ростовская область;153,0;112,2;107,1;;;;;;
г. Севастополь;165,5;120,1;97,9;;;;;;
Северо-Кавказский федеральный округ;105,2;109,4;102,7;;;;;;
Республика Дагестан;104,5;125,9;115,2;;;;;;
Республика Ингушетия ;100,4;100,3;110,8;;;;;;
Кабардино-Балкарская Республика;106,6;92,9;101,5;;;;;;
Карачаево-Черкесская Республика;100,2;101,7;113,3;;;;;;
Республика Северная Осетия – Алания;94,7;92,1;102,4;;;;;;
Чеченская Республика ;100,7;100,9;100,2;;;;;;
Ставропольский край;107,1;112,5;102,0;;;;;;
Приволжский федеральный округ;100,4;102,1;102,1;;;;;;
Республика Башкортостан;101,2;103,5;102,6;;;;;;
Республика Марий Эл;108,9;95,3;106,9;;;;;;
Республика Мордовия;99,0;100,2;110,9;;;;;;
Республика Татарстан;101,5;103,5;101,8;;;;;;
Удмуртская Республика;102,6;107,6;100,2;;;;;;
Чувашская Республика;96,5;107,8;103,1;;;;;;
Пермский край;99,6;99,9;104,1;;;;;;
Кировская область;102,4;103,3;102,1;;;;;;
Нижегородская область;102,6;104,4;105,0;;;;;;
Оренбургская область;92,3;94,6;100,1;;;;;;
Пензенская область;108,4;104,8;103,4;;;;;;
Самарская область;99,5;98,8;102,5;;;;;;
Саратовская область;103,4;104,2;105,0;;;;;;
Ульяновская область;103,5;101,9;107,0;;;;;;
Уральский          федеральный округ;98,7;101,8;101,9;;;;;;
Курганская область;102,9;102,7;101,4;;;;;;
Свердловская область;96,6;102,6;101,4;;;;;;
Тюменская область;99,9;102,1;102,2;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;97,4;100,8;99,2;;;;;;
Ямало-Ненецкий автономный округ;104,4;104,6;109,0;;;;;;
Тюменская область без автономных округов;109,7;104,5;103,6;;;;;;
Челябинская область;98,0;96,8;105,5;;;;;;
Сибирский          федеральный округ;100,6;101,3;103,8;;;;;;
Республика Алтай;125,1;140,4;118,3;;;;;;
Республика Бурятия;102,2;86,3;94,1;;;;;;
Республика Тыва;126,2;126,7;110,5;;;;;;
Республика Хакасия;100,4;114,0;99,0;;;;;;
Алтайский край;100,3;102,8;104,0;;;;;;
Забайкальский край;98,1;103,8;100,2;;;;;;
Красноярский край;98,2;99,3;107,3;;;;;;
Иркутская область;106,8;106,0;104,2;;;;;;
Кемеровская область;102,2;104,1;102,8;;;;;;
Новосибирская область;99,4;101,0;104,3;;;;;;
Омская область;100,2;97,4;104,1;;;;;;
Томская область;100,5;101,1;99,6;;;;;;
Дальневосточный федеральный округ;105,5;102,3;102,8;;;;;;
Республика Саха (Якутия);103,9;102,0;101,5;;;;;;
Камчатский край;103,5;113,3;104,7;;;;;;
Приморский край;91,1;98,8;118,5;;;;;;
Хабаровский край;102,7;101,1;113,5;;;;;;
Амурская область;96,9;89,8;101,2;;;;;;
Магаданская область;107,2;100,4;107,2;;;;;;
Сахалинская область;113,1;106,3;99,5;;;;;;
Еврейская автономная область;92,1;92,5;140,3;;;;;;
Чукотский автономный округ;102,7;93,3;92,2;;;;;;
?????;;;;;;;;;
