Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;
ИНДЕКСЫ ПРОИЗВОДСТВА по виду экономической деятельности «Добыча полезных ископаемых»;;;;;;;;
13.3.2. В соответствии с ОКВЭД21);;;;;;;;
(в процентах к предыдущему году);;;;;;;;
;2015;2016;2017;;;;;
Российская Федерация;100,7;102,3;102,1;;;;;
"Центральный
федеральный округ";101,4;101,6;102,0;;;;;
Белгородская область;102,0;101,7;102,8;;;;;
Брянская область;94,5;80,0;84,4;;;;;
Владимирская область;77,1;93,9;112,0;;;;;
Воронежская область;91,3;106,7;107,5;;;;;
Ивановская область;105,8;105,3;115,8;;;;;
Калужская область;94,5;116,2;121,6;;;;;
Костромская область;100,6;88,7;93,8;;;;;
Курская область;104,8;104,6;101,2;;;;;
Липецкая область;101,9;99,9;97,8;;;;;
Московская область;91,1;86,3;109,2;;;;;
Орловская область;77,0;65,7;144,8;;;;;
Рязанская область;72,0;90,0;118,6;;;;;
Смоленская область;73,8;115,0;96,7;;;;;
Тамбовская область;108,3;100,1;101,4;;;;;
Тверская область;128,2;86,0;94,1;;;;;
Тульская область;96,1;104,7;102,5;;;;;
Ярославская область;81,0;104,1;140,2;;;;;
г. Москва;-;-;-;;;;;
"Северо-Западный
федеральный округ";105,8;102,8;96,4;;;;;
Республика Карелия;99,3;103,0;103,0;;;;;
Республика Коми;105,0;96,4;91,5;;;;;
Архангельская область;112,2;114,9;97,4;;;;;
в том числе:;;;;;;;;
Ненецкий автономный округ;110,6;115,1;96,9;;;;;
Архангельская область без автономного округа;174,0;109,5;110,7;;;;;
Вологодская область;86,7;88,7;114,5;;;;;
Калининградская область;94,4;92,9;91,7;;;;;
Ленинградская область;129,6;53,5;97,8;;;;;
Мурманская область;103,7;107;108,5;;;;;
Новгородская область;229,2;94,2;85,1;;;;;
Псковская область;111,2;105,5;109,1;;;;;
г. Санкт-Петербург;83,1;143,9;106,3;;;;;
