Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;
Растениеводство;;;;;;;;
 ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ1) ;;;;;;;;
14.24.2. Органические удобрения;;;;;;;;
(тонн);;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017
Российская Федерация;0,9;1,1;1,1;1,1;1,3;1,3;1,4;1,5
Центральный       федеральный округ;1,0;1,5;1,8;1,9;2,3;2,2;2,2;2,5
Белгородская область;0,9;2,6;4,5;5,7;8,3;7,6;7,2;8,4
Брянская область;1,2;1,3;1,0;1,0;1,1;1,0;0,9;2,3
Владимирская область;1,5;2,3;2,6;2,2;2,4;3,0;3,2;3,0
Воронежская область;1,4;2,1;2,5;2,4;2,6;2,8;3,1;3,1
Ивановская область;1,3;1,4;1,5;1,4;1,7;1,9;1,8;2,0
Калужская область;1,2;1,5;1,3;1,3;1,5;1,8;2,1;1,8
Костромская область;0,8;1,4;1,9;1,7;1,6;1,6;1,8;2,1
Курская область;0,5;0,3;0,3;0,3;0,4;0,4;0,5;0,6
Липецкая область;1,4;2,9;3,0;2,3;2,6;2,3;2,3;2,2
Московская область;2,3;2,6;2,2;2,6;2,4;2,5;2,7;2,5
Орловская область;0,5;0,6;1,0;1,1;1,3;1,3;1,3;1,5
Рязанская область;0,9;0,9;0,6;0,5;0,8;1,1;1,2;1,1
Смоленская область;1,0;1,9;2,2;2,4;2,1;2,0;1,8;1,8
Тамбовская область;0,7;0,2;0,2;0,2;0,3;0,3;0,3;0,2
Тверская область;1,2;0,8;0,9;0,8;1,1;0,9;1,1;1,2
Тульская область;0,3;0,3;0,5;0,8;0,3;0,5;0,5;-
