Социально-экономические показатели по субъектам Российской Федерации;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;
ЛЕСНЫЕ РЕСУРСЫ;;;
14.37.2. Площадь, покрытая лесом1);;;
"(по данным учета на конец года; тыс. га)";;;
;2015;2016;2017
Российская Федерация;795049;795140;794686
Центральный    федеральный округ;22636;22648;22637
Белгородская область;234;235;235
Брянская область;1146;1146;1147
Владимирская область;1482;1489;1493
Воронежская область;422;425;426
Ивановская область;993;993;989
Калужская область;1346;1344;1342
Костромская область;4474;4461;4462
Курская область;245;245;245
Липецкая область;176;185;198
Московская область;1890;1891;1894
Орловская область;198;197;197
Рязанская область;950;966;936
Смоленская область;2090;2089;2086
Тамбовская область;363;362;364
Тверская область;4618;4612;4610
Тульская область;366;367;367
Ярославская область;1643;1642;1646
Северо-Западный    федеральный округ;88530;88571;88546
Республика Карелия;9556;9569;9579
Республика Коми;30332;30331;30310
Архангельская область;22514;22525;22522
в том числе:;;;
Ненецкий автономный округ;191;191;191
Архангельская область    без автономного округа;22324;22335;22332
Вологодская область;9994;9995;9962
Калининградская область;281;281;282
Ленинградская область;4793;4791;4806
Мурманская область;5419;5419;5423
Новгородская область;3477;3487;3495
Псковская область;2144;2152;2148
г. Санкт-Петербург;19;19;19
Южный            федеральный округ;2956;2954;2955
Республика Адыгея;287;287;287
Республика Калмыкия;16;16;16
Республика Крым;279;275;279
Краснодарский край;1523;1523;1523
Астраханская область;95;95;95
Волгоградская область;482;483;480
Ростовская область;246;246;246
г. Севастополь;29;29;30
Северо-Кавказский федеральный округ;1697;1700;1701
Республика Дагестан;363;364;364
Республика Ингушетия ;79;79;79
Кабардино-Балкарская Республика;192;192;192
Карачаево-Черкесская Республика;429;431;431
Республика Северная Осетия – Алания;194;194;194
Чеченская Республика ;336;336;337
Ставропольский край;104;104;104
Приволжский федеральный округ;37743;37792;37857
Республика Башкортостан;5697;5696;5695
Республика Марий Эл;1273;1295;1304
Республика Мордовия;705;705;707
Республика Татарстан;1189;1189;1189
Удмуртская Республика;1948;1944;1943
Чувашская Республика;587;588;590
Пермский край;11435;11433;11439
Кировская область;7584;7569;7558
Нижегородская область;3564;3616;3662
Оренбургская область;572;573;573
Пензенская область;892;891;891
Самарская область;682;681;686
Саратовская область;634;634;634
Ульяновская область;981;979;987
Уральский         федеральный округ;69497;69458;69425
Курганская область;1582;1588;1594
Свердловская область;13338;13353;13347
Тюменская область;51973;51912;51875
в том числе:;;;
Ханты-Мансийский автономный округ – Югра;28819;28797;28802
Ямало-Ненецкий автономный округ;16086;16063;16024
Тюменская область без автономных округов;7069;7052;7049
Челябинская область;2603;2606;2609
Сибирский федеральный округ;276776;276691;276625
Республика Алтай;4117;4122;4125
Республика Бурятия;22378;22468;22531
Республика Тыва;8373;8377;8375
Республика Хакасия;3067;3068;3068
Алтайский край;3819;3821;3825
Забайкальский край;29461;29462;29480
Красноярский край;106909;106845;106789
Иркутская область;64172;64082;63990
Кемеровская область;5726;5722;5727
Новосибирская область;4826;4848;4857
Омская область;4551;4562;4561
Томская область;19377;19313;19298
Дальневосточный федеральный округ;295215;295326;294941
Республика Саха (Якутия);157106;157209;156760
Камчатский край;19834;19834;19836
Приморский край;12724;12721;12720
Хабаровский край;52102;52145;52211
Амурская область;23670;23659;23651
Магаданская область;17293;17295;17300
Сахалинская область;5936;5924;5927
Еврейская автономная область;1644;1642;1640
Чукотский автономный округ;4906;4897;4897
?????;;;
1)  По данным Рослесхоза.;;;
