Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;
ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ1);;;;;;;;;
14.39.2. Площадь лесных земель, пройденная пожарами;;;;;;;;;
(гектар);;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;
Российская Федерация;1962333;1367467;2054025;1158024;3190696;2748920;2508265;3282089;
Центральный       федеральный округ;261643;2270;192;281;2638;1292;190;330;
Белгородская область;651;1;-;-;-;-;-;-;
Брянская область;1974;24;43;24;246;822;1;36;
Владимирская область;30250;305;12;10;34;29;17;2;
Воронежская область;19994;36;20;16;156;14;6;156;
Ивановская область;25915;834;9;3;34;12;6;2;
Калужская область;1690;9;1;5;48;5;5;7;
Костромская область;787;46;10;114;75;8;14;-;
Курская область;122;-;-;5;-;-;-;-;
Липецкая область;9102;7;0,4;0,3;5;-;-;-;
Московская область;24309;293;19;5;127;58;50;121;
Орловская область;33;-;-;-;-;5;-;-;
Рязанская область;131379;57;17;36;86;22;-;-;
Смоленская область;250;7;6;19;26;240;6;1;
Тамбовская область;12598;2;2;4;45;14;0,0;1;
Тверская область;2329;532;45;34;1476;48;47;2;
Тульская область;46;-;-;-;0,4;-;-;-;
Ярославская область;214;117;10;7;279;15;38;3;
г. Москва;;;;;;;;;
Северо-Западный      федеральный округ;42701;132431;2623;52367;7457;2043;4056;13247;
Республика Карелия;6262;4197;197;13008;2733;82;299;87;
Республика Коми;20266;50800;1366;32333;1378;668;2746;11915;
Архангельская область;14103;76517;549;4868;415;533;475;850;
в том числе:;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;0,0;-;
Архангельская область     без автономного округа;14103;76517;549;4868;415;533;475;850;
Вологодская область;908;286;40;183;244;26;42;4;
Калининградская область;29;0,7;-;0,3;44;9;1;2;
Ленинградская область;245;101;24;124;735;127;103;32;
Мурманская область;421;329;356;1760;1247;138;267;314;
Новгородская область;235;54;6;7;180;151;46;2;
Псковская область;231;145;84;83;480;309;77;42;
г. Санкт-Петербург;;;;;;;;;
Южный                            федеральный округ;4450;9032;250;45;555;905;320;6146;
Республика Адыгея;54;-;-;4;3;32;2;8;
Республика Калмыкия;-;-;-;5;92;27;12;-;
Республика Крым;;;;;-;-;43;496;
Краснодарский край;347;11;3;14;26;353;26;33;
Астраханская область;66;4522;-;3;16;17;-;-;
Волгоградская область;2086;1834;69;10;93;264;224;1064;
Ростовская область;1897;2664;178;10;324;211;1;4535;
г. Севастополь;;;;;-;-;12;10;
Северо-Кавказский      федеральный округ;3094;1226;230;198;120;492;22;299;
Республика Дагестан;366;39;175;-;50;29;17;267;
Республика Ингушетия;68;-;-;-;13;-;-;2;
Кабардино-Балкарская Республика;-;-;-;-;-;5;-;17;
Карачаево-Черкесская Республика;55;10;5;7;-;-;-;4;
Республика Северная Осетия – Алания;-;828;-;150;10;-;-;7;
Чеченская Республика ;2602;302;42;41;-;-;-;-;
Ставропольский край;3;47;8;-;47;458;5;2;
Приволжский федеральный округ;348455;2946;2453;2382;2834;6139;1867;2352;
Республика Башкортостан;8695;372;1146;108;167;154;455;340;
Республика Марий Эл;76350;17;20;14;56;55;32;21;
Республика Мордовия;27853;6;5;0,5;8;78;-;16;
Республика Татарстан;168;-;-;-;-;-;-;-;
Удмуртская Республика;266;6;2;19;10;2;8;2;
Чувашская Республика;9827;1;0,1;-;0,9;-;1;29;
Пермский край;25379;884;229;754;353;942;344;66;
Кировская область;5201;1379;8;833;148;89;83;3;
Нижегородская область;168770;61;20;72;886;105;28;26;
Оренбургская область;5419;119;934;421;845;594;849;1092;
Пензенская область;4265;38;0,3;24;162;233;11;61;
Самарская область;5065;15;65;119;50;34;11;-;
Саратовская область;6364;26;11;1;110;719;20;510;
Ульяновская область;4834;21;12;17;38;3133;25;186;
Уральский      федеральный округ;372637;94658;229953;198549;11565;11259;64155;243681;
Курганская область;20876;2548;9248;415;1780;3274;371;2311;
Свердловская область;253701;27725;6561;1874;3683;1871;3475;4926;
Тюменская область;86417;59939;185291;194329;4863;2789;57783;226101;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный      округ – Югра;52418;40950;122586;48738;1293;1567;8086;53924;
Ямало-Ненецкий автономный округ;220;12230;57645;145120;1818;798;49367;171602;
Тюменская область без автономных   округов;33779;6759;5059;472;1753;424;330;575;
Челябинская область;11643;4447;28854;1930;1239;3325;2526;10342;
Сибирский      федеральный округ;172639;572411;1287441;181835;1742710;2395874;1349061;2054581;
Республика Алтай;251;4170;9007;264;1239;2024;34;1067;
Республика Бурятия;30405;79260;105049;17687;106510;820973;140723;275700;
Республика Тыва;1653;13258;17034;32455;102672;119020;2671;44678;
Республика Хакасия;1441;5731;2114;1136;2683;13134;458;405;
Алтайский край;11755;1111;4831;94;1071;342;322;163;
Забайкальский край;62226;208033;440853;45062;522776;905766;266489;304151;
Красноярский край;8597;103637;415413;54707;153996;26692;207689;505333;
Иркутская область;42366;141872;23591;26759;732656;503708;709035;917380;
Кемеровская область;800;716;949;14;309;63;28;33;
Новосибирская область;1448;2931;4929;220;2192;973;835;1012;
Омская область;10361;4256;6694;1265;112766;881;926;3642;
Томская область;1337;7435;256977;2172;3840;2299;19851;1018;
Дальневосточный     федеральный округ;756715;552493;530882;722369;1422818;330916;1088594;961454;
Республика Саха (Якутия);87219;413137;157631;674374;949542;17986;11847;626564;
Камчатский  край;4355;1072;1072;2319;803;1893;5101;1655;
Приморский край;12527;4808;4654;3728;79753;8335;4293;89886;
Хабаровский край;40673;92891;309038;13058;50502;6994;115355;88968;
Амурская область;36561;33473;32522;25698;337321;162518;752695;98406;
Магаданская область;396775;2888;11566;230;518;4377;101594;6898;
Сахалинская область;442;70;8234;228;90;47;239;4426;
Еврейская автономная область;3276;1793;499;1655;3806;128042;91096;44397;
Чукотский автономный округ;174888;2362;5665;1080;483;725;6374;256;
?????;;;;;;;;;
1)  По данным Рослесхоза.;;;;;;;;;
