Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;
Растениеводство;;;;;;;;;
14.8. ПОСЕВНЫЕ ПЛОЩАДИ ЛЬНА-ДОЛГУНЦА;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;95,7;51,2;55,5;57,2;55,2;50,5;52,6;48,5;47,5
Центральный      федеральный округ;43,3;14,4;17,5;18,4;17,7;15,4;16,9;16,9;14,2
Белгородская область;-;-;0,0;-;-;-;-;0,2;0,2
Брянская область;4,3;0,5;0,8;1,2;1,9;2,1;2,2;1,8;2,0
Владимирская область;-;-;-;-;-;-;-;-;-
Воронежская область;-;0,0;-;-;-;-;-;-;-
Ивановская область;3,6;1,0;1,9;0,9;0,6;0,3;0,3;0,1;-
Калужская область;2,8;-;0,1;-;-;-;-;-;-
Костромская область;1,3;1,4;2,2;2,3;1,5;0,4;0,3;0,1;0,0
Курская область;-;-;-;-;-;-;-;-;-
Липецкая область ;-;-;-;-;-;-;-;-;-
Московская область;-;-;-;-;-;-;-;0,1;-
Орловская область;-;-;-;0,0;-;-;0,1;0,0;-
Рязанская область;-;0,0;0,1;0,1;0,1;0,1;-;-;-
Смоленская область;9,7;1,6;2,0;3,9;4,0;3,1;3,9;5,0;5,1
Тамбовская область ;-;-;-;-;-;-;-;-;-
Тверская область;18,4;6,1;6,3;6,0;6,1;6,5;7,4;6,8;4,4
Тульская область;0,1;0,1;-;0,1;0,1;0,1;-;-;  …1)
Ярославская область;3,1;3,6;4,1;3,9;3,4;2,9;2,8;2,9;2,5
г. Москва;-;-;-;-;-;-;-;-;-
Северо-Западный     федеральный округ;12,4;10,1;10,2;7,6;6,1;6,4;7,2;7,3;6,9
