Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;;
СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ;;;;;;;;;;;;;;;;;;;;
15.1. ЧИСЛО ДЕЙСТВУЮЩИХ СТРОИТЕЛЬНЫХ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;
Российская Федерация;112846;196234;209185;205075;217961;226838;232154;271604;279496;;;;;;;;;;;
Центральный федеральный округ;38594;71209;72307;57724;59547;59534;60657;78430;83101;;;;;;;;;;;
Белгородская область;1479;3231;2805;3496;3879;3664;2971;3451;3273;;;;;;;;;;;
Брянская область;432;505;752;1282;1431;1533;1480;1560;1584;;;;;;;;;;;
Владимирская область;976;2043;2401;2018;2172;2147;1410;2635;2334;;;;;;;;;;;
Воронежская область;1752;2273;2415;2344;2520;2745;2273;3488;4270;;;;;;;;;;;
Ивановская область;1155;2292;1445;1358;1299;1624;1293;1251;2372;;;;;;;;;;;
Калужская область;879;1524;1433;1658;1789;1925;1867;2065;2101;;;;;;;;;;;
Костромская область;957;1091;1113;1225;1280;1081;875;832;1388;;;;;;;;;;;
Курская область;644;1152;1122;1304;1385;1366;1441;1586;1407;;;;;;;;;;;
Липецкая область;572;613;967;960;1020;1083;1075;1154;1225;;;;;;;;;;;
Московская область;6367;8055;8645;8230;8367;8776;10829;20930;24070;;;;;;;;;;;
Орловская область;450;757;748;972;910;990;676;820;921;;;;;;;;;;;
Рязанская область;768;2671;1596;1919;2073;2186;3003;2807;2692;;;;;;;;;;;
Смоленская область;510;787;921;911;899;774;906;1232;1212;;;;;;;;;;;
Тамбовская область;535;978;990;1073;1106;1133;1267;1398;1476;;;;;;;;;;;
Тверская область;858;1490;1562;2206;2100;2088;2140;2676;2600;;;;;;;;;;;
Тульская область;1185;1819;1839;1912;2004;1838;1586;1876;2313;;;;;;;;;;;
Ярославская область;1479;3734;3580;3654;3710;3072;2034;2109;2051;;;;;;;;;;;
г. Москва;17596;36194;37973;21202;21603;21509;23531;26560;25812;;;;;;;;;;;
Северо-Западный федеральный округ;9864;15264;19560;18634;22084;25181;26889;25505;31271;;;;;;;;;;;
Республика Карелия;481;1024;977;991;1459;1237;1700;1576;1626;;;;;;;;;;;
Республика Коми;853;1768;1603;1761;1925;2032;1813;1635;1560;;;;;;;;;;;
Архангельская область;350;545;594;569;636;801;2195;1941;1941;;;;;;;;;;;
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;25;29;37;33;34;32;96;87;88;;;;;;;;;;;
Архангельская область без автономного округа;;;;536;602;769;2099;1854;1853;;;;;;;;;;;
Вологодская область;876;930;1384;1422;1566;1891;1906;1920;2891;;;;;;;;;;;
Калининградская область;1193;3286;3357;2286;2423;2838;1991;1877;1855;;;;;;;;;;;
Ленинградская область;750;888;1409;1363;1426;1534;1414;1280;1751;;;;;;;;;;;
Мурманская область;402;742;597;566;633;672;858;741;1370;;;;;;;;;;;
Новгородская область;313;856;983;1078;1285;1439;731;1182;1231;;;;;;;;;;;
Псковская область;447;539;746;887;1009;1036;1376;1191;1297;;;;;;;;;;;
г. Санкт-Петербург;4199;4686;7910;7711;9722;11701;12905;12162;15749;;;;;;;;;;;
Южный             федеральный округ;9851;14731;14776;15505;15633;17354;17716;19554;19543;;;;;;;;;;;
Республика Адыгея;270;435;443;465;483;543;719;754;788;;;;;;;;;;;
Республика Калмыкия;68;88;122;97;135;144;141;199;226;;;;;;;;;;;
Республика Крым;;;;;;378;223;252;2541;;;;;;;;;;;
Краснодарский край;3479;3884;4216;4143;4261;4634;5740;5938;5461;;;;;;;;;;;
Астраханская область;795;966;953;873;811;842;816;662;673;;;;;;;;;;;
Волгоградская область;1741;3390;2808;3262;3472;3605;3838;4131;3516;;;;;;;;;;;
Ростовская область;3498;5968;6234;6665;6471;6520;5526;6585;6219;;;;;;;;;;;
г. Севастополь;;;;;;688;713;1033;119;;;;;;;;;;;
Северо-Кавказский    федеральный округ;4349;5832;6094;6656;6646;6583;8542;10286;9901;;;;;;;;;;;
Республика Дагестан;1230;1868;1840;1563;1619;1367;2228;4624;4434;;;;;;;;;;;
Республика Ингушетия;964;675;724;957;989;928;871;367;405;;;;;;;;;;;
Кабардино-Балкарская Республика;348;530;526;516;530;479;481;398;644;;;;;;;;;;;
Карачаево-Черкесская Республика;212;280;225;183;233;239;366;447;252;;;;;;;;;;;
Республика Северная Осетия - Алания;273;731;809;427;422;420;564;462;512;;;;;;;;;;;
Чеченская Республика;;479;363;309;155;364;934;1047;508;;;;;;;;;;;
Ставропольский край;1322;1269;1607;2701;2698;2786;3098;2941;3146;;;;;;;;;;;
Приволжский   федеральный округ;22843;34082;39355;40583;44755;44487;50274;57465;57458;;;;;;;;;;;
Республика Башкортостан;3543;4674;4194;4615;6090;6115;7253;8084;8564;;;;;;;;;;;
Республика Марий Эл;344;413;441;461;485;510;524;531;541;;;;;;;;;;;
Республика Мордовия;724;997;917;1140;1236;1226;1257;1265;1160;;;;;;;;;;;
Республика Татарстан;3498;5826;6002;6536;6533;6499;9688;10578;10832;;;;;;;;;;;
Удмуртская Республика;980;2288;2385;2185;2448;2650;2287;2480;2337;;;;;;;;;;;
Чувашская Республика;1002;1911;1926;1910;1875;1984;2201;2529;2396;;;;;;;;;;;
Пермский край;1635;2400;4703;4601;4873;4754;7945;7449;6640;;;;;;;;;;;
Кировская область;593;1008;1755;2093;2347;2637;2562;2712;2470;;;;;;;;;;;
Нижегородская область;2861;3577;4713;3259;4244;3981;3445;3438;3961;;;;;;;;;;;
Оренбургская область;1386;2230;2249;2501;2564;2756;2686;2241;2811;;;;;;;;;;;
Пензенская область;825;1171;1010;1714;1826;1701;1088;1210;1715;;;;;;;;;;;
Самарская область;3551;4974;4973;5577;5707;5157;4048;8659;8576;;;;;;;;;;;
Саратовская область;1162;1148;2676;2297;2683;2681;3477;4045;3191;;;;;;;;;;;
Ульяновская область;739;1465;1411;1694;1844;1836;1813;2244;2264;;;;;;;;;;;
Уральский      федеральный округ;10078;20098;22264;24872;25625;27411;24255;29741;27931;;;;;;;;;;;
Курганская область;468;650;598;940;972;888;606;896;1035;;;;;;;;;;;
Свердловская область;3330;6908;7216;7733;8378;8786;9019;11901;11569;;;;;;;;;;;
Тюменская область;3838;8642;10831;12322;11834;12908;10120;12169;10782;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ - Югра;1718;3641;4231;4960;4240;5020;3777;4581;3951;;;;;;;;;;;
Ямало-Ненецкий    автономный округ;769;1245;1622;1743;1591;1615;925;1369;1201;;;;;;;;;;;
Тюменская область без автономных округов;;;;5619;6003;6273;5418;6219;5630;;;;;;;;;;;
Челябинская область;2442;3898;3619;3877;4441;4829;4510;4775;4545;;;;;;;;;;;
Сибирский            федеральный округ;12479;27276;25753;30896;32887;35199;33451;37290;37647;;;;;;;;;;;
Республика Алтай;134;227;255;311;312;272;393;457;429;;;;;;;;;;;
Республика Бурятия;487;933;1131;1353;1557;1606;1674;1720;1600;;;;;;;;;;;
Республика Тыва;129;164;174;192;213;199;130;251;175;;;;;;;;;;;
Республика Хакасия;318;386;448;792;893;955;834;753;748;;;;;;;;;;;
Алтайский край;1406;2979;2763;3400;3439;3147;3442;3957;3715;;;;;;;;;;;
Забайкальский край;317;329;335;343;339;330;335;314;332;;;;;;;;;;;
Красноярский край;1355;3833;4450;6540;6853;7156;6023;6992;6664;;;;;;;;;;;
Иркутская область;1222;2557;2797;2902;3079;3578;4128;4704;4833;;;;;;;;;;;
Кемеровская область;1988;3156;3275;3929;4003;3981;3442;3769;3433;;;;;;;;;;;
Новосибирская область;2335;8102;5677;5756;6302;7942;8411;8781;9097;;;;;;;;;;;
Омская область;1866;2674;2840;3133;3539;3825;3371;3635;4016;;;;;;;;;;;
Томская область;922;1936;1608;2245;2358;2208;1268;1957;2605;;;;;;;;;;;
Дальневосточный федеральный округ;4788;7742;9076;10205;10784;11089;10370;13333;12644;;;;;;;;;;;
Республика Саха (Якутия);653;1020;2073;2752;3055;3150;1596;2670;2654;;;;;;;;;;;
Камчатский край;208;416;555;744;789;787;932;1032;864;;;;;;;;;;;
Приморский край;1894;2746;2850;3021;3081;3129;3650;4308;4073;;;;;;;;;;;
Хабаровский край;943;915;1270;1279;1310;1280;1742;1744;1715;;;;;;;;;;;
Амурская область;444;924;873;808;806;811;848;1510;1433;;;;;;;;;;;
Магаданская область;148;123;173;167;167;150;160;164;164;;;;;;;;;;;
Сахалинская область;374;1401;1008;1166;1291;1534;1190;1636;1528;;;;;;;;;;;
Еврейская автономная область;67;186;243;237;276;229;221;251;195;;;;;;;;;;;
Чукотский автономный округ;57;11;31;31;9;19;31;18;18;;;;;;;;;;;
