Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;;
16.4. ПРОДАЖА ТОВАРОВ НА РОЗНИЧНЫХ РЫНКАХ И ЯРМАРКАХ;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей) ";;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;
Российская Федеpация, млрд. руб.;1495,7;2054,9;2205,9;2268,2;2232,1;2299;2168,6;2007,2;1935,6;
Центpальный федеральный округ;625874;880387;958830;1018478;1018813;1052951;896881;744402;684378;
Белгородская область;14705;20752;23679;26582;28817;30282;37276;35432;28485;
Бpянская область;11673;16601;19315;20352;21105;20803;20072;20394;21753;
Владимирская область;5181;6366;7356;8527;9369;10251;10602;10429;10439;
Воронежская область;10147;18688;22915;24029;25250;29221;32475;35968;34514;
Ивановская область;3586;4905;5482;5795;6158;3786;4253;4215;4329;
Калужская область;6574;8058;10037;8518;7524;7610;8427;8718;7997;
Костpомская область;2903;3919;3872;3179;2590;2605;2317;2047;1637;
Курская область;13940;20105;20483;21437;20795;22255;24385;22642;19473;
Липецкая область;11972;14386;15139;15113;13749;15191;13814;11662;13058;
Московская область;65109;85284;96718;94800;59649;42444;32650;37659;41458;
Орловская область;6494;7675;8131;6437;7411;7995;7967;7506;6309;
Рязанская область;5286;9713;10432;11751;11983;11402;10460;8263;8413;
Смоленская область;16900;13937;12554;13221;12070;8877;8845;7979;7804;
Тамбовская область;13934;15453;15875;15366;13054;14056;15500;16904;17853;
Твеpская область;7425;10080;10814;11376;12378;13411;13329;12626;11730;
Тульская область;7410;11653;11886;13029;9673;8604;8710;8128;6782;
Яpославская область;7258;8581;10869;10178;10328;9063;8060;7060;4483;
г. Москва;415377;604231;653272;708788;746911;795098;637739;486769;437861;
Севеpо-Западный     федеральный округ;92048;71485;69868;61878;55908;51537;48656;43343;42188;
Республика Каpелия;4655;2957;2600;1636;1266;1066;460;387;417;
Республика Коми;5899;1560;1204;746;841;443;353;196;210;
Аpхангельская область;6530;6671;8643;7277;4852;5260;4215;1986;2139;
в том числе: ;;;;;;;;;;
Ненецкий автономный округ;49;-;-;-;-;-;-;-;-;
Архангельская область     без автономного округа;;;;;4852;5260;4215;1986;2139;
Вологодская область;5055;4432;2959;2575;2211;1847;1456;1593;1795;
Калининградская область;2618;4891;5169;5074;3894;3993;4730;4563;3664;
Ленингpадская область;10526;3700;3851;4032;2876;2085;862;871;954;
Муpманская область;10955;10068;9887;8915;7686;5357;3182;908;403;
Новгородская область;6753;7791;8393;8790;8949;9151;10321;10112;10267;
Псковская область;6926;7799;7913;8143;8067;8329;8870;8581;8829;
г. Санкт-Петеpбуpг;32131;21617;19249;14688;15265;14008;14206;14146;13509;
Южный           федеральный округ1);115908;213524;228733;221613;224583;230918;241843;311825;283712;
Республика Адыгея;3433;4084;4105;4418;4820;4665;5203;5262;4595;
Республика Калмыкия;149;244;263;274;214;169;92;47;74;
Республика Крым;;;;;;52559;50798;59911;41885;
Краснодарский край;43138;117023;122887;111191;122367;126035;128972;128476;123972;
Астраханская область;6866;8115;8642;8872;9040;7264;7708;7455;6932;
