Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;
16.5. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ ПО ТОРГОВЫМ СЕТЯМ;;;;;;;;;
" (в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации)";;;;;;;;;
;20101);2011;2012;2013;2014;2015;2016;2017;
Российская Федеpация;17,5;18,4;20,5;21,9;22,9;25,0;27,4;29,9;
Центpальный федеральный округ;20,7;20,8;21,2;23,2;23,8;26,3;27,3;31,7;
Белгородская область;20,8;20,6;22,2;22,6;22,3;23,2;23,0;23,6;
Бpянская область;18,7;18,2;19,4;14,4;15,3;21,6;21,7;27,0;
Владимиpская область;24,3;29,3;29,0;30,7;32,1;33,4;37,9;39,4;
Воронежская область;16,0;20,9;21,0;22,3;22,5;21,6;23,3;24,5;
Ивановская область;19,1;22,3;21,9;23,4;24,4;27,2;28,5;28,9;
Калужская область;9,9;17,1;19,7;23,3;26,0;30,5;34,8;36,9;
Костpомская область;12,9;12,7;16,9;19,7;21,9;24,8;25,7;28,1;
Курская область;19,2;20,5;21,8;23,2;24,2;24,6;25,4;28,8;
Липецкая область;23,3;23,8;23,3;23,2;22,5;23,9;25,5;27,2;
Московская область;27,4;27,4;28,1;33,6;33,1;36,5;35,8;40,1;
Оpловская область;23,2;25,0;26,4;27,6;28,5;27,7;30,3;32,5;
Рязанская область;21,0;20,6;20,4;27,9;32,7;34,7;38,1;36,0;
Смоленская область;8,5;10,8;11,5;15,7;18,9;21,7;25,5;26,9;
Тамбовская область;15,1;15,1;17,2;18,8;20,5;20,8;22,4;23,7;
Твеpская область;18,2;17,7;12,8;12,5;17,2;40,6;37,9;36,2;
Тульская область;20,4;23,3;25,2;23,6;27,7;30,2;31,1;29,4;
Яpославская область;22,9;25,2;22,2;27,4;27,9;30,3;37,9;38,3;
г. Москва;19,6;18,7;19,1;20,4;20,4;21,8;22,5;29,3;
Севеpо-Западный федеральный округ;32,2;34,0;37,6;36,9;39,1;41,8;47,0;47,3;
Республика Каpелия;14,9;17,1;21,9;26,0;29,5;34,1;40,6;43,4;
Республика Коми;12,4;15,7;17,1;20,0;25,3;28,4;28,3;30,7;
Аpхангельская область;5,7;6,0;10,1;12,1;11,7;16,0;22,0;23,9;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;16,3;16,9;16,0;16,8;16,9;20,1;27,8;29,7;
Архангельская область     без автономного округа;;;;11,9;11,5;15,9;21,8;23,7;
Вологодская область;12,0;17,3;24,8;27,7;24,9;32,0;34,8;35,1;
Калининградская область;17,5;21,4;27,2;25,4;24,3;33,7;37,0;37,0;
Ленингpадская область;31,5;31,7;37,2;39,3;44,4;45,9;50,4;49,6;
Муpманская область;24,1;25,7;28,9;35,1;37,4;37,8;40,9;43,1;
Новгоpодская область;22,7;27,3;29,7;30,4;32,1;29,9;37,9;38,1;
Псковская область;29,7;30,1;31,6;29,6;29,4;35,1;37,4;38,9;
г. Санкт-Петеpбуpг;48,8;51,1;53,7;49,3;52,1;52,8;58,8;58,2;
Южный                федеральный округ2);15,7;17,9;20,0;20,9;22,1;23,8;25,5;26,1;
Республика Адыгея;32,4;34,1;35,4;36,4;38,0;39,6;37,8;35,3;
Республика Калмыкия;13,8;12,8;14,1;18,2;18,3;19,2;22,9;25,5;
Республика Крым;;;;;4,7;17,2;15,1;20,2;
Краснодарский край;11,8;15,4;17,5;17,8;18,3;21,8;25,1;25,4;
Астраханская область;12,8;15,0;17,4;17,3;17,8;18,3;19,0;22,4;
Волгоградская область;22,3;25,1;26,0;28,5;30,7;31,4;35,1;33,5;
Ростовская область;17,1;17,5;19,9;21,0;23,3;23,4;25,1;25,6;
г. Севастополь;;;;;2,3;19,8;24,5;23,6;
Севеpо-Кавказский федеральный округ;5,0;5,8;6,3;6,2;5,8;5,8;6,4;6,7;
Республика Дагестан;0,6;0,7;1,1;1,1;1,2;0,7;0,8;0,7;
Республика Ингушетия ;-;-;-;-;-;-;0,6;2,3;
Кабардино-Балкарская Республика;7,2;7,2;8,3;8,4;8,5;7,5;7,4;6,6;
Карачаево-Черкесская Республика;8,0;10,5;11,2;12,4;14,1;15,7;15,4;17,3;
Республика Северная Осетия – Алания;1,0;3,2;6,7;6,6;6,4;6,8;7,5;7,7;
Чеченская Республика ;-;-;-;-;-;-;2,6;2,8;
Ставропольский край;11,2;12,5;12,3;12,3;11,4;13,2;14,9;15,8;
Приволжский федеральный округ;14,8;16,8;18,8;20,5;22,3;23,5;26,3;28,6;
Республика Башкортостан;9,2;10,6;10,6;12,6;13,2;13,5;15,3;20,1;
Республика Маpий Эл;16,8;23,3;32,0;33,1;33,4;35,6;37,2;38,9;
Республика Моpдовия;13,8;11,1;13,6;18,4;20,3;22,7;26,9;31,2;
Республика Татарстан;16,3;18,6;19,1;20,1;21,5;23,4;26,3;26,5;
Удмуртская Республика;16,0;18,5;20,2;22,3;24,7;21,6;22,2;26,5;
Чувашская Республика;13,2;15,5;19,3;23,3;25,2;29,1;30,2;33,7;
Пермский край;12,1;14,8;16,6;20,1;21,7;22,7;25,8;26,2;
Киpовская область;14,2;19,3;21,0;23,6;25,6;28,2;31,2;33,7;
Нижегородская область;19,0;19,3;21,9;23,2;24,7;24,9;28,7;31,6;
Оренбургская область;13,9;15,4;16,4;18,1;19,7;23,1;26,5;29,9;
Пензенская область;13,9;15,0;16,6;19,7;21,1;21,9;27,0;27,2;
Самарская область;17,3;19,2;23,0;23,3;26,5;27,9;32,1;32,6;
Саратовская область;18,2;20,3;25,1;26,4;29,5;31,5;33,7;35,3;
