Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;;;
ОПТОВАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;;;;
ОБОРОТ ОПТОВОЙ ТОРГОВЛИ;;;;;;;;;;;;;;;;;;;;;;
16.8.1. Всего;;;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
Российская Федерация, млрд. руб.;15626,0;32153,5;42946,0;45121,4;51343,9;56732,5;61667,2;70495,0;;;;;;;;;;;;;;
Центральный федеральный округ;7936967;17548518;23658489;24556620;27316689;29475755;31352324;36136789;;;;;;;;;;;;;;
Белгородская область;73125;255524;293759;320920;452603;574401;604728;613405;;;;;;;;;;;;;;
Брянская область;47302;105755;143493;173511;193939;209181;197024;217860;;;;;;;;;;;;;;
Владимирская область;37484;131929;177727;196671;207569;251178;266976;273762;;;;;;;;;;;;;;
Воронежская область;115791;250207;388793;407753;495768;905507;813194;868304;;;;;;;;;;;;;;
Ивановская область;28131;96759;155320;179705;205185;257768;269317;263816;;;;;;;;;;;;;;
Калужская область;48957;97496;126770;144233;163689;173618;209316;248020;;;;;;;;;;;;;;
Костромская область;13506;58350;87151;94404;92816;117281;125432;120856;;;;;;;;;;;;;;
Курская область;53416;97225;144516;161473;211527;245097;236679;260350;;;;;;;;;;;;;;
Липецкая область;81256;176335;219808;224176;265442;316026;293533;327226;;;;;;;;;;;;;;
Московская область;901437;3420876;3737334;3466064;3274174;3633871;3928018;4985432;;;;;;;;;;;;;;
Орловская область;34981;53251;80918;112821;124597;165416;164322;162739;;;;;;;;;;;;;;
Рязанская область;83486;140287;197326;211997;317136;350073;331158;344996;;;;;;;;;;;;;;
Смоленская область;23456;79172;137937;169743;240025;272510;305369;307428;;;;;;;;;;;;;;
Тамбовская область;27301;100030;105816;120054;149035;212937;214957;225398;;;;;;;;;;;;;;
Тверская область;47002;150161;123715;113707;134514;153559;180743;199484;;;;;;;;;;;;;;
Тульская область;95995;139920;184556;192875;204060;254066;283477;301436;;;;;;;;;;;;;;
Ярославская область;145081;194150;241533;255336;301032;385952;434847;466954;;;;;;;;;;;;;;
г. Москва;6079260;12001090;17112017;18011177;20283579;20997316;22493234;25949322;;;;;;;;;;;;;;
Северо-Западный    федеральный округ;1331137;3132703;3796530;4373131;6075173;6135527;7907960;9483742;;;;;;;;;;;;;;
Республика Карелия;47054;41108;50481;51852;55160;67895;72902;80028;;;;;;;;;;;;;;
Республика Коми;50003;69340;69503;68909;73371;81043;73453;80344;;;;;;;;;;;;;;
Архангельская область;41420;89147;124624;120556;146468;149622;158220;159535;;;;;;;;;;;;;;
 в том числе: ;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1072;9667;19208;13467;11291;13024;7586;7682;;;;;;;;;;;;;;
Архангельская область    без автономного округа;;;;107089;135177;136598;150635;151853;;;;;;;;;;;;;;
Вологодская область;75788;102401;174750;166992;187898;240832;272834;304037;;;;;;;;;;;;;;
Калинингpадская область;105505;139205;124255;167166;226544;267343;268428;287289;;;;;;;;;;;;;;
Ленинградская область;96683;235393;316646;349848;414886;418701;493078;520067;;;;;;;;;;;;;;
Мурманская область;48314;86486;113398;117014;151257;153707;151032;158916;;;;;;;;;;;;;;
Новгородская область;33717;37549;48222;52391;62812;79802;92984;101078;;;;;;;;;;;;;;
Псковская область;26061;51116;61466;74132;84372;93510;88684;101294;;;;;;;;;;;;;;
г. Санкт-Петербург;806592;2280958;2713185;3204272;4672406;4583072;6236343;7691153;;;;;;;;;;;;;;
Южный          федеральный округ1);825822;1585969;2263968;2510288;2891074;3373566;3944954;4101541;;;;;;;;;;;;;;
Республика Адыгея;3549;14725;25074;24713;40550;46788;44168;45975;;;;;;;;;;;;;;
Республика Калмыкия;676;1628;2928;3431;3416;3218;3367;3758;;;;;;;;;;;;;;
Республика Крым;;;;;24225;115085;150329;184606;;;;;;;;;;;;;;
Краснодарский край;277636;637130;900292;990699;1137986;1299383;1489122;1530870;;;;;;;;;;;;;;
Астраханская область;21517;40755;56136;61697;76211;85775;86774;79999;;;;;;;;;;;;;;
Волгоградская область;145543;246230;292224;340062;455261;539277;566703;604198;;;;;;;;;;;;;;
Ростовская область;376902;645501;987315;1089685;1177649;1399125;1561856;1610025;;;;;;;;;;;;;;
г. Севастополь;;;;;8930;52778;42637;42110;;;;;;;;;;;;;;
Северо-Кавказский       федеральный округ;116410;306689;460072;470395;515118;671371;684040;771188;;;;;;;;;;;;;;
Республика Дагестан;18570;15590;33257;37584;30859;34524;36090;38464;;;;;;;;;;;;;;
Республика Ингушетия;296;1622;4580;3364;4285;5217;4505;5957;;;;;;;;;;;;;;
Кабардино-Балкарская Республика;3002;17177;23203;21509;20273;24322;22785;28234;;;;;;;;;;;;;;
Карачаево-Черкесская Республика;4568;14346;22322;27239;26864;26642;33078;29476;;;;;;;;;;;;;;
Республика Северная Осетия – Алания;8943;23559;21442;26717;25141;34937;27701;23414;;;;;;;;;;;;;;
Чеченская Республика;217;10766;24407;20098;30180;28759;22888;24716;;;;;;;;;;;;;;
Ставропольский край;80814;223628;330862;333884;377515;516970;536993;620927;;;;;;;;;;;;;;
Приволжский федеральный округ;2159506;3728050;5067655;5114265;5703241;6518613;6949862;7550889;;;;;;;;;;;;;;
Республика Башкортостан;165903;437936;586751;594309;631872;615558;662677;681368;;;;;;;;;;;;;;
Республика Марий Эл;14545;37744;52937;76649;86403;101033;104320;119080;;;;;;;;;;;;;;
Республика Мордовия;11290;39971;56728;58116;80627;95839;119099;135698;;;;;;;;;;;;;;
Республика Татарстан;241471;647359;1065022;1009264;1185028;1438646;1605582;1802991;;;;;;;;;;;;;;
Удмуртская Республика;90193;147442;300081;277029;315265;311973;301799;283463;;;;;;;;;;;;;;
Чувашская Республика;33947;94080;130940;141165;144580;144794;150315;153101;;;;;;;;;;;;;;
Пермский край;205708;515448;654060;642400;659118;790187;706323;714820;;;;;;;;;;;;;;
Кировская область;64586;124053;168595;183852;201071;225528;235288;247707;;;;;;;;;;;;;;
Нижегородская область;561318;576630;719364;747950;911179;1037041;1175856;1330429;;;;;;;;;;;;;;
Оренбургская область;48270;85524;136238;144385;147778;177340;189656;213403;;;;;;;;;;;;;;
Пензенская область;42513;120100;152793;169656;190384;282270;305788;290841;;;;;;;;;;;;;;
Самарская область;490930;626448;599298;603066;659269;748709;755347;895051;;;;;;;;;;;;;;
Саратовская область;135158;190606;255806;278154;304361;375952;427102;460291;;;;;;;;;;;;;;
Ульяновская область;53674;84711;189042;188268;186307;173744;210709;222646;;;;;;;;;;;;;;
Уральский          федеральный округ;1678435;2872662;3590280;3673372;3546105;4247385;4281059;4972045;;;;;;;;;;;;;;
Курганская область;21899;53708;60252;65752;70014;72969;73572;72710;;;;;;;;;;;;;;
Свердловская область;619842;1354160;1392046;1380343;1423709;1615555;1738214;1981303;;;;;;;;;;;;;;
Тюменская область;786310;941163;1530535;1546959;1219551;1500153;1369428;1592036;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ –Югра;112150;235773;313232;341388;299486;368147;354016;427595;;;;;;;;;;;;;;
Ямало-Ненецкий автономный округ;66632;207363;317703;426519;526121;605953;525028;660695;;;;;;;;;;;;;;
Тюменская область без автономных   округов;;;;779053;526053;526053;490385;503746;;;;;;;;;;;;;;
Челябинская область;250384;523630;607448;680318;832831;1058708;1099845;1325997;;;;;;;;;;;;;;
Сибирский     федеральный округ;1249428;2260447;3103403;3240304;3699533;4253202;4607655;5340849;;;;;;;;;;;;;;
Республика Алтай;2338;2434;1786;1432;12167;16464;32106;34569;;;;;;;;;;;;;;
Республика Бурятия;17987;40452;45522;49688;60261;80924;92944;98361;;;;;;;;;;;;;;
Республика Тыва;939;2963;1982;1965;3927;5558;4237;3732;;;;;;;;;;;;;;
Республика Хакасия;11657;34928;40801;39928;49391;70918;65678;70275;;;;;;;;;;;;;;
Алтайский край;100538;201781;279661;298867;335040;391518;417364;430691;;;;;;;;;;;;;;
Забайкальский край;11395;32061;52371;53681;56256;70184;65343;72553;;;;;;;;;;;;;;
Красноярский край;136734;296363;459246;489049;529786;600410;699398;788505;;;;;;;;;;;;;;
Иркутская область;96258;288440;466319;490974;492379;565690;592160;731716;;;;;;;;;;;;;;
Кемеровская область;219832;470600;618150;557850;617014;671014;764901;960541;;;;;;;;;;;;;;
Новосибирская область;237752;477588;586670;665221;759386;1037367;1070683;1348034;;;;;;;;;;;;;;
Омская область;368073;311875;409115;444875;511124;480796;500515;506555;;;;;;;;;;;;;;
Томская область;45925;100961;141779;146773;272802;262360;302329;295316;;;;;;;;;;;;;;
Дальневосточный федеральный округ;328257;718509;1005650;1183025;1563813;1889224;1939392;2137922;;;;;;;;;;;;;;
Республика Саха (Якутия);21819;41355;58454;54888;77444;88437;90263;98448;;;;;;;;;;;;;;
Камчатский край;13963;39159;57593;59630;64793;72065;75732;84542;;;;;;;;;;;;;;
Приморский край;122407;308442;432277;564164;846745;1003554;990551;1050913;;;;;;;;;;;;;;
Хабаровский край;99121;191954;271121;308432;346248;432743;485927;592087;;;;;;;;;;;;;;
Амурская область;24598;46318;62801;64178;74441;103330;109656;115603;;;;;;;;;;;;;;
Магаданская область;14411;27806;41306;50487;49149;53370;60735;66039;;;;;;;;;;;;;;
Сахалинская область;24699;50092;61517;61453;82361;109999;104401;107850;;;;;;;;;;;;;;
Еврейская автономная область;2249;5437;8994;8522;6872;8739;7523;8006;;;;;;;;;;;;;;
Чукотский автономный округ;4990;7946;11587;11270;15760;16986;14604;14436;;;;;;;;;;;;;;
;;;;;;;;;;;;;;?????;;;;;;;;
?????;;;;;;;;;;;;;;;;;;;;;;
1) 2014, 2015 гг. – без учета данных по Республике Крым  и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;
