Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;
17.5.  ГРУЗООБОРОТ АВТОМОБИЛЬНОГО ТРАНСПОРТА ОРГАНИЗАЦИЙ ВСЕХ ВИДОВ ДЕЯТЕЛЬНОСТИ1);;;;;;;;
(миллионов тонно-километров);;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017
Российская Федерация;193597;199341;248862;250054;246784;247134;248251;254524
Центральный федеральный округ;19554;31086;36168;38553;39339;38555;38429;55824
Белгородская область;1733;3364;3322;3245;3352;3428;3592;3628
Брянская область;1405;1002;1057;1120;1277;1236;2250;3847
Владимирская область;772;879;1057;1066;1011;897;800;729
Воронежская область;1225;1275;1548;1960;1954;2180;2932;2246
Ивановская область;453;643;1073;1232;1018;896;830;686
Калужская область;548;974;1093;781;901;834;856;691
Костромская область;760;405;502;577;389;432;472;577
Курская область;680;763;995;1017;1022;1014;1111;1213
Липецкая область;832;901;1146;1254;1207;1257;1216;1274
Московская область;2777;6008;6780;8506;9126;8631;8298;22690
Орловская область;1004;1350;2288;2024;1976;2034;1631;1355
Рязанская область;564;561;686;583;592;592;638;717
Смоленская область;998;1555;2013;2545;2517;2610;3782;4613
Тамбовская область;507;422;977;1108;1497;1766;1883;2812
Тверская область;701;1083;1965;1788;2048;1598;1585;1532
Тульская область;826;1127;1439;1818;1531;1582;1575;1763
Ярославская область;847;725;972;886;1019;938;901;1075
г. Москва;2921;8051;7255;7043;6902;6630;4078;4375
Северо-Западный федеральный округ;14156;18155;38482;19447;19443;19733;16881;18175
Республика Карелия;1407;997;1963;1465;1621;1119;683;708
Республика Коми;1249;1415;1529;1373;1209;1214;1151;1143
Архангельская область;1455;3056;3615;4225;3503;2974;2174;2295
в том числе:;;;;;;;;
Ненецкий   автономный округ;69;229;130;76;34;49;27;77
Архангельская область без автономного округа;1386;2827;3485;4149;3469;2925;2147;2218
Вологодская область;1812;1716;1928;1741;1785;1444;1499;1868
Калининградская область;718;1377;2800;2535;2363;2236;2113;1760
Ленинградская область;1585;1892;3130;2200;2590;3058;2697;3664
Мурманская область;783;377;412;620;472;477;395;423
Новгородская область;932;794;1343;1432;1579;1555;1610;1990
Псковская область;645;879;1027;831;847;1144;1194;1252
г. Санкт-Петербург;3570;5652;207352);3025;3474;4512;3364;3072
Южный           федеральный округ;11640;13418;14983;16014;16615;15837;16616;16817
Республика Адыгея;532;262;312;284;363;528;439;378
Республика Калмыкия;148;94;88;87;79;73;56;60
Республика Крым;;;;;250;386;458;924
Краснодарский край;5697;7535;7872;7524;7013;6541;7547;7421
Астраханская область;454;325;344;337;450;371;398;318
Волгоградская область;1201;1173;1497;1923;2052;1971;1991;2170
Ростовская область;3608;4029;4870;5859;6321;5923;5699;5521
г. Севастополь;;;;;87;44;28;25
Северо-Кавказский федеральный округ;4244;4327;4182;3867;4194;4176;3378;3368
Республика Дагестан;659;454;515;451;537;427;273;482
Республика Ингушетия;14;33;22;10;16;40;10;11
Кабардино-Балкарская  Республика;116;139;89;62;52;52;59;76
Карачаево-Черкесская   Республика;168;198;350;351;571;533;429;455
Республика Северная Осетия – Алания;147;181;170;127;137;131;113;98
Чеченская Республика;1474;1872;937;937;832;780;670;363
Ставропольский край;1665;1451;2097;1929;2049;2213;1825;1884
Приволжский федеральный округ;29668;28494;33933;32019;31244;33599;33829;37328
Республика Башкортостан;3256;2649;3431;3609;3443;2871;2816;2897
Республика Марий Эл;733;369;787;651;674;668;540;578
Республика Мордовия;1877;787;2353;1667;1357;2855;2379;5068
Республика Татарстан;4261;5053;5301;5361;5098;5899;6394;6206
Удмуртская Республика;1951;781;1094;1707;1764;1735;2164;1885
Чувашская Республика;708;644;902;857;906;1053;958;960
Пермский край;4527;3256;3273;3073;2857;2692;2684;3064
Кировская область;2356;1576;1742;1409;1374;1301;1372;1509
Нижегородская область;2250;1909;2430;2547;2398;2885;2872;3193
Оренбургская область;1267;1172;1358;1184;1376;1401;1486;2070
Пензенская область;598;976;1387;1685;1806;1778;2377;2535
Самарская область;3393;5596;5392;3939;3912;4442;3667;3624
Саратовская область;1259;2095;2344;2203;2146;2207;2220;2592
Ульяновская область;1231;1631;2138;2127;2133;1812;1901;1147
Уральский        федеральный округ;12835;15515;25955;20624;26743;22650;21592;20870
Курганская область;478;465;611;638;732;738;748;737
Свердловская область;2507;3148;5568;5343;6201;5799;5735;5822
Тюменская область;6675;9640;15976;10664;16498;12514;11176;10493
в том числе:;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;3623;5465;9605;5750;10510;6031;5119;4476
Ямало-Ненецкий     автономный округ;1206;2122;3159;2346;2762;2144;1751;1611
Тюменская область      без автономных округов;1846;2053;3212;2568;3226;4339;4306;4405
Челябинская область;3175;2262;3800;3979;3312;3599;3932;3818
Сибирский          федеральный округ;13585;16054;17850;18057;19294;17160;16049;17057
Республика Алтай;126;85;77;60;140;94;108;134
Республика Бурятия;322;275;346;410;460;582;470;494
Республика Тыва;184;271;293;258;294;235;195;182
Республика Хакасия;364;359;387;1679;1729;482;393;298
Алтайский край;1151;1421;1645;1397;1577;1530;1395;1844
Забайкальский край;647;747;877;813;834;736;570;743
Красноярский край;1649;2780;3186;3447;4441;3239;2704;3077
Иркутская область;2674;2554;3018;2267;2248;2511;2703;2381
Кемеровская область;1461;1128;1395;1431;1333;1382;1358;1237
Новосибирская область;2285;1339;1725;1881;1921;1875;2337;2314
Омская область;1195;689;812;1294;1675;1554;1394;1555
Томская область;1526;4407;4088;3120;2642;2940;2421;2798
Дальневосточный федеральный округ;5465;5586;5979;5790;5987;6026;6338;5708
