Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;
 ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ ;;;;;;;
18.6.2. Удельный вес домашних хозяйств, имевших доступ к сети Интернет1);;;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домохозяйств соответствующего субъекта Российской Федерации)";;;;;;;
;2014;2015;2016;2017;;;
Российская Федерация;69,9;72,1;74,8;76,3;;;
Центральный   федеральный округ;71,3;73,4;75,9;77,5;;;
Белгородская область;68,9;66,4;69,4;74,8;;;
Брянская область;56,1;61,7;68,3;67,8;;;
Владимирская область;68,0;69,2;73,0;72,4;;;
Воронежская область;62,4;70,9;78,0;77,8;;;
Ивановская область;62,0;67,3;74,4;66,9;;;
Калужская область;63,8;68,0;69,6;74,7;;;
Костромская область;68,2;63,1;70,5;70,0;;;
Курская область;61,0;61,5;71,9;73,2;;;
Липецкая область;62,1;70,4;72,0;69,3;;;
Московская область;74,3;78,1;79,1;84,5;;;
Орловская область;67,0;68,0;67,4;69,4;;;
Рязанская область;69,4;63,3;65,0;68,9;;;
Смоленская область;65,4;71,6;70,6;71,0;;;
Тамбовская область;61,4;68,0;71,4;75,9;;;
Тверская область;65,3;66,6;73,4;72,0;;;
Тульская область;76,0;74,4;79,5;81,5;;;
Ярославская область;64,2;69,2;74,6;65,8;;;
г. Москва;80,7;80,4;80,1;82,1;;;
Северо-Западный     федеральный округ;76,4;79,5;80,7;79,3;;;
Республика Карелия;70,8;74,6;79,5;77,7;;;
Республика Коми;70,3;83,2;80,3;77,3;;;
Архангельская область;72,9;76,6;74,0;71,8;;;
в том числе: ;;;;;;;
Ненецкий автономный   округ;62,3;69,9;69,7;74,7;;;
Архангельская область    без автономного округа;73,2;76,8;74,1;71,7;;;
Вологодская область;62,6;62,9;66,1;70,4;;;
Калининградская область;81,6;79,4;85,2;77,9;;;
Ленинградская область;75,6;76,4;77,1;75,3;;;
Мурманская область;80,4;87,3;81,8;81,9;;;
Новгородская область;63,1;71,4;72,5;72,1;;;
Псковская область;63,6;65,6;75,8;68,6;;;
г. Санкт-Петербург;84,9;87,4;88,6;87,6;;;
Южный          федеральный округ;67,6;72,4;77,0;79,1;;;
Республика Адыгея;62,5;64,3;75,1;75,9;;;
Республика Калмыкия;52,2;70,4;72,9;77,9;;;
Республика Крым;…;70,8;74,0;81,3;;;
Краснодарский край;65,3;70,1;75,3;79,2;;;
Астраханская область;65,4;77,2;75,2;77,9;;;
Волгоградская область;73,7;72,1;76,1;76,1;;;
Ростовская область;68,4;74,9;81,1;80,1;;;
г. Севастополь;…;82,4;83,4;82,5;;;
Северо-Кавказский        федеральный округ;63,1;69,5;72,1;78,3;;;
Республика Дагестан;53,0;61,0;70,5;76,3;;;
Республика Ингушетия;71,3;80,2;85,8;86,3;;;
Кабардино-Балкарская   Республика;64,7;72,2;72,4;81,6;;;
Карачаево-Черкесская     Республика;66,4;63,0;77,0;81,7;;;
Республика Северная    Осетия – Алания;73,1;71,2;76,2;88,1;;;
Чеченская Республика;66,9;83,3;66,9;74,9;;;
Ставропольский край;65,9;71,4;72,0;76,6;;;
Приволжский      федеральный округ;67,5;69,2;71,6;74,0;;;
Республика Башкортостан;67,4;71,2;75,2;77,3;;;
Республика Марий Эл;63,8;71,2;69,6;72,1;;;
Республика Мордовия;73,8;69,6;67,5;66,3;;;
Республика Татарстан;76,6;83,1;82,9;84,2;;;
Удмуртская Республика;73,5;69,4;73,9;72,7;;;
Чувашская Республика;70,3;73,2;67,3;65,7;;;
Пермский край;67,5;67,8;71,4;70,2;;;
Кировская область;60,1;64,9;67,3;62,1;;;
Нижегородская область;64,9;61,1;66,3;69,9;;;
Оренбургская область;67,3;71,9;74,5;80,7;;;
Пензенская область;63,6;62,4;70,3;71,9;;;
Самарская область;65,6;67,6;69,4;77,6;;;
Саратовская область;65,0;65,7;66,7;74,6;;;
Ульяновская область;61,9;62,9;67,2;64,0;;;
Уральский          федеральный округ;72,9;70,0;76,3;75,6;;;
Курганская область;60,3;61,0;67,0;67,0;;;
Свердловская область;74,6;69,0;77,3;71,6;;;
Тюменская область;80,7;78,1;81,2;85,3;;;
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;86,3;83,3;84,4;90,5;;;
Ямало-Ненецкий    автономный округ;91,4;91,7;91,5;95,3;;;
Тюменская область без автономных округов;70,8;67,4;74,0;76,1;;;
Челябинская область;67,0;66,6;73,0;74,3;;;
Сибирский    федеральный округ;67,4;69,8;70,9;72,2;;;
Республика Алтай;65,9;74,2;69,4;76,4;;;
Республика Бурятия;58,2;59,7;61,6;77,5;;;
Республика Тыва;65,8;68,6;76,2;86,2;;;
Республика Хакасия;62,2;76,5;68,6;70,7;;;
Алтайский край;65,8;66,1;68,4;69,6;;;
Забайкальский край;55,0;65,1;67,8;67,9;;;
Красноярский край;67,5;68,7;72,0;72,7;;;
Иркутская область;68,2;74,6;72,6;69,8;;;
Кемеровская область;71,3;69,4;73,3;71,7;;;
Новосибирская область;72,6;72,7;73,2;72,7;;;
Омская область;70,8;73,3;73,6;77,2;;;
Томская область;60,9;67,0;63,9;70,0;;;
Дальневосточный   федеральный округ;70,8;73,0;76,5;77,8;;;
Республика Саха (Якутия);73,0;75,5;77,6;81,1;;;
Камчатский край;72,1;75,3;78,9;75,8;;;
Приморский край;73,4;74,3;79,8;78,9;;;
Хабаровский край;68,4;72,6;77,9;75,2;;;
