Социально-экономические показатели по субъектам Российской Федерации;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;
ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ;;;;;;
18.7.2. Население, использовавшее сеть Интернет каждый день или почти каждый день1);;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)";;;;;;
;2014;2015;2016;2017;;
Российская Федерация;51,6;55,1;57,7;60,6;;
Центральный   федеральный округ;52,3;56,6;58,3;61,1;;
Белгородская область;50,6;46,9;49,5;57,4;;
Брянская область;39,9;40,6;55,0;50,1;;
Владимирская область;52,1;51,8;56,0;61,0;;
Воронежская область;45,0;48,1;53,5;58,9;;
Ивановская область;48,5;58,2;56,0;55,0;;
Калужская область;47,8;49,9;49,1;53,9;;
Костромская область;48,1;54,3;53,9;61,8;;
Курская область;46,6;42,5;53,0;54,8;;
Липецкая область;41,7;49,1;49,3;53,9;;
Московская область;55,2;61,6;62,4;66,3;;
Орловская область;46,3;51,7;50,7;51,9;;
Рязанская область;43,8;48,3;42,8;45,6;;
Смоленская область;55,0;54,4;58,0;60,5;;
Тамбовская область;38,5;50,8;46,0;54,7;;
Тверская область;39,5;40,7;44,5;53,1;;
Тульская область;50,9;54,7;53,3;61,7;;
Ярославская область;53,4;54,2;56,4;56,2;;
г. Москва;59,5;64,9;66,2;65,9;;
Северо-Западный     федеральный округ;59,5;61,7;60,9;62,8;;
Республика Карелия;58,1;63,1;66,9;68,8;;
Республика Коми;57,6;62,4;62,8;68,8;;
Архангельская область;59,8;63,9;60,0;59,7;;
в том числе: ;;;;;;
Ненецкий автономный   округ;47,4;48,6;58,0;49,0;;
Архангельская область    без автономного округа;60,2;64,5;60,1;60,1;;
Вологодская область;50,2;53,2;53,6;60,0;;
Калининградская область;57,7;58,8;54,4;64,1;;
Ленинградская область;45,9;58,5;53,2;50,8;;
Мурманская область;67,8;73,8;72,0;74,0;;
