Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;
19.7. КАПИТАЛЬНЫЕ  ЗАТРАТЫ НА НАУЧНЫЕ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ;;;;;;;;;
(миллионов рублей);;;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017;
Российская Федерация;9665,6;33926,4;44808,0;49848,8;52119,1;60381,0;70036,5;68895,2;
Центральный         федеральный округ;4217,7;19324,9;20172,4;24067,5;24834,1;30430,8;33894,1;32021,0;
Белгородская область;2,4;15,6;47,9;72,8;12,5;8,4;19,4;8,7;
Брянская область;0,4;0,7;9,1;7,8;39,8;27,1;-;-;
Владимирская область;36,6;16,2;81,6;69,7;58,9;90,4;56,3;3,8;
Воронежская область;99,1;258,4;130,4;323,7;225,7;245,5;211,8;330,1;
Ивановская область;9,3;26,4;13,3;14,3;14,9;9,8;8,5;8,8;
Калужская область;203,0;297,3;715,3;1282,0;1493,3;1261,2;1315,9;415,5;
Костромская область;0,1;0,2;0,6;-;-;-;0,0;1,9;
Курская область;59,5;35,9;105,1;170,3;95,3;14,6;29,7;53,7;
Липецкая область;0,0;1,0;17,6;12,6;25,8;58,3;13,1;16,9;
Московская область;960,8;3219,9;5223,2;6842,6;6441,6;6953,7;6050,7;7215,7;
Орловская область;1,1;0,1;69,0;113,5;7,5;9,7;1,4;0,5;
Рязанская область;2,9;7,9;27,0;10,4;16,5;4,5;10,2;46,2;
Смоленская область;1,2;19,2;10,9;16,2;31,3;66,6;29,7;25,6;
Тамбовская область;18,5;24,7;11,5;19,1;35,5;38,7;48,6;17,7;
Тверская область;37,6;130,5;96,9;172,1;231,2;70,8;132,2;173,1;
Тульская область;6,5;2,0;1,7;2,4;1,0;2,4;1,7;2,4;
Ярославская область;114,6;110,7;251,3;997,4;959,2;601,8;164,8;476,9;
г. Москва;2664,1;15158,1;13360,0;13940,7;15144,0;20967,2;25800,1;23223,5;
Северо-Западный       федеральный округ;1068,3;3792,5;6496,1;7067,2;7117,9;7517,6;8524,4;7079,8;
Республика Карелия;0,0;0,7;49,3;40,9;19,1;73,4;78,7;22,7;
Республика Коми;27,3;43,5;25,9;18,6;27,2;15,8;63,0;34,3;
Архангельская область;21,1;15,7;44,4;23,7;27,1;26,7;87,5;71,5;
в том числе:;;;;;;;;;
Ненецкий       автономный округ;0,0;-;0,0;-;-;-;0,0;-;
Архангельская область без автономного округа;..;15,7;44,4;23,7;27,1;26,7;87,4;71,5;
Вологодская область;0,0;0,3;1,0;2,3;4,1;0,6;0,8;39,2;
Калининградская область;5,4;11,6;6,7;10,6;8,4;22,1;38,1;30,2;
Ленинградская область;71,1;302,8;375,7;86,3;404,6;257,2;373,2;441,2;
Мурманская область;48,3;53,1;42,5;57,6;72,5;32,6;36,4;30,2;
Новгородская область;8,2;26,9;134,7;41,2;93,2;469,1;215,1;7,0;
Псковская область;0,1;1,2;27,4;18,1;28,2;10,0;12,0;18,8;
г. Санкт-Петербург;886,7;3336,6;5788,4;6767,9;6433,4;6610,2;7619,6;6384,6;
Южный            федеральный округ;207,1;603,1;1029,7;1283,0;2691,8;878,3;840,4;954,3;
Республика Адыгея;0,0;1,7;5,5;1,0;0,4;0,3;1,2;0,7;
Республика Калмыкия;0,2;-;15,8;-;-;-;-;-;
Республика Крым;-;-;-;-;-;-;135,7;94,2;
Краснодарский край;59,4;201,3;306,0;370,5;441,6;368,2;135,4;202,6;
Астраханская область;5,6;0,6;72,2;2,7;10,9;18,1;0,3;3,9;
Волгоградская область;38,7;199,8;501,0;698,3;2016,8;191,2;162,1;243,0;
Ростовская область;30,4;199,6;129,3;210,4;222,1;300,5;376,4;382,9;
г. Севастополь;-;-;-;-;-;-;29,4;27,1;
Северо-Кавказский     федеральный округ;19,8;61,7;140,2;84,5;113,1;101,6;141,8;77,0;
Республика Дагестан;14,7;10,5;7,5;10,2;3,8;19,7;10,6;10,4;
Республика Ингушетия ;0,0;-;-;-;-;-;0,4;0,3;
Кабардино-Балкарская    Республика;0,0;6,4;2,1;6,4;0,3;0,6;8,5;9,9;
Карачаево-Черкесская    Республика;0,0;17,7;59,2;17,0;15,0;12,2;50,4;8,5;
Республика Северная    Осетия – Алания;1,6;17,3;46,9;31,6;30,3;17,3;37,8;18,3;
Чеченская Республика ;0,2;2,0;-;6,3;53,7;17,0;3,3;8,8;
Ставропольский край;3,3;7,8;24,5;13,0;9,9;34,7;30,9;20,9;
Приволжский    федеральный округ;2171,0;6296,9;10190,9;11112,8;10591,1;13127,6;15518,7;17264,2;
Республика Башкортостан;52,5;157,2;134,6;226,8;167,9;225,9;235,6;172,7;
Республика Марий Эл;2,4;0,7;1,4;1,6;0,2;0,4;0,1;0,7;
Республика Мордовия;14,2;40,9;53,7;117,4;138,6;4,6;23,3;43,0;
Республика Татарстан;47,7;281,6;875,0;951,9;756,6;766,8;591,8;631,2;
Удмуртская Республика;9,3;12,0;53,3;50,7;29,4;41,8;10,0;6,8;
Чувашская Республика;2,6;1,0;4,5;6,4;4,4;21,0;32,5;61,7;
Пермский край;385,6;750,5;1157,0;1445,1;1202,9;1014,6;1798,9;1021,0;
Кировская область;9,1;54,9;67,6;50,0;38,9;23,0;8,3;47,0;
Нижегородская область;1422,6;4368,6;6349,9;6067,3;6521,9;8713,5;11434,6;11912,2;
Оренбургская область;13,4;6,5;3,1;6,7;6,1;19,8;31,7;60,8;
Пензенская область;42,3;155,3;412,9;239,9;318,0;306,9;114,1;214,7;
Самарская область;69,4;213,5;392,5;567,6;530,0;995,5;200,4;379,7;
Саратовская область;12,6;114,1;192,2;242,6;125,9;44,7;145,6;171,5;
Ульяновская область;87,1;140,0;493,1;1138,9;750,4;949,1;891,8;2541,3;
Уральский        федеральный округ;916,9;2332,0;4020,2;3804,6;3777,3;4881,8;7267,7;8430,4;
Курганская область;1,1;2,9;6,2;1,2;6,5;11,5;0,3;0,3;
Свердловская область;331,3;629,6;1085,8;1048,6;1769,4;1566,3;2740,1;2771,7;
Тюменская область;181,7;629,8;254,4;248,3;264,9;590,4;700,2;539,5;
в том числе:;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;71,6;46,6;93,4;47,5;17,3;23,0;18,6;36,3;
Ямало-Ненецкий   автономный округ;0,6;0,0;1,9;3,7;0,4;17,6;0,1;2,7;
Тюменская область без автономных округов;-;583,2;159,1;197,1;247,2;549,8;681,5;500,5;
Челябинская область;402,8;1069,7;2673,7;2506,4;1736,5;2713,6;3827,1;5118,9;
Сибирский          федеральный округ;698,1;1208,3;2226,5;1782,5;2441,2;2739,4;3104,6;2594,1;
