Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;
ОРГАНИЗАЦИИ, ВЕДУЩИЕ ПОДГОТОВКУ АСПИРАНТОВ;;;;;;;;
19.9.2. Численность аспирантов;;;;;;;;
"(на конец года; человек)";;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017
Российская Федерация;142899;157437;146754;132002;119868;109936;98352;93523
Центральный    федеральный округ;58996;63864;60257;53914;48287;43740;39110;37176
Белгородская область;1003;1257;1275;1420;1386;1394;1384;1331
Брянская область;472;695;579;478;424;368;313;342
Владимирская область;606;718;622;533;456;430;373;316
Воронежская область;2347;2641;2506;2302;2030;1897;1647;1612
Ивановская область;919;1054;1038;910;785;620;436;366
Калужская область;366;423;415;386;355;335;273;267
Костромская область;438;494;435;359;310;273;233;222
Курская область;960;1242;1127;1056;937;872;755;650
Липецкая область;504;592;573;298;394;343;256;250
Московская область;2740;3008;2889;2684;2307;2081;1997;1952
Орловская область;1054;1052;1050;875;774;700;566;551
Рязанская область;759;751;745;721;533;478;432;408
Смоленская область;418;470;356;275;276;251;208;177
Тамбовская область;919;1159;1024;847;707;677;581;528
Тверская область;713;678;819;737;686;551;462;441
Тульская область;561;939;773;583;520;456;352;358
Ярославская область;1180;1155;1058;932;810;670;492;412
г. Москва;43037;45536;42973;38518;34597;31344;28350;26993
Северо-Западный    федеральный округ;18748;19516;18041;16487;14812;14166;13123;12731
Республика Карелия;415;480;333;264;247;224;143;129
Республика Коми;350;421;392;347;314;259;216;190
Архангельская область;580;536;591;507;455;430;405;361
Вологодская область;651;735;605;452;328;266;218;182
Калининградская область;604;750;822;750;752;683;556;579
Ленинградская область;110;101;64;69;40;32;26;20
Мурманская область;539;504;420;385;356;309;266;220
Новгородская область;450;278;254;238;220;231;141;98
Псковская область;143;264;204;185;179;157;141;115
г. Санкт-Петербург;14906;15447;14356;13290;11921;11575;11011;10837
Южный             федеральный округ;10037;10946;10218;9212;8978;7951;7139;7015
Республика Адыгея;333;334;386;329;283;233;149;151
Республика Калмыкия;128;263;266;337;323;329;220;162
Республика Крым;;;;;506;306;491;505
Краснодарский край;2648;3197;2811;2408;2149;2073;2007;2034
Астраханская область;817;899;734;672;623;618;554;488
Волгоградская область;2157;1957;1982;1696;1459;1196;945;855
Ростовская область;3954;4296;4039;3770;3518;3082;2680;2720
г. Севастополь;;;;;117;114;93;100
Северо-Кавказский    федеральный округ ;4997;5671;4878;4278;4135;3826;3447;3308
Республика Дагестан;1194;1045;1000;931;942;844;797;746
Республика Ингушетия ;35;103;127;109;113;106;75;58
Кабардино-Балкарская    Республика;674;640;532;489;460;409;355;366
Карачаево-Черкесская      Республика;209;244;229;208;193;188;172;177
Республика Северная    Осетия – Алания;627;786;684;626;553;489;429;414
Чеченская Республика ;…;152;159;155;290;361;370;370
Ставропольский край;2258;2701;2147;1760;1584;1429;1249;1177
Приволжский  федеральный округ;20688;24507;23348;21059;19414;18003;15910;14561
Республика Башкортостан;2329;3156;2867;2612;2452;2249;1961;1755
Республика Марий Эл;285;410;387;370;380;328;332;277
Республика Мордовия;842;916;950;837;783;762;715;701
Республика Татарстан;3345;4233;4032;3599;3603;3464;3268;3118
Удмуртская Республика;880;824;741;672;640;618;558;521
Чувашская Республика;531;753;699;543;492;418;336;269
Пермский край;1100;1438;1458;1419;1318;1270;1077;981
Кировская область;596;659;636;565;577;534;443;384
Нижегородская область;3360;3002;2940;2724;2322;2324;2104;1891
Оренбургская область;950;882;790;704;629;526;419;379
Пензенская область;840;1035;996;826;703;597;494;494
Самарская область;2209;3125;3147;2904;2484;2137;1812;1627
Саратовская область;2643;2910;2796;2506;2303;2101;1727;1543
Ульяновская область;778;1164;909;778;728;675;664;621
Уральский          федеральный округ;7907;9256;8413;7460;6621;6197;5420;5231
Курганская область;296;359;290;238;236;208;158;171
Свердловская область;3372;3425;3287;2965;2713;2566;2243;2147
Тюменская область;2339;2894;2397;2097;1850;1644;1446;1388
в том числе:;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;641;752;765;741;734;704;705;714
Тюменская область     без автономных округов;;;;1356;1116;940;741;674
Челябинская область;1900;2578;2439;2160;1822;1779;1573;1525
Сибирский    федеральный округ;17164;18727;17407;15851;14285;13066;11573;11071
Республика Алтай;85;117;113;92;66;58;50;43
Республика Бурятия;833;1070;1025;893;763;669;553;516
Республика Тыва;39;137;130;125;122;75;66;40
Республика Хакасия;161;284;197;184;130;95;82;70
Алтайский край;1733;1770;1426;1238;1067;935;775;755
Забайкальский край;397;582;530;447;343;252;194;142
Красноярский край;2411;2288;2142;2016;1878;1912;1794;1662
Иркутская область;2665;3035;2749;2385;2115;1810;1483;1352
Кемеровская область;1150;972;1058;980;919;817;623;624
Новосибирская область;3681;4014;3834;3503;3126;2901;2619;2592
Омская область;1730;2180;1889;1740;1473;1326;1170;1052
Томская область;2279;2278;2314;2248;2283;2216;2164;2223
Дальневосточный    федеральный округ;4362;4950;4192;3741;3336;2987;2630;2430
Республика Саха (Якутия);620;727;714;545;449;417;387;434
Камчатский край;175;150;135;129;120;111;87;84
Приморский край;1784;2044;1706;1592;1470;1314;1158;963
Хабаровский край;1193;1248;1055;1011;866;767;649;613
Амурская область;393;435;336;277;265;233;217;215
Магаданская область;50;45;35;39;43;49;43;34
Сахалинская область;82;194;162;105;86;71;63;70
Еврейская автономная   область;65;107;49;43;37;25;26;17
