Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;
20.18. УДЕЛЬНЫЙ ВЕС УБЫТОЧНЫХ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;
(в процентах от общего числа организаций);;;;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;;;;
Российская Федерация;36,4;29,9;30,0;29,1;31,0;33,0;32,6;29,5;31,9;;;;;
Центральный федеральный округ;35,7;30,2;30,3;29,6;31,5;33,8;32,9;28,8;33,0;;;;;
Белгородская область;37,0;30,5;26,5;21,9;27,0;26,5;27,1;27,3;27,8;;;;;
Брянская область;45,2;28,7;31,6;33,2;37,4;37,1;39,7;35,9;36,4;;;;;
Владимирская область;36,1;27,3;28,3;26,0;30,2;33,0;34,5;30,3;31,4;;;;;
Воронежская область;38,6;29,6;25,1;23,2;27,8;25,4;24,9;25,4;26,4;;;;;
Ивановская область;36,5;39,1;38,6;38,9;33,2;37,3;40,3;40,5;39,1;;;;;
Калужская область;36,1;29,7;31,3;29,2;31,0;34,8;34,8;31,4;30,8;;;;;
Костромская область;46,4;44,3;43,6;41,1;37,0;35,9;35,6;31,8;42,9;;;;;
Курская область;46,4;25,8;26,7;29,9;27,4;31,1;29,7;27,5;31,5;;;;;
Липецкая область;38,0;31,4;25,5;26,1;25,7;28,2;25,5;25,6;30,5;;;;;
Московская область;32,6;29,9;32,1;29,0;30,5;30,8;30,2;25,4;30,2;;;;;
Орловская область;40,9;34,0;26,8;27,7;26,9;29,2;25,7;30,0;33,0;;;;;
Рязанская область;36,2;27,9;25,8;22,6;27,3;25,0;24,6;28,0;24,8;;;;;
Смоленская область;38,5;27,8;31,9;31,6;35,4;38,4;34,8;32,5;32,0;;;;;
Тамбовская область;46,7;30,5;28,4;26,7;24,0;22,3;25,4;25,1;29,6;;;;;
Тверская область;44,3;37,3;37,2;36,9;41,3;40,6;39,3;36,7;38,7;;;;;
Тульская область;36,8;35,6;35,9;32,7;34,7;35,6;34,2;31,4;33,2;;;;;
Ярославская область;36,2;36,3;34,0;33,7;40,1;38,4;36,6;32,8;33,8;;;;;
г. Москва;29,5;28,4;29,2;29,8;31,5;35,4;34,3;29,5;33,9;;;;;
Северо-Западный федеральный округ;32,4;30,7;32,3;30,7;32,6;34,4;33,0;29,1;31,8;;;;;
Республика Карелия;46,0;39,2;47,5;43,6;45,3;48,8;45,3;42,6;43,9;;;;;
Республика Коми;40,8;33,4;31,5;32,0;34,7;36,0;38,4;39,4;43,2;;;;;
Архангельская область;41,8;39,1;37,9;38,0;34,3;37,1;33,5;31,5;36,4;;;;;
в том числе: ;;;;;;;;;;;;;;
Ненецкий автономный округ;33,3;41,1;44,9;45,1;31,4;51,0;35,1;52,7;52,6;;;;;
Архангельская область     без автономного округа;42,6;38,9;37,1;37,2;34,6;35,6;33,3;28,8;34,2;;;;;
Вологодская область;27,6;31,3;31,0;30,7;32,5;34,7;34,1;31,5;30,5;;;;;
Калининградская область;36,2;41,7;47,3;41,7;44,0;42,3;39,7;35,5;36,8;;;;;
Ленинградская область;35,1;32,7;33,4;33,0;33,6;35,9;33,8;25,8;29,8;;;;;
Мурманская область;36,3;36,5;38,2;36,8;42,2;46,1;44,7;43,5;42,9;;;;;
Новгородская область;37,1;33,1;34,1;36,7;37,8;37,7;36,4;34,3;35,2;;;;;
Псковская область;39,1;32,3;37,4;37,3;38,5;40,3;37,1;37,4;41,7;;;;;
г. Санкт-Петербург;19,2;21,1;23,3;23,9;26,8;29,8;29,3;25,1;28,1;;;;;
Южный              федеральный округ;30,8;29,0;27,7;27,4;31,0;32,5;33,5;30,7;32,6;;;;;
Республика Адыгея;31,7;19,0;22,5;25,1;21,8;18,8;21,0;17,5;18,4;;;;;
Республика Калмыкия;50,0;33,3;25,7;32,4;39,0;43,8;51,4;50,0;35,3;;;;;
Республика Крым;;;;;;51,4;43,9;40,0;42,2;;;;;
Краснодарский край;27,9;27,5;26,2;26,4;30,2;29,0;28,9;27,4;29,9;;;;;
Астраханская область;35,7;39,8;41,6;36,5;38,0;38,2;45,4;41,5;47,5;;;;;
Волгоградская область;36,3;32,4;31,4;31,7;36,7;37,4;37,4;34,3;35,2;;;;;
Ростовская область;27,7;28,0;25,5;23,7;27,9;29,2;28,7;26,6;30,0;;;;;
г. Севастополь;;;;;;52,3;52,1;34,1;50,6;;;;;
Северо-Кавказский федеральный округ;40,0;33,8;32,3;33,7;31,8;32,2;30,1;28,1;26,1;;;;;
Республика Дагестан;39,5;31,8;30,4;40,8;30,7;35,8;30,5;26,9;23,0;;;;;
Республика Ингушетия ;65,0;47,7;50,0;45,8;25,9;34,0;41,8;37,3;32,3;;;;;
Кабардино-Балкарская Республика;59,4;38,3;41,0;37,1;38,8;39,2;41,7;42,5;40,2;;;;;
Карачаево-Черкесская Республика;42,6;34,8;33,9;32,7;21,7;28,9;25,7;25,0;24,9;;;;;
Республика Северная Осетия – Алания;45,2;39,7;39,0;39,6;41,2;40,0;37,4;37,4;40,5;;;;;
Чеченская Республика;…;53,2;47,1;50,0;43,1;40,4;39,6;31,3;20,2;;;;;
Ставропольский край;30,0;23,9;23,1;22,7;26,6;26,0;22,6;22,8;24,7;;;;;
Приволжский федеральный округ;37,2;28,3;28,5;26,2;28,3;29,6;30,6;29,7;30,2;;;;;
Республика Башкортостан;30,2;20,6;20,3;21,0;22,0;23,3;28,2;27,7;27,9;;;;;
Республика Марий Эл;41,0;30,1;32,3;28,4;32,0;24,9;30,6;33,6;34,1;;;;;
Республика Мордовия;43,2;24,1;25,8;25,3;27,2;29,6;27,6;31,0;28,3;;;;;
Республика Татарстан;38,5;27,2;24,7;25,1;27,6;26,9;25,0;24,6;28,9;;;;;
Удмуртская Республика;39,5;33,9;35,1;30,6;29,2;30,9;29,1;29,8;27,4;;;;;
Чувашская Республика;31,8;29,3;28,5;31,7;29,9;29,6;29,2;30,5;30,9;;;;;
Пермский край;35,0;26,0;32,7;23,8;27,6;30,2;30,1;30,5;28,7;;;;;
Кировская область;37,9;25,1;30,4;27,5;30,6;29,8;29,9;28,6;28,6;;;;;
Нижегородская область;35,5;28,7;28,2;28,1;28,2;31,2;31,6;31,1;28,5;;;;;
Оренбургская область;44,4;28,2;27,0;28,2;30,7;34,4;33,1;33,6;40,1;;;;;
Пензенская область;39,1;37,0;39,1;33,9;37,5;42,1;39,8;38,3;37,9;;;;;
Самарская область;37,0;29,2;27,8;23,1;25,4;26,7;31,3;26,8;27,9;;;;;
Саратовская область;37,0;33,0;30,4;25,9;31,7;32,2;33,2;27,5;31,0;;;;;
Ульяновская область;47,5;32,2;28,9;30,2;34,2;39,3;41,6;43,2;40,3;;;;;
Уральский           федеральный округ;36,9;30,3;31,1;28,6;30,9;32,4;31,9;30,5;31,3;;;;;
Курганская область;48,7;42,1;37,0;35,9;39,7;42,0;38,2;34,3;33,1;;;;;
Свердловская область;35,4;29,4;28,8;26,7;29,3;31,1;30,3;29,5;30,8;;;;;
Тюменская область;34,7;28,8;31,3;29,6;30,9;32,6;32,6;30,9;30,7;;;;;
в том числе:;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;30,6;27,8;29,4;27,7;26,6;29,8;28,7;29,0;28,5;;;;;
Ямало-Ненецкий автономный округ;45,2;32,8;38,7;35,6;38,4;41,7;44,8;38,6;37,0;;;;;
Тюменская область без автономных округов;34,9;28,4;29,8;28,9;32,4;32,1;31,4;29,3;30,3;;;;;
Челябинская область;36,9;31,2;32,7;28,6;31,8;32,1;32,7;31,0;33,1;;;;;
Сибирский           федеральный округ;40,2;29,4;28,7;29,3;30,4;32,4;32,6;31,0;29,4;;;;;
Республика Алтай;34,4;39,7;32,1;29,7;28,8;29,1;32,9;33,9;27,1;;;;;
Республика Бурятия;43,3;25,4;30,3;31,3;26,5;31,2;30,8;33,7;33,0;;;;;
Республика Тыва;46,4;29,3;32,3;30,7;32,3;36,5;37,1;33,1;14,5;;;;;
Республика Хакасия;34,8;27,8;29,6;35,8;39,9;38,3;35,8;33,0;36,3;;;;;
Алтайский край;46,8;21,2;21,4;25,0;26,7;32,0;30,5;30,9;28,2;;;;;
Забайкальский край;51,4;35,3;35,3;35,7;34,3;41,1;47,1;42,2;41,6;;;;;
Красноярский край;38,0;29,0;27,1;28,5;28,9;30,8;31,7;30,5;32,0;;;;;
Иркутская область;38,6;29,6;29,2;26,4;27,4;28,6;29,4;25,6;28,3;;;;;
Кемеровская область;36,1;31,5;31,1;34,2;36,8;39,7;36,6;36,5;35,0;;;;;
Новосибирская область;37,4;27,0;27,0;28,6;31,5;32,4;34,6;32,1;30,8;;;;;
Омская область;42,3;33,9;30,2;29,3;27,1;26,6;26,5;27,2;24,0;;;;;
Томская область;34,8;34,1;31,5;26,5;27,9;29,8;27,8;24,1;24,1;;;;;
Дальневосточный федеральный округ;41,6;32,8;32,9;31,3;34,7;37,9;36,2;32,3;35,1;;;;;
Республика Саха(Якутия);43,3;35,8;36,0;33,1;37,3;37,5;33,2;33,2;31,2;;;;;
Камчатский край;43,3;32,3;39,0;36,3;39,6;41,3;36,4;26,6;31,9;;;;;
Приморский край;38,0;26,0;25,0;27,3;29,3;34,0;33,1;30,8;32,5;;;;;
Хабаровский край;38,6;35,7;33,7;29,0;33,4;41,2;40,4;33,5;38,5;;;;;
Амурская область;43,1;26,3;27,3;30,8;33,1;38,4;36,4;34,1;36,1;;;;;
Магаданская область;44,5;34,7;31,2;37,7;47,4;46,2;40,9;34,5;38,3;;;;;
Сахалинская область;45,9;34,5;40,3;31,8;37,1;36,0;33,1;27,6;35,6;;;;;
Еврейская автономная область;46,9;50,6;43,3;42,2;37,8;41,8;47,6;41,5;47,4;;;;;
Чукотский автономный округ;42,9;46,1;48,0;36,8;43,0;43,9;47,6;45,2;48,5;;;;;
??????;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
