Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;
КРЕДИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ;;;;;;;;;
20.19.1. Всего;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;6408739;17683401;20954272;23631711;27531558;33173617;38925596;42280108;44481335
Центральный федеральный округ;2430181;8124808;9586415;11130313;13298325;16136488;20055071;22175680;22371832
Белгородская область;31337;110319;153772;168250;160619;221030;228332;261375;282352
Брянская область;18489;51276;48372;61560;70903;93923;122051;157846;142209
Владимирская область;27324;57118;74604;84229;101204;132458;134917;144375;140312
Воронежская область;49844;145719;159541;164504;188089;225777;233956;240328;266780
Ивановская область;15933;34246;39144;51236;51292;57320;55429;61325;59140
Калужская область;17951;94132;140314;178646;181295;210163;253918;277125;310873
Костромская область;17055;22090;32394;42277;47844;39247;37978;37164;35426
Курская область;24909;60421;75235;87238;85887;110813;101736;102574;86294
Липецкая область;27719;79984;96146;112074;121289;148199;160658;192653;205481
Московская область;327358;1334621;1521168;1552376;1745459;1967465;2234555;2626597;2748845
Орловская область;17861;30876;31870;34814;38942;44821;47953;48887;46217
Рязанская область;31263;48133;59190;72934;81255;94382;92907;109247;115495
Смоленская область;16438;38097;44872;56819;70825;73591;72594;68242;68831
Тамбовская область;12849;23326;32656;41284;52606;55140;97607;94355;74636
Тверская область;31025;71676;85779;97022;115653;129363;132263;120350;110373
Тульская область;52732;133531;132296;163312;191578;233974;424303;315239;303101
Ярославская область;48554;89103;111044;120586;128773;144939;158152;208276;204652
г. Москва;1661540;5700140;6748018;8041152;9864812;12153883;15465762;17109722;17170815
Северо-Западный федеральный округ;666088;2521026;2948301;3225527;3671849;4741525;6159468;6173760;7316909
Республика Карелия;16219;28698;40745;40365;47730;52372;58166;62743;48558
Республика Коми;77937;92896;102333;103782;138115;160439;181447;167572;170327
Архангельская область;94025;288037;334038;360353;253249;293397;445781;597381;588592
в том числе: ;;;;;;;;;
Ненецкий автономный округ;10276;18624;17882;16182;17019;24738;20412;21517;30960
Архангельская область без автономного округа;83749;269413;316155;344171;236230;268659;425369;575864;557632
Вологодская область;39000;90186;95139;94600;93382;109772;114902;114519;162560
Калининградская область;40306;130349;136048;143472;167287;245457;255412;260713;254999
Ленинградская область;56266;250352;258302;328699;417937;463307;575474;596853;559120
Мурманская область;38649;47682;61534;68633;76071;87144;85511;82410;67647
Новгородская область;14474;28092;34271;44872;46178;48929;52609;52562;62098
Псковская область;8216;16893;21662;25414;29954;38686;43786;42153;43624
г. Санкт-Петербург;280996;1547841;1864229;2015337;2401946;3242022;4346380;4196854;5359384
Южный               федеральный округ;302720;804169;955352;1204442;1396610;1485488;1628159;1841191;1788897
Республика Адыгея;4991;10184;14576;18906;18889;23443;22367;27054;20704
Республика Калмыкия;3984;6263;4336;5587;5932;8043;6283;8801;8741
Республика Крым;;;;;;;48395;52354;70506
Краснодарский край;101425;322612;407845;552131;630358;660018;683910;733873;696183
Астраханская область;23363;46431;58118;68647;77769;79044;84884;96666;105321
Волгоградская область;62285;146022;162945;204200;233872;268808;269991;279860;289289
Ростовская область;106672;272657;307532;354971;429790;446132;503508;626384;580332
г. Севастополь;;;;;;;8821;16199;17821
Северо-Кавказский федеральный округ;109308;259424;320614;409333;466375;544427;590066;654876;537978
Республика Дагестан;7266;27738;36313;41067;49847;57719;71850;79918;95413
Республика Ингушетия;1354;6793;7578;6667;7601;7664;8765;8483;6125
Кабардино-Балкарская Республика;15638;21661;25993;31372;31120;22344;28155;31667;31521
Карачаево-Черкесская Республика;4985;7593;10156;17743;21470;32060;42179;54092;53823
Республика Северная Осетия – Алания;12745;11690;16892;17058;27826;15054;16150;21456;22404
Чеченская Республика;19435;69025;77137;93413;112962;128819;133503;127529;143713
Ставропольский край;47885;114924;146545;202013;215549;280767;289464;331731;184979
Приволжский федеральный округ;997795;2188575;2573484;2923510;3268416;3787407;3883024;4439413;4779856
Республика Башкортостан;137346;245657;317246;368767;433319;507414;548739;620170;644407
Республика Марий Эл;11175;16739;17934;26122;31030;50572;43088;57685;50344
Республика Мордовия;21424;51118;54512;62102;66557;76064;77228;86524;89299
Республика Татарстан;152701;498290;577411;652903;687419;733117;830370;940360;959719
Удмуртская Республика;59776;97137;136196;149946;160382;198199;192848;195590;214092
Чувашская Республика;16553;58855;69388;73003;74465;83738;95332;107391;306288
Пермский край;95428;237312;290536;317988;387321;393646;331434;343602;370855
