Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;
ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;
"21.10.8. Обеспечение электрической энергией, газом и паром; кондиционирование воздуха ";;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;
;2013;2014;2015;2016;2017;;
Российская Федерация;109,4;104,7;108,0;104,7;106,0;;
Центральный     федеральный округ;111,0;99,5;109,5;102,9;107,6;;
Белгородская область;111,1;101,6;107,9;101,2;118,7;;
Брянская область;106,7;108,1;110,9;105,9;109,6;;
Владимирская область;115,9;101,2;112,9;108,2;126,5;;
Воронежская область;116,9;101,7;108,4;104,2;105,1;;
Ивановская область;109,2;102,2;105,2;104,3;104,8;;
Калужская область;110,7;101,2;109,2;104,4;105,2;;
Костромская область;109,4;100,1;104,9;105,8;105,4;;
Курская область;117,3;94,6;106,4;100,1;114,5;;
Липецкая область;113,9;100,6;110,9;103,8;108,4;;
Московская область;105,0;105,2;111,4;102,5;94,5;;
Орловская область;110,5;100,9;109,4;104,1;106,8;;
Рязанская область;111,8;101,8;107,5;105,9;106,4;;
Смоленская область;115,2;96,9;107,9;103,4;110,8;;
Тамбовская область;115,7;105,1;105,9;104,4;108,5;;
Тверская область;111,0;99,3;102,9;102,9;107,1;;
Тульская область;113,4;104,0;128,2;99,8;110,3;;
Ярославская область;113,6;100,3;110,8;106,5;109,8;;
г. Москва;112,0;96,5;114,5;102,4;110,9;;
Северо-Западный    федеральный округ;111,8;101,2;109,2;104,6;107,2;;
Республика Карелия;129,1;100,3;112,9;108,0;103,4;;
Республика Коми;109,2;104,4;106,2;105,1;104,5;;
Архангельская область;123,4;98,5;107,8;102,2;105,6;;
в том числе:;;;;;;;
Ненецкий автономный округ;110,5;102,2;111,2;97,0;98,7;;
Архангельская область    без автономного округа;122,5;98,7;107,6;102,4;105,6;;
Вологодская область;108,9;99,4;100,4;103,5;106,5;;
Калининградская область;106,9;100,8;109,0;109,5;105,7;;
Ленинградская область;87,9;103,3;107,2;101,3;105,9;;
Мурманская область;116,5;102,1;109,4;105,6;106,9;;
Новгородская область;104,3;102,6;112,3;107,7;108,0;;
Псковская область;109,7;106,3;116,9;97,3;107,9;;
г. Санкт-Петербург;111,3;103,2;111,1;108,1;114,8;;
Южный             федеральный округ;113,3;103,4;110,8;108,0;105,6;;
Республика Адыгея;111,7;102,5;110,0;104,9;104,2;;
Республика Калмыкия;113,6;101,7;109,8;107,3;103,9;;
Республика Крым;;;109,0;110,5;122,8;;
Краснодарский край;111,3;101,9;114,6;107,6;103,1;;
Астраханская область;114,9;104,8;108,5;106,4;104,8;;
Волгоградская область;107,8;104,8;110,1;106,4;106,6;;
Ростовская область;117,3;104,7;108,4;109,1;103,8;;
г. Севастополь;;;101,9;100,0;87,9;;
Северо-Кавказский         федеральный округ;108,6;104,0;104,8;106,3;104,8;;
Республика Дагестан;107,6;102,2;106,3;104,7;102,2;;
Республика Ингушетия ;114,2;102,7;106,6;107,3;103,6;;
Кабардино-Балкарская Республика;102,8;110,4;108,1;104,1;110,3;;
Карачаево-Черкесская Республика;101,7;103,4;101,1;109,0;100,4;;
Республика Северная Осетия – Алания;105,7;103,5;108,1;104,5;104,3;;
Чеченская Республика ;100,3;100,8;100,4;100,4;120,4;;
Ставропольский край;110,3;104,7;104,4;107,5;104,3;;
Приволжский     федеральный округ;111,8;103,7;108,2;104,0;106,5;;
Республика Башкортостан;113,5;106,8;110,9;105,9;108,4;;
Республика Марий Эл;112,8;103,6;111,1;108,8;108,6;;
Республика Мордовия;110,5;102,2;111,0;104,0;106,2;;
Республика Татарстан;110,7;100,9;107,2;102,9;104,4;;
Удмуртская Республика;109,0;103,5;108,5;104,2;105,7;;
Чувашская Республика;108,1;102,3;109,0;103,9;104,3;;
Пермский край;109,9;100,5;106,6;104,6;101,6;;
Кировская область;113,4;103,7;111,2;108,3;105,9;;
Нижегородская область;114,4;106,6;110,4;104,9;109,6;;
Оренбургская область;111,6;107,7;105,2;101,8;116,0;;
Пензенская область;111,1;104,3;109,0;106,0;103,8;;
Самарская область;112,0;103,8;107,5;103,4;104,1;;
Саратовская область;112,6;102,2;107,4;101,6;105,5;;
Ульяновская область;110,2;103,0;107,7;103,8;107,3;;
Уральский       федеральный округ;107,5;105,6;106,9;103,2;102,4;;
Курганская область;118,9;102,2;103,0;102,7;103,9;;
Свердловская область;107,8;105,1;109,1;104,6;103,4;;
Тюменская область;105,0;104,0;104,8;101,5;101,8;;
в том числе:;;;;;;;
Ханты-Мансийский автономный     округ – Югра;104,6;104,4;103,9;101,9;101,7;;
Ямало-Ненецкий автономный    округ;101,9;103,2;103,6;101,6;100,9;;
Тюменская область      без автономных округов;104,7;102,5;106,6;100,4;102,2;;
Челябинская область;107,1;111,7;108,4;105,3;102,0;;
Сибирский     федеральный округ;102,6;118,2;105,9;105,1;104,0;;
Республика Алтай   ;117,6;105,3;109,4;102,8;103,1;;
Республика Бурятия;113,4;115,7;101,8;105,8;95,3;;
Республика Тыва;108,9;103,0;111,6;104,7;102,6;;
Республика Хакасия;87,3;136,2;98,5;108,1;113,2;;
Алтайский край;107,3;109,5;106,7;104,5;100,4;;
Забайкальский край;108,4;107,9;110,4;100,4;105,1;;
Красноярский край;100,7;134,9;106,6;104,2;102,6;;
Иркутская область;101,0;124,3;113,8;105,9;105,3;;
Кемеровская область;103,0;112,9;92,4;107,1;100,8;;
Новосибирская область;104,6;110,5;108,9;104,1;103,9;;
Омская область;107,4;104,9;103,2;104,1;104,9;;
Томская область;105,2;107,9;107,8;106,2;113,9;;
Дальневосточный      федеральный округ;109,6;104,9;110,1;107,8;93,2;;
Республика Саха (Якутия);116,5;103,5;113,2;114,9;77,1;;
Камчатский край;105,0;106,7;108,0;109,8;91,1;;
Приморский край;106,7;105,5;109,4;101,6;103,2;;
Хабаровский край;107,1;109,9;111,2;108,7;101,1;;
Амурская область;110,0;100,9;102,4;103,3;109,9;;
Магаданская область;103,1;123,3;110,2;115,8;90,7;;
Сахалинская область;106,8;103,9;113,6;102,8;87,5;;
Еврейская автономная область;112,4;101,3;105,9;96,5;102,1;;
Чукотский автономный округ;113,4;95,7;114,0;107,5;70,3;;
?????;;;;;;;
1)  Данные за 2013-2017 гг. рассчитаны в соответствии с ОКВЭД2. На товары, предназначенные для реализации на внутреннем рынке. ;;;;;;;
