Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;
РЕАЛЬНЫЕ ДЕНЕЖНЫЕ ДОХОДЫ;;;;;;;;;;;;
"3.1.1. Реальные  доходы населения1);2) ";;;;;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;;
Российская Федерация;111,7;105,4;101,2;105,8;104,8;99,5;95,9;94,4;98,7;;;
Центральный федеральный округ;108,8;105,2;101,7;104,4;104,7;96,8;95,7;94,7;99,8;;;
Белгородская область;112,7;112,2;102,4;110,8;102,5;99,7;97,9;99,1;98,9;;;
Брянская область;112,8;105,9;104,3;107,0;106,3;99,3;98,1;92,6;99,0;;;
Владимирская область;106,6;111,7;100,6;106,7;107,3;99,2;98,7;90,2;100,6;;;
Воронежская область;116,1;108,9;106,0;114,1;108,4;106,2;100,8;92,7;95,9;;;
Ивановская область;108,0;109,7;104,9;115,7;104,9;102,8;93,8;97,3;100,0;;;
Калужская область;112,4;108,4;104,1;110,4;103,6;98,9;94,8;96,2;93,8;;;
Костромская область;114,7;114,6;99,3;102,7;102,6;101,7;99,7;99,3;99,0;;;
Курская область;108,7;106,3;102,4;108,3;104,4;102,8;96,4;93,2;98,4;;;
Липецкая область;112,3;103,0;97,8;112,0;103,8;105,1;94,9;96,5;99,4;;;
Московская область;114,3;106,5;106,3;112,9;101,6;99,3;94,6;99,9;99,2;;;
Орловская область;109,7;111,4;103,0;107,2;100,6;100,1;97,2;94,0;99,2;;;
Рязанская область;115,7;108,1;96,8;113,4;104,0;100,5;94,1;95,2;96,2;;;
Смоленская область;108,9;105,2;99,5;108,7;101,8;99,4;97,5;92,3;99,8;;;
Тамбовская область;114,5;106,8;102,6;109,2;105,0;102,9;96,5;95,6;95,8;;;
Тверская область;124,9;105,6;98,8;109,0;102,5;98,2;97,1;94,7;97,0;;;
Тульская область;109,0;107,0;101,1;107,0;100,2;101,0;97,3;97,1;97,5;;;
Ярославская область;107,0;99,7;97,2;113,5;105,4;103,5;97,9;94,1;95,6;;;
г. Москва;106,7;103,2;100,1;98,6;106,2;92,8;95,0;92,5;101,6;;;
