Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ ЖИЛЫХ ПОМЕЩЕНИЙ ;;;;;;;;;
3.26.3. Число семей, получивших жилые помещения и улучшивших жилищные условия за год;;;;;;;;;
(тысяч);;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;151,2;243,9;134,9;128,6;122,6;;;;
Центральный    федеральный округ;34,7;44,1;22,3;20,0;20,0;;;;
Белгородская область;0,9;2,8;0,8;1,0;0,7;;;;
Брянская область;0,7;2,4;2,4;2,0;1,9;;;;
Владимирская область;0,9;1,9;1,0;0,9;0,9;;;;
Воронежская область;0,3;2,9;1,2;0,6;1,0;;;;
Ивановская область;0,7;1,3;1,0;0,5;0,4;;;;
Калужская область;0,5;1,3;1,1;0,7;0,7;;;;
Костромская область;0,9;3,0;1,0;0,8;0,7;;;;
Курская область;0,6;2,2;0,8;0,8;0,8;;;;
Липецкая область;0,6;1,3;0,7;0,9;0,7;;;;
Московская область;8,0;3,8;4,1;3,4;2,8;;;;
Орловская область;0,9;1,0;0,8;0,7;0,5;;;;
Рязанская область;0,7;0,7;0,6;0,7;0,5;;;;
Смоленская область;0,5;1,7;0,6;0,7;0,7;;;;
Тамбовская область;0,4;2,1;1,0;1,0;0,9;;;;
Тверская область;1,4;2,3;1,2;1,1;1,0;;;;
Тульская область;1,2;1,2;2,0;1,6;2,0;;;;
Ярославская область;0,7;2,5;1,5;1,2;1,0;;;;
г. Москва;14,8;9,7;0,5;1,3;2,8;;;;
Северо-Западный     федеральный округ;18,0;35,8;20,7;21,6;19,0;;;;
Республика Карелия;0,9;2,0;0,6;1,0;0,8;;;;
Республика Коми;3,3;1,6;1,1;1,2;1,3;;;;
Архангельская область;2,1;3,3;1,7;1,1;1,8;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;0,2;0,3;0,3;0,2;0,1;;;;
Архангельская область     без автономного округа;1,9;3,0;1,3;0,9;1,7;;;;
Вологодская область;2,2;3,7;1,2;1,5;1,6;;;;
Калининградская область;0,4;1,4;1,2;0,6;0,5;;;;
Ленинградская область;1,1;1,3;1,7;1,5;1,5;;;;
Мурманская область;3,0;3,2;1,8;1,7;1,7;;;;
Новгородская область;0,7;1,5;0,7;0,8;0,5;;;;
Псковская область;0,8;1,2;0,8;0,6;0,4;;;;
г. Санкт-Петербург;3,5;16,6;10,0;11,6;9,0;;;;
Южный               федеральный округ;5,5;12,5;8,7;7,5;6,6;;;;
Республика Адыгея;0,1;0,6;0,7;0,4;0,4;;;;
Республика Калмыкия;0,2;0,5;0,2;0,3;0,1;;;;
Республика Крым;;;0,2;0,4;0,4;;;;
Краснодарский край;1,1;3,1;2,5;1,6;1,0;;;;
Астраханская область;1,6;1,5;0,8;0,8;0,7;;;;
Волгоградская область;0,5;2,1;1,3;1,2;1,1;;;;
Ростовская область;1,9;4,7;3,0;2,7;2,8;;;;
г. Севастополь;;;0,1;0,1;0,1;;;;
Северо-Кавказский     федеральный округ;2,1;7,9;4,1;4,2;4,1;;;;
Республика Дагестан;0,2;1,3;0,6;0,7;0,8;;;;
Республика Ингушетия;0,1;0,6;0,1;0,9;0,1;;;;
Кабардино-Балкарская      Республика;0,5;0,6;0,4;0,4;0,3;;;;
Карачаево-Черкесская       Республика;0,1;1,1;0,6;0,2;0,5;;;;
Республика Северная Осетия – Алания;0,3;0,5;0,5;0,7;0,7;;;;
Чеченская Республика;0,2;1,1;0,6;0,5;0,9;;;;
Ставропольский край;0,7;2,7;1,2;0,8;0,8;;;;
Приволжский       федеральный округ;32,1;71,4;33,5;32,4;30,2;;;;
Республика Башкортостан;4,3;7,9;4,7;5,2;3,4;;;;
Республика Марий Эл;0,4;2,0;0,3;0,4;0,4;;;;
Республика Мордовия;0,9;4,5;1,3;1,5;1,4;;;;
Республика Татарстан;5,4;21,2;8,6;6,8;8,0;;;;
Удмуртская Республика;0,8;4,0;1,5;2,0;1,8;;;;
Чувашская Республика;3,3;3,8;1,7;1,3;1,3;;;;
Пермский край;2,0;5,4;3,1;3,5;2,5;;;;
Кировская область;2,4;4,3;1,7;1,3;1,4;;;;
Нижегородская область ;2,7;3,6;1,8;1,5;1,5;;;;
Оренбургская область;2,2;3,3;2,3;2,1;1,7;;;;
Пензенская область;0,4;2,6;0,9;0,9;0,9;;;;
Самарская область;1,2;3,3;4,0;2,3;2,3;;;;
Саратовская область;1,9;2,4;1,2;3,0;3,4;;;;
Ульяновская область;4,2;3,2;0,4;0,6;0,5;;;;
Уральский        федеральный округ;19,2;20,4;12,7;11,7;11,6;;;;
Курганская область;0,3;2,4;0,8;0,7;1,0;;;;
Свердловская область ;6,4;6,7;4,1;3,3;3,4;;;;
Тюменская область;8,0;6,6;6,1;5,9;5,2;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;5,1;2,5;2,6;2,4;1,9;;;;
Ямало-Ненецкий автономный округ;1,5;1,5;1,6;1,5;1,5;;;;
Тюменская область   без автономных округов;1,4;2,6;1,9;1,9;1,8;;;;
Челябинская область;4,5;4,7;1,7;1,9;2,0;;;;
Сибирский      федеральный округ;27,1;39,8;22,3;20,7;19,4;;;;
Республика Алтай;0,2;1,3;0,3;0,3;0,4;;;;
Республика Бурятия;0,4;3,3;1,8;1,1;1,0;;;;
Республика Тыва;0,2;0,3;0,7;0,5;0,7;;;;
Республика Хакасия;0,5;0,9;1,5;0,6;0,4;;;;
Алтайский край;2,1;3,8;1,5;1,5;2,2;;;;
Забайкальский край;1,4;2,8;1,0;0,8;1,0;;;;
Красноярский край;12,4;5,7;2,1;2,0;2,2;;;;
Иркутская область;1,5;5,9;3,4;3,3;3,2;;;;
Кемеровская область;3,8;8,0;6,5;6,3;5,0;;;;
Новосибирская область ;1,8;3,1;1,2;1,1;0,9;;;;
Омская область;1,3;2,9;1,3;1,4;1,1;;;;
Томская область;1,5;1,8;1,0;1,8;1,3;;;;
Дальневосточный   федеральный округ;12,6;12,0;10,6;10,4;11,7;;;;
Республика Саха (Якутия);2,5;2,2;2,7;2,7;3,9;;;;
Камчатский край;0,8;1,2;1,0;0,8;1,2;;;;
Приморский край;2,2;2,6;1,7;1,7;1,3;;;;
Хабаровский край ;1,5;1,1;1,1;1,0;0,9;;;;
Амурская область;2,0;2,0;1,8;1,5;2,7;;;;
Магаданская область;0,7;0,4;0,2;0,2;0,2;;;;
Сахалинская область;1,6;1,7;1,5;1,8;1,0;;;;
Еврейская автономная область;0,2;0,4;0,4;0,4;0,4;;;;
Чукотский автономный округ;1,1;0,4;0,3;0,2;0,2;;;;
