Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ ЖИЛЫХ ПОМЕЩЕНИЙ ;;;;;;;;;
 3.26.4. Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях;;;;;;;;;
(в процентах);;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;3,6;8,6;5,0;4,9;4,8;;;;
Центральный    федеральный округ;3,5;7,4;4,7;4,3;4,5;;;;
Белгородская область;2,3;10,8;3,7;4,5;3,2;;;;
Брянская область;1,4;9,7;10,3;9,0;9,3;;;;
Владимирская область;2,1;9,1;6,9;6,3;6,3;;;;
Воронежская область;0,5;5,8;2,4;1,4;2,1;;;;
Ивановская область;2,7;8,2;6,8;3,4;3,0;;;;
Калужская область;1,9;5,7;4,7;3,1;3,2;;;;
Костромская область;3,6;16,0;5,2;4,2;3,9;;;;
Курская область;1,1;10,3;3,9;4,0;4,1;;;;
Липецкая область;0,7;6,0;3,5;4,9;4,1;;;;
Московская область;5,9;4,9;7,4;6,8;6,0;;;;
Орловская область;2,8;6,9;7,4;7,0;5,5;;;;
Рязанская область;2,9;4,0;4,2;4,6;3,1;;;;
Смоленская область;1,9;13,8;5,2;5,8;6,2;;;;
Тамбовская область;2,1;10,4;4,4;4,4;4,2;;;;
Тверская область;3,6;10,2;5,5;5,2;4,7;;;;
Тульская область;1,4;2,3;5,5;4,5;5,7;;;;
Ярославская область;2,5;13,2;7,7;6,4;5,6;;;;
г. Москва;7,5;7,1;0,6;1,7;3,8;;;;
Северо-Западный     федеральный округ;2,7;7,9;5,6;6,1;5,6;;;;
Республика Карелия;2,9;7,9;2,8;5,0;4,1;;;;
Республика Коми;7,6;6,3;6,6;7,5;8,6;;;;
Архангельская область;2,9;7,3;4,1;2,8;4,7;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;4,2;8,7;10,7;6,1;4,3;;;;
Архангельская область     без автономного округа;2,8;7,2;3,6;2,5;4,7;;;;
Вологодская область;4,1;11,3;4,1;5,6;6,3;;;;
Калининградская область;1,2;4,9;4,9;2,5;1,9;;;;
Ленинградская область;3,9;6,4;9,4;8,2;8,7;;;;
Мурманская область;15,1;24,3;15,5;15,3;15,3;;;;
Новгородская область;3,7;9,1;4,8;5,1;3,3;;;;
Псковская область;4,5;9,0;5,6;4,6;3,7;;;;
