Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;
3.5. СРЕДНИЙ РАЗМЕР НАЗНАЧЕННЫХ ПЕНСИЙ;;;;;;;;;;;;;
"(на 1 января; рублей)";;;;;;;;;;;;;
;2006;2011;2012;2013;2014;2015;2016;2017;;2018;;;
;;2011;2012;2013;2014;2015;2016;не включая единовременную выплату 20171);включая единовременную выплату 20171);;;;
Российская Федерация;2538;7594;8273;9154;10030;10889;12081;12426;17426;13323;;;
Центральный федеральный округ;2537;7616;8307;9201;10095;10961;12178;12539;17539;13456;;;
Белгородская область;2375;7255;7920;8777;9635;10456;11639;12034;17034;12984;;;
Брянская область;2396;7117;7742;8578;9315;10145;11266;11629;16629;12477;;;
Владимирская область;2536;7515;8164;9018;9874;10686;11871;12207;17207;13093;;;
Воронежская область;2393;7087;7702;8502;9285;10049;11148;11484;16484;12371;;;
Ивановская область;2496;7353;7976;8790;9592;10366;11489;11803;16803;12686;;;
Калужская область;2518;7564;8248;9139;10000;10857;12141;12406;17406;13286;;;
Костромская область;2454;7249;7863;8670;9473;10258;11379;11723;16723;12623;;;
Курская область;2278;6847;7464;8271;9048;9818;10915;11296;16296;12165;;;
Липецкая область;2391;7109;7751;8584;9404;10200;11350;11712;16712;12604;;;
Московская область;2670;8093;8849;9825;10816;11751;13020;13401;18401;14308;;;
Орловская область;2468;7343;7994;8856;9639;10490;11642;12020;17020;12883;;;
Рязанская область;2416;7174;7818;8663;9478;10297;11467;11819;16819;12716;;;
Смоленская область;2432;7220;7854;8670;9470;10244;11381;11701;16701;12554;;;
Тамбовская область;2321;6818;7408;8180;8936;9675;10699;11021;16021;11880;;;
Тверская область;2506;7437;8083;8923;9757;10543;11708;12039;17039;12931;;;
Тульская область;2496;7440;8112;8998;9804;10688;11875;12248;17248;13153;;;
Ярославская область;2560;7673;8347;9229;10107;10955;12181;12535;17535;13485;;;
г. Москва;2702;8140;8893;9845;10851;11790;13095;13450;18450;14410;;;
Северо-Западный федеральный округ;2828;8611;9374;10361;11331;12288;13624;13978;18978;14922;;;
Республика Карелия;3029;9286;10132;11226;12326;13374;14870;15295;20295;16386;;;
Республика Коми;3183;9613;10502;11643;12800;13925;15484;15904;20904;16945;;;
Архангельская область;3089;9462;10327;11437;12555;13628;15162;15596;20596;16709;;;
в том числе:;;;;;;;;;;;;;
Ненецкий автономный округ;3819;11505;12676;14076;15499;16965;18875;19388;24388;20589;;;
Архангельская область без автономного округа;3069;9402;10256;11357;12463;13524;15041;15470;20470;16578;;;
Вологодская область;2612;7811;8507;9414;10309;11169;12408;12772;17772;13755;;;
Калининградская область;2496;7268;7893;8724;9562;10358;11492;11830;16830;12681;;;
Ленинградская область;2583;7784;8492;9408;10315;11230;12439;12805;17805;13717;;;
Мурманская область;3411;10287;11261;12497;13749;14941;16635;17057;22057;18123;;;
Новгородская область;2502;7455;8111;8971;9821;10643;11822;12196;17196;13104;;;
Псковская область;2435;7248;7883;8710;9520;10300;11432;11761;16761;12616;;;
г. Санкт-Петербург;2846;8825;9574;10547;11470;12426;13739;14044;19044;14924;;;
Южный          федеральный округ;2390;7055;7661;8445;9216;9964;11126;11405;16405;12224;;;
Республика Адыгея;2302;6786;7359;8115;8846;9568;10600;10886;15886;11696;;;
Республика Калмыкия;2248;6581;7139;7877;8598;9320;10306;10585;15585;11337;;;
