Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.10. ЧИСЛО ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ 1);;;;;;;
(на начало учебного года);;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Российская Федерация;2905;2850;2709;2909;2891;3552;3590
Центральный федеральный округ;758;796;723;749;697;748;756
Белгородская область;23;27;38;36;35;38;37
Брянская область;30;26;33;30;35;36;27
Владимирская область;33;35;32;35;36;42;42
Воронежская область;50;41;45;44;41;52;43
Ивановская область;29;24;21;35;36;38;38
Калужская область;28;33;29;32;34;31;29
Костромская область;19;26;28;28;25;32;29
Курская область;32;34;26;28;26;30;30
Липецкая область;21;20;19;20;21;33;34
Московская область;113;119;93;100;81;62;77
Орловская область;15;18;19;20;19;23;22
Рязанская область;30;36;30;31;31;36;36
Смоленская область;33;40;40;38;32;30;32
Тамбовская область;26;32;28;26;23;28;29
Тверская область;42;43;36;45;42;51;52
Тульская область;43;43;40;37;34;37;38
Ярославская область;31;31;36;37;35;54;51
г. Москва;160;168;130;127;111;95;100
Северо-Западный       федеральный округ;262;237;248;276;263;346;347
Республика Карелия;14;14;16;17;19;21;21
Республика Коми;22;22;24;25;25;33;34
Архангельская область;37;31;32;37;32;55;54
в том числе: ;;;;;;;
Ненецкий автономный округ;2;2;1;2;2;3;3
Архангельская область  без автономного округа;;;31;35;30;52;51
Вологодская область;28;34;37;38;34;42;42
Калининградская область;18;16;16;15;15;18;19
Ленинградская область;19;25;26;29;29;31;31
Мурманская область;12;16;21;20;19;22;22
Новгородская область;11;11;16;18;17;19;21
Псковская область;15;13;11;17;9;18;17
г. Санкт-Петербург;86;55;49;60;64;87;86
Южный            федеральный округ;240;206;210;255;269;398;397
Республика Адыгея;5;4;4;7;4;7;8
Республика Калмыкия;10;6;4;7;7;8;9
Республика Крым;…;…;…;22;25;39;36
Краснодарский край;84;77;75;80;88;116;121
Астраханская область;21;16;15;15;16;20;20
Волгоградская область;49;39;43;51;49;73;66
Ростовская область;71;64;69;69;73;124;127
г. Севастополь;…;…;…;4;7;11;10
Северо-Кавказский     федеральный округ;105;122;126;138;159;189;211
Республика Дагестан;28;33;21;21;30;40;47
Республика Ингушетия ;4;4;8;8;9;9;10
Кабардино-Балкарская     Республика;-;-;5;9;6;11;12
Карачаево-Черкесская    Республика;7;7;2;5;12;13;14
Республика Северная  Осетия – Алания;13;12;11;12;12;22;22
Чеченская Республика;7;11;22;21;20;23;27
Ставропольский край;46;55;57;62;70;71;79
Приволжский     федеральный округ;752;741;673;685;677;841;835
Республика Башкортостан;87;88;71;71;70;114;112
Республика Марий Эл;14;24;23;22;24;27;27
Республика Мордовия;21;28;30;30;29;30;29
Республика Татарстан;77;100;92;99;105;102;101
Удмуртская Республика;39;42;40;40;45;58;59
Чувашская Республика;28;24;24;27;23;30;30
Пермский край;81;77;70;68;70;79;82
Кировская область;47;48;44;50;48;59;56
Нижегородская область;97;83;79;78;72;83;81
Оренбургская область;51;36;35;47;44;52;52
Пензенская область;32;37;23;19;16;28;28
Самарская область;79;73;67;67;68;73;71
Саратовская область;58;46;39;34;30;60;61
Ульяновская область;41;35;36;33;33;46;46
Уральский     федеральный округ;248;235;237;257;251;279;280
Курганская область;24;21;18;21;21;22;21
Свердловская область;99;107;113;117;119;129;133
Тюменская область;55;45;47;51;51;55;53
в том числе:;;;;;;;
Ханты-Мансийский автономный округ – Югра;23;20;22;24;23;25;24
Ямало-Ненецкий автономный округ;9;6;5;6;7;9;9
Тюменская область   без автономных округов;;;20;21;21;21;20
Челябинская область;70;62;59;68;60;73;73
Сибирский      федеральный округ;408;388;390;416;422;555;565
Республика Алтай;7;6;6;8;8;7;8
Республика Бурятия;18;21;19;26;26;30;30
Республика Тыва;6;6;12;15;15;18;16
Республика Хакасия;9;12;11;10;10;16;17
Алтайский край;47;43;37;38;42;58;58
Забайкальский край;21;22;19;23;23;31;33
Красноярский край;64;60;48;60;48;71;80
Иркутская область;58;56;59;62;68;87;87
Кемеровская область;53;51;68;64;66;78;76
Новосибирская область;60;47;48;48;55;74;76
Омская область;45;41;39;34;35;53;52
Томская область;20;23;24;28;26;32;32
Дальневосточный      федеральный округ;132;125;102;133;153;196;199
Республика Саха (Якутия);28;31;22;24;40;49;49
Камчатский край;8;8;4;9;9;12;13
Приморский край;27;25;23;37;40;48;49
Хабаровский край;26;28;28;29;28;37;35
Амурская область;23;14;11;11;10;13;14
Магаданская область;4;4;3;4;5;11;11
Сахалинская область;10;9;7;12;12;15;15
Еврейская автономная область;5;5;3;5;5;8;9
Чукотский автономный округ;1;1;1;2;4;3;4
?????;;;;;;;
1)  До 2016 г. – профессиональные образовательные организации, осуществляющие подготовку специалистов среднего звена. С 2013 г. - по данным Минпросвещения России.;;;;;;;
