Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.11. ЧИСЛО ФИЛИАЛОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ1);;;;;;;
(на начало учебного года);;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Российская Федерация;626;489;352;339;362;602;618
Центральный    федеральный округ;119;73;40;37;48;117;127
Белгородская область;2;1;-;-;-;-;-
Брянская область;1;-;1;1;4;6;12
Владимирская область;1;7;-;-;-;2;2
Воронежская область;13;2;1;1;3;13;16
Ивановская область;3;2;2;2;2;3;3
Калужская область;4;6;2;2;1;1;1
Костромская область;2;1;1;-;-;-;2
Курская область;5;2;3;6;9;19;20
Липецкая область;7;3;1;2;2;1;1
Московская область;13;10;8;3;8;29;28
Орловская область;9;4;2;2;4;8;6
Рязанская область;5;2;3;2;2;4;4
Смоленская область;10;9;3;2;2;2;2
Тамбовская область;5;3;4;2;2;8;7
Тверская область;11;4;5;5;2;4;6
Тульская область;5;3;3;6;5;5;5
Ярославская область;7;-;1;1;2;5;5
г. Москва;16;14;-;-;-;7;7
Северо-Западный     федеральный округ;50;43;29;28;33;43;42
Республика Карелия;5;5;1;1;1;6;6
Республика Коми;8;9;7;7;5;5;5
Архангельская область;5;11;1;1;1;1;1
в том числе Архангельская   область без автономного округа;;;1;1;1;1;1
Вологодская область;6;-;-;-;1;4;4
Калининградская область;1;2;-;-;-;-;-
Ленинградская область;5;3;8;8;13;13;13
Мурманская область;14;8;10;9;8;9;6
Новгородская область;3;3;2;2;2;3;5
Псковская область;3;2;-;-;2;2;2
Южный              федеральный округ;109;86;61;55;53;62;58
Республика Адыгея;-;-;-;1;1;1;1
Республика Калмыкия;1;-;1;1;1;4;3
Республика Крым;…;…;…;-;-;3;3
Краснодарский край;45;37;32;27;26;27;25
Астраханская область;9;14;11;11;10;11;10
Волгоградская область;15;11;9;9;9;8;8
Ростовская область;39;24;8;6;6;8;8
г. Севастополь;…;…;…;-;-;-;-
Северо-Кавказский   федеральный округ;34;27;21;18;18;23;22
Республика Дагестан;7;5;4;5;4;4;3
Кабардино-Балкарская     Республика;5;-;-;-;1;2;-
Карачаево-Черкесская      Республика;2;4;2;1;2;3;3
Республика Северная      Осетия – Алания;2;1;-;-;-;-;2
Чеченская Республика;-;-;4;4;1;2;-
Ставропольский край;18;17;11;8;10;12;4
Приволжский    федеральный округ;116;107;73;73;80;139;141
Республика Башкортостан;22;29;18;18;13;30;36
Республика Марий Эл;-;3;1;-;1;1;1
Республика Мордовия;2;-;1;-;-;1;1
Республика Татарстан;3;3;3;2;1;3;3
Удмуртская Республика;8;12;3;1;3;6;5
Чувашская Республика;4;3;2;2;1;1;1
Пермский край;2;4;11;6;11;16;17
Кировская область;11;12;9;6;9;11;11
Нижегородская область;10;-;8;15;16;16;16
Оренбургская область;8;7;6;7;6;18;18
Пензенская область;7;4;2;4;4;9;5
Самарская область;12;5;2;2;8;18;18
Саратовская область;19;24;7;10;6;8;8
Ульяновская область;8;1;-;-;1;1;1
Уральский      федеральный округ;46;48;60;65;61;93;90
Курганская область;2;1;3;4;5;10;11
Свердловская область;14;32;30;27;26;36;34
Тюменская область;30;15;17;21;15;20;18
в том числе:;;;;;;;
Ханты-Мансийский автономный     округ – Югра;22;14;15;19;13;14;13
Ямало-Ненецкий автономный     округ;2;-;-;1;1;5;4
Тюменская область    без автономных округов;;;2;1;1;1;1
Челябинская область;-;-;10;13;15;27;27
Сибирский       федеральный округ;86;70;45;46;53;93;103
Республика Алтай;1;-;-;-;2;-;-
Республика Бурятия;4;-;3;5;10;10;13
Республика Тыва;1;1;-;-;-;-;2
Республика Хакасия;5;2;3;2;2;3;3
Алтайский край;10;8;3;2;3;7;7
Забайкальский край;7;5;3;2;3;8;8
Красноярский край;18;12;3;6;8;32;36
Иркутская область;6;7;6;6;5;9;10
Кемеровская область;14;13;10;10;10;9;9
Новосибирская область;5;3;3;4;4;4;5
Омская область;4;7;1;1;-;1;1
Томская область;11;12;10;8;6;10;9
Дальневосточный    федеральный округ;66;35;23;17;16;32;35
Республика Саха (Якутия);9;5;3;1;1;12;13
Камчатский край;3;4;-;1;1;3;3
Приморский край;32;7;6;6;6;10;11
Хабаровский край;13;11;7;5;4;3;3
Амурская область;4;1;2;2;2;2;2
Магаданская область;-;-;1;1;1;1;1
Сахалинская область;5;7;4;1;1;1;2
__________;;;;;;;
1) До 2016 г. - число филиалов профессиональных образовательных организаций, осуществляющих подготовку специалистов среднего звена. С 2013 г. - по данным Минпросвещения России.;;;;;;;
