Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ,  РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ;;;;;;;
4.12.2. Численность мастеров производственного обучения1);;;;;;;
"(на конец года; человек)";;;;;;;
;2010;2012;2013;2014;2015;2016;2017
Российская Федерация;35593;22433;15435;11383;7473;19485;18575
Центральный     федеральный округ;6839;4328;2956;1705;1144;4145;4084
Белгородская область;304;37;27;28;26;177;175
Брянская область;590;246;21;21;21;212;196
Владимирская область;404;229;59;60;57;237;238
Воронежская область;465;313;278;276;152;267;242
Ивановская область;345;292;279;20;20;143;154
Калужская область;142;88;25;26;23;62;36
Костромская область;185;102;69;27;12;99;99
Курская область;364;274;96;27;27;273;274
Липецкая область;406;341;316;271;227;222;219
Московская область ;1442;1123;814;156;91;779;912
Орловская область;338;98;48;21;21;176;141
Рязанская область;176;33;31;28;26;113;96
Смоленская область;201;148;101;46;31;101;55
Тамбовская область;39;39;27;28;26;263;250
Тверская область;508;222;88;72;55;161;148
Тульская область;483;410;362;325;84;252;235
Ярославская область;447;333;315;273;245;342;323
г. Москва;-;-;-;-;-;266;291
Северо-Западный     федеральный округ;3286;1744;1379;1049;753;2065;1875
Республика Карелия;198;146;62;18;17;103;83
Республика Коми;408;139;133;109;107;258;180
Архангельская область;566;310;212;151;71;331;308
в том числе: ;;;;;;;
Ненецкий автономный округ;14;15;12;13;15;14;12
Архангельская область    без автономного округа;;;200;138;56;317;296
Вологодская область;252;73;23;22;22;156;159
Калининградская область;68;26;17;17;16;57;52
Ленинградская область;146;38;14;7;7;141;141
Мурманская область;279;26;26;26;25;93;93
Новгородская область;198;122;38;15;14;105;89
Псковская область;238;94;90;72;53;93;62
г. Санкт-Петербург;933;770;764;612;421;728;708
Южный             федеральный округ;3639;2320;1678;2157;1368;1991;1907
Республика Адыгея;202;142;34;97;75;36;29
Республика Калмыкия;122;85;6;7;7;60;50
Республика Крым;…;…;…;602;451;317;296
Краснодарский край;1178;732;675;450;115;641;619
Астраханская область;215;154;39;69;50;131;119
Волгоградская область;769;470;378;325;246;310;311
Ростовская область;1153;737;546;500;424;428;415
г. Севастополь;…;…;…;107;-;68;68
Северо-Кавказский    федеральный округ;2298;1440;1045;268;254;1089;1036
Республика Дагестан;551;563;542;21;21;160;166
Республика Ингушетия;142;-;-;-;-;64;42
Кабардино-Балкарская   Республика;333;47;45;28;23;159;153
Карачаево-Черкесская    Республика;202;190;134;-;-;18;21
Республика Северная       Осетия – Алания;335;215;180;171;162;213;181
Чеченская Республика ;517;269;10;10;8;242;216
Ставропольский край;218;156;134;38;40;233;257
Приволжский      федеральный округ;7485;4937;2970;2132;1403;3831;3650
Республика     Башкортостан;1885;1532;1281;800;630;582;588
Республика Марий Эл;125;102;77;35;35;116;117
Республика Мордовия;188;121;36;37;36;109;97
Республика Татарстан;656;357;104;89;80;460;452
Удмуртская Республика;541;377;323;276;35;325;302
Чувашская Республика;320;195;61;20;21;174;148
Пермский край;849;363;152;116;107;382;331
Кировская область;315;150;57;56;56;198;223
Нижегородская область ;432;275;57;48;61;453;400
Оренбургская область;809;515;45;25;31;181;151
Пензенская область;152;67;30;28;27;150;145
Самарская область;361;198;194;188;160;216;195
Саратовская область;559;461;448;369;76;324;363
Ульяновская область;293;224;105;45;48;161;138
Уральский        федеральный округ;2833;1325;566;379;304;1868;1750
Курганская область;362;177;41;76;76;166;144
Свердловская область ;904;454;276;190;114;575;557
Тюменская область;421;291;141;62;64;534;466
в том числе:;;;;;;;
Ханты-Мансийский     автономный округ – Югра;117;68;63;20;20;273;262
Ямало-Ненецкий     автономный округ;82;72;42;6;8;89;77
Тюменская область     без автономных округов;;;36;36;36;172;127
Челябинская область;1146;403;108;51;50;593;583
Сибирский      федеральный округ;7115;4659;3332;2739;1570;3552;3380
Республика Алтай;104;60;58;51;41;56;44
Республика Бурятия;304;91;41;45;47;129;134
Республика Тыва;258;141;77;27;30;154;158
Республика Хакасия;306;188;121;123;90;183;174
Алтайский край;813;591;553;454;348;440;405
Забайкальский край;414;311;222;174;140;187;196
Красноярский край;1209;1068;960;856;86;649;696
Иркутская область;870;552;437;391;227;586;556
Кемеровская область;1082;630;101;99;104;476;419
Новосибирская область ;637;270;234;193;192;209;180
Омская область;597;440;376;270;246;350;288
Томская область;521;317;152;56;19;133;130
Дальневосточный     федеральный округ;2098;1680;1509;954;677;944;893
Республика Саха (Якутия);425;332;300;245;129;187;161
Камчатский край;106;91;92;81;6;64;63
Приморский край;441;354;327;171;146;188;184
Хабаровский край ;376;240;177;158;145;213;228
Амурская область;381;320;318;144;123;93;77
Магаданская область;77;69;68;67;71;62;50
Сахалинская область;169;167;131;33;23;86;79
Еврейская автономная      область;99;85;75;35;34;51;49
Чукотский автономный   округ;24;22;21;20;-;-;2
?????;;;;;;;
1) С 2016 г. - на начало учебного года. До 2016/2017 учебного года данные приведены по образовательным организациям начального профессионального образования. С 2011 г. - по данным Минпросвещения России.;;;;;;;
