Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ, РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА;;;;;;;;
4.13.1.  Численность преподавателей1) ;;;;;;;;
"(на начало учебного года; человек)";;;;;;;;
;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Российская Федерация;119950;118739;119662;112777;121069;126024;97759;102451
Центральный       федеральный округ;30051;29346;30059;28085;29275;30048;22737;24035
Белгородская область;1435;1335;1430;1427;1508;1629;1446;1477
Брянская область;1234;1122;1284;1325;1204;1297;920;937
Владимирская область;1120;1041;995;1074;1142;1194;956;936
Воронежская область;2138;2063;2054;2101;2058;2213;1753;1724
Ивановская область;793;718;692;587;796;801;683;655
Калужская область;923;885;856;881;838;890;585;602
Костромская область;691;694;631;576;570;597;530;464
Курская область;1285;1300;1238;1180;1337;1404;1140;1065
Липецкая область;1027;924;846;868;881;969;676;744
Московская область;3264;3220;4101;3305;3944;3963;3195;3478
Орловская область;768;786;904;846;856;904;690;677
Рязанская область;1045;1045;1040;1031;1079;1047;822;810
Смоленская область;986;942;935;912;941;849;621;564
Тамбовская область;953;913;774;692;744;803;731;723
Тверская область;1166;1100;1083;922;1136;1048;875;946
Тульская область;1290;1271;1249;1009;1234;1288;900;928
Ярославская область;1183;1091;1098;1127;1153;1198;959;995
г. Москва;8750;8896;8849;8222;7854;7954;5255;6310
Северо-Западный       федеральный округ;10664;10774;10918;10302;11686;11635;9924;9832
Республика Карелия;676;629;622;543;708;709;538;517
Республика Коми;887;954;909;866;939;890;730;703
Архангельская область;1021;981;1028;860;1091;970;833;787
в том числе: ;;;;;;;;
Ненецкий автономный округ;39;34;35;14;41;44;44;16
Архангельская область      без автономного округа;;;;846;1050;926;789;771
Вологодская область;1171;1190;1146;1133;1123;1134;908;955
Калининградская область;699;847;890;876;933;922;719;718
Ленинградская область;627;681;721;675;767;917;606;643
Мурманская область;569;533;702;699;709;725;574;529
Новгородская область;467;443;455;494;533;567;435;469
Псковская область;397;400;455;369;465;443;423;419
г. Санкт-Петербург;4150;4116;3990;3787;4418;4358;4158;4092
Южный           федеральный округ;11757;11434;11817;11072;13175;13713;10528;11375
Республика Адыгея;599;626;409;392;419;394;367;365
Республика Калмыкия;365;331;320;244;335;356;179;251
Республика Крым;…;…;…;…;1145;1116;927;1032
Краснодарский край;3867;4020;4439;3983;4410;4669;3382;3636
Астраханская область;1213;1042;1029;918;1053;1190;846;765
Волгоградская область;2240;2141;2218;2202;2208;2151;1822;2050
Ростовская область;3473;3274;3402;3333;3368;3560;2864;3037
г. Севастополь;…;…;…;…;237;277;141;239
Северо-Кавказский    федеральный округ;5698;6180;6768;5766;6629;7401;4758;5831
Республика Дагестан;1476;1754;1669;1352;1492;2152;944;1611
Республика Ингушетия ;109;107;211;236;284;285;218;206
Кабардино-Балкарская Республика;482;578;734;542;629;521;305;495
Карачаево-Черкесская Республика;392;349;304;151;196;378;234;189
Республика Северная Осетия - Алания;554;559;575;479;547;639;401;504
Чеченская Республика ;518;432;641;837;1074;1000;609;795
Ставропольский край;2167;2401;2634;2169;2407;2426;2047;2031
Приволжский       федеральный округ;28909;28193;27817;26650;27070;28101;22237;22694
Республика Башкортостан;4468;4178;3999;3718;3631;3769;3087;3165
Республика Марий Эл;717;712;732;637;635;670;544;517
Республика Мордовия;886;868;836;795;903;978;706;754
Республика Татарстан;3466;3550;3529;3704;3797;4044;2825;2900
Удмуртская Республика;1438;1446;1356;1237;1238;1345;1059;1108
Чувашская Республика;1143;1054;1072;1115;1186;1126;1036;898
Пермский край;2822;2603;2477;2539;2551;2624;1963;2187
Кировская область;1265;1199;1167;933;1002;1123;917;868
Нижегородская область ;2608;2730;2688;2721;2747;2968;2206;2243
Оренбургская область;2115;2106;2075;1866;2199;2124;1667;1624
Пензенская область;1398;1461;1662;1376;1321;1203;915;936
