Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;
4.17. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА1);;;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;;
Российская Федерация;2590,7;2125,7;1984,3;2103,1;2180,2;2304,8;2387,7;;
Центральный  федеральный округ;575,2;478,5;442,8;462,7;469,8;492,8;509,8;;
Белгородская область;25,1;20,0;19,1;21,1;21,8;23,3;24,5;;
Брянская область;23,7;19,2;16,8;17,3;19,2;19,1;19,3;;
Владимирская область;26,4;19,9;17,7;18,9;19,2;20,0;20,5;;
Воронежская область;50,8;35,8;36,3;34,4;34,6;34,7;34,9;;
Ивановская область;16,8;14,1;11,3;12,8;13,6;14,6;15,0;;
Калужская область;16,7;14,2;13,3;13,6;14,0;15,0;15,8;;
Костромская область;10,9;9,3;8,6;8,7;9,5;11,0;11,4;;
Курская область;23,4;20,0;16,1;17,4;18,2;21,3;21,4;;
Липецкая область;22,3;16,2;16,2;16,8;17,1;17,5;17,5;;
Московская область;75,2;60,2;56,3;62,3;64,2;71,2;76,9;;
Орловская область;12,5;11,6;11,2;11,8;11,9;12,5;12,6;;
Рязанская область;21,6;19,4;17,3;18,7;19,6;20,8;21,0;;
Смоленская область;22,6;18,0;15,2;15,3;14,1;15,2;16,0;;
Тамбовская область;21,5;15,3;15,7;16,6;17,2;18,8;18,4;;
Тверская область;27,9;21,7;17,5;18,4;17,8;20,0;20,7;;
Тульская область;32,1;20,7;16,7;19,1;19,4;20,2;21,0;;
Ярославская область;28,3;20,2;19,6;20,5;20,4;20,9;22,2;;
г. Москва;117,7;122,7;117,7;119,1;118,0;116,8;120,6;;
Северо-Западный федеральный округ;213,0;177,7;169,0;178,4;184,6;199,4;207,1;;
Республика Карелия;14,0;11,3;8,3;9,9;10,2;10,2;10,2;;
Республика Коми;15,7;15,1;12,9;13,7;14,3;15,2;15,6;;
Архангельская область;25,3;19,1;16,6;18,0;16,1;18,7;18,6;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;0,9;0,9;0,4;1,0;0,9;0,8;0,8;;
Архангельская область     без автономного округа;;;16,2;17,1;15,2;17,8;17,8;;
Вологодская область;23,6;17,6;16,8;16,9;16,9;18,5;19,9;;
Калининградская область;14,5;12,6;14,0;14,4;14,9;17,0;17,7;;
Ленинградская область;9,3;11,1;11,6;12,6;14,0;14,0;14,5;;
