Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
 4.21. ЧИСЛО ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВЫСШЕГО ОБРАЗОВАНИЯ И НАУЧНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ1);;;;;;;;
(на начало учебного года);;;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;
Российская Федерация;1068;1115;969;950;896;818;766;
Центральный   федеральный округ;378;428;377;371;342;306;280;
Белгородская область;9;7;7;6;6;5;5;
Брянская область;4;5;5;5;5;5;5;
Владимирская область;4;7;4;4;3;3;3;
Воронежская область;18;22;19;16;16;15;15;
Ивановская область;8;9;8;7;6;6;6;
Калужская область;6;4;3;3;3;3;3;
Костромская область;3;3;3;3;3;2;2;
Курская область;13;11;10;10;10;10;8;
Липецкая область;5;6;6;6;6;5;5;
Московская область;31;32;38;35;34;29;24;
Орловская область;8;7;5;5;5;4;4;
Рязанская область;9;9;9;8;7;7;6;
Смоленская область;7;7;8;8;7;7;7;
Тамбовская область;6;6;4;4;4;4;4;
Тверская область;7;8;7;7;7;7;7;
Тульская область;2;8;9;8;8;6;6;
Ярославская область;9;9;9;9;9;9;9;
г. Москва;229;268;223;227;203;179;161;
Северо-Западный федеральный округ;130;131;107;103;102;95;90;
Республика Карелия;3;3;2;2;2;2;2;
Республика Коми;6;5;4;3;3;3;3;
Архангельская область;5;6;4;4;4;4;4;
в том числе Архангельская область без автономного округа;;;4;4;4;4;4;
Вологодская область;5;6;6;4;4;3;3;
Калининградская область;10;8;4;4;4;4;4;
Ленинградская область;4;3;1;1;1;1;1;
Мурманская область;4;4;4;4;4;3;3;
Новгородская область;1;1;1;1;1;1;1;
Псковская область;5;5;4;3;3;3;3;
г. Санкт-Петербург;87;90;77;77;76;71;66;
Южный               федеральный округ;88;85;76;87;74;64;61;
Республика Адыгея;1;2;2;2;2;2;2;
Республика Калмыкия;1;1;1;1;1;1;1;
Республика Крым;…;…;…;11;6;7;7;
Краснодарский край;33;34;28;27;26;21;20;
Астраханская область;5;6;6;6;6;6;6;
Волгоградская область;17;16;16;15;13;12;12;
Ростовская область;31;26;23;21;18;14;12;
г. Севастополь;…;…;…;4;2;1;1;
Северо-Кавказский     федеральный округ;61;65;55;59;54;50;47;
Республика Дагестан;15;18;17;19;18;16;14;
Республика Ингушетия ;3;2;1;2;2;2;2;
Кабардино-Балкарская      Республика;4;4;4;4;4;4;4;
Карачаево-Черкесская    Республика;2;2;2;2;2;2;2;
Республика Северная    Осетия - Алания;11;13;9;9;8;7;6;
Чеченская Республика ;3;3;3;3;3;3;3;
Ставропольский край;23;23;19;20;17;16;16;
Приволжский     федеральный округ;178;168;143;134;131;123;117;
Республика Башкортостан;17;15;11;11;11;10;10;
Республика Марий Эл;5;3;3;3;3;3;3;
Республика Мордовия;4;3;3;3;3;3;3;
Республика Татарстан;35;33;26;25;25;23;24;
Удмуртская Республика;7;9;8;7;7;7;7;
Чувашская Республика;7;6;5;5;5;5;4;
Пермский край;15;16;16;13;12;11;10;
Кировская область;7;7;6;6;6;5;4;
Нижегородская область ;18;17;13;13;13;13;11;
Оренбургская область;10;9;7;6;5;5;5;
Пензенская область;5;5;4;4;4;4;4;
Самарская область;29;29;28;26;25;22;20;
Саратовская область;14;11;8;7;7;7;7;
Ульяновская область;5;5;5;5;5;5;5;
Уральский     федеральный округ;70;73;67;58;59;54;53;
Курганская область;4;4;4;3;3;3;3;
Свердловская область ;26;32;29;24;26;24;23;
Тюменская область;20;18;17;15;15;12;12;
в том числе:;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;8;8;8;8;8;7;7;
Ямало-Ненецкий    автономный округ;1;-;-;-;-;-;-;
Тюменская область     без автономных округов;;;9;7;7;5;5;
Челябинская область;20;19;17;16;15;15;15;
Сибирский      федеральный округ;114;114;105;100;96;91;83;
Республика Алтай;1;1;1;1;1;1;1;
Республика Бурятия;4;5;5;5;5;5;5;
Республика Тыва;1;-;1;1;1;1;1;
Республика Хакасия;2;2;1;1;1;1;1;
Алтайский край;10;10;9;10;10;10;7;
Забайкальский край;3;4;2;2;2;2;2;
Красноярский край;16;12;11;10;10;9;8;
Иркутская область;13;15;14;13;12;11;10;
Кемеровская область;11;12;10;8;8;8;7;
Новосибирская область ;25;25;24;23;22;21;21;
Омская область;20;19;18;17;15;14;13;
Томская область;8;9;9;9;9;8;7;
Дальневосточный     федеральный округ;49;51;39;38;38;35;35;
Республика Саха (Якутия);8;9;7;7;7;7;7;
Камчатский край;3;3;2;2;2;2;2;
Приморский край;12;13;8;9;9;8;8;
Хабаровский край ;17;17;14;12;12;10;10;
Амурская область;5;5;4;4;4;4;4;
Магаданская область;1;1;1;1;1;1;1;
Сахалинская область;2;2;2;2;2;2;2;
Еврейская автономная    область;1;1;1;1;1;1;1;
?????;;;;;;;;
1) До 2016/2017 учебного года – образовательные организации высшего образования. Здесь и далее с 2013 г. - по данным Минобрнауки России.;;;;;;;;
