Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.22. ЧИСЛО ФИЛИАЛОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВЫСШЕГО ОБРАЗОВАНИЯ;;;;;;;
 (на начало учебного года);;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Российская Федерация;1619;1668;1482;1319;1079;840;651
Центральный    федеральный округ;320;400;347;323;270;193;144
Белгородская область;19;14;12;12;9;8;5
Брянская область;13;20;16;16;14;11;9
Владимирская область;19;17;15;14;14;11;7
Воронежская область;17;20;16;16;15;11;10
Ивановская область;9;10;9;7;5;5;5
Калужская область;20;24;19;18;18;14;10
Костромская область;3;4;4;3;3;3;-
Курская область;17;13;8;7;6;4;3
Липецкая область;9;16;14;14;11;8;8
Московская область;68;127;120;104;83;53;39
Орловская область;7;6;8;8;6;6;5
Рязанская область;19;15;12;11;10;9;5
Смоленская область;26;27;24;24;20;15;11
Тамбовская область;12;11;11;10;8;5;3
Тверская область;23;28;22;21;16;7;2
Тульская область;13;17;12;13;12;8;7
Ярославская область;24;25;17;18;14;10;9
г. Москва;2;6;8;7;6;5;6
Северо-Западный федеральный округ;186;165;141;121;88;70;53
Республика Карелия;13;11;8;7;6;3;2
Республика Коми;21;13;13;11;8;4;4
Архангельская область;19;15;10;8;6;5;4
в том числе: ;;;;;;;
Ненецкий автономный   округ;2;-;-;-;-;-;-
Архангельская область без автономного округа;;;10;8;6;5;4
Вологодская область;14;17;13;11;9;6;5
Калининградская область;21;20;17;15;12;11;7
Ленинградская область;35;32;26;23;14;14;13
Мурманская область;28;24;19;16;10;8;5
Новгородская область;10;10;10;9;8;6;2
Псковская область;14;14;11;10;8;7;5
г. Санкт-Петербург;11;9;14;11;7;6;6
Южный               федеральный округ;213;201;174;159;132;115;92
Республика Адыгея;7;7;7;6;5;2;2
Республика Калмыкия;9;7;6;3;3;3;2
Республика Крым;…;…;…;2;5;5;6
Краснодарский край;93;83;66;53;43;40;30
Астраханская область;16;17;17;14;12;9;8
Волгоградская область;27;26;25;23;20;16;13
Ростовская область;61;61;53;53;39;35;26
г. Севастополь;…;…;…;5;5;5;5
Северо-Кавказский     федеральный округ;120;117;99;86;71;58;43
Республика Дагестан;45;40;37;33;22;18;17
Республика Ингушетия ;3;1;2;2;2;1;-
Кабардино-Балкарская       Республика;4;7;4;2;2;2;-
Карачаево-Черкесская      Республика;13;12;8;8;7;5;3
Республика Северная     Осетия - Алания;2;1;3;3;3;3;2
Чеченская Республика ;1;1;1;2;1;1;1
Ставропольский край;52;55;44;36;34;28;20
Приволжский         федеральный округ;313;327;320;287;228;174;144
Республика Башкортостан;45;42;38;34;30;26;22
Республика Марий Эл;3;7;7;5;2;-;-
Республика Мордовия;5;5;7;7;7;6;5
Республика Татарстан;54;55;54;45;35;25;21
Удмуртская Республика;16;18;16;14;11;9;9
Чувашская Республика;15;20;17;16;14;12;8
Пермский край;17;22;26;25;20;17;15
Кировская область;25;22;18;15;8;5;5
Нижегородская область ;29;29;42;40;32;20;17
Оренбургская область;24;26;23;22;15;13;13
Пензенская область;13;15;12;12;8;6;3
Самарская область;33;31;25;22;19;14;9
Саратовская область;22;23;24;20;19;14;11
Ульяновская область;12;12;11;10;8;7;6
Уральский          федеральный округ;170;180;163;135;110;91;67
Курганская область;5;8;8;5;5;5;4
Свердловская область ;40;54;52;46;39;34;23
Тюменская область;104;83;65;52;36;25;20
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;55;41;31;25;14;11;8
Ямало-Ненецкий     автономный округ;31;25;22;16;12;6;6
Тюменская область без автономных округов;;;12;11;10;8;6
Челябинская область;21;35;38;32;30;27;20
Сибирский      федеральный округ;197;183;158;141;124;95;73
Республика Алтай;1;1;-;-;- ;-;-
Республика Бурятия;8;12;12;8;9;8;5
Республика Тыва;4;4;2;2;2;1;1
Республика Хакасия;6;5;4;4;2;2;2
Алтайский край;23;22;19;18;16;13;10
Забайкальский край;11;9;6;5;5;5;5
Красноярский край;43;36;31;29;25;19;12
Иркутская область;18;22;22;18;15;11;10
Кемеровская область;39;32;29;26;24;15;12
Новосибирская область ;18;16;14;13;10;7;5
Омская область;13;14;12;11;9;9;7
Томская область;13;10;7;7;7;5;4
Дальневосточный        федеральный округ;100;95;80;67;56;44;35
Республика Саха (Якутия);25;23;19;18;15;10;9
Камчатский край;8;7;6;5;4;4;3
Приморский край;30;31;22;18;15;13;11
Хабаровский край ;11;11;11;11;8;7;5
Амурская область;11;6;7;4;4;2;2
Магаданская область;7;6;5;4;3;3;2
Сахалинская область;5;7;5;3;3;2;2
Еврейская автономная    область;3;4;3;2;2;1;-
Чукотский автономный округ;-;-;2;2;2;2;1
