Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.25. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ на 10 000 человек населения;;;;;;;
"(на начало учебного года; человек)";;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2016
Российская Федерация;493;497;393;356;325;300;289
Центральный       федеральный округ;569;597;450;405;372;347;332
Белгородская область;477;508;420;382;342;326;316
Брянская область;345;443;336;320;282;252;223
Владимирская область;361;375;300;249;239;222;197
Воронежская область;529;589;456;425;393;381;373
Ивановская область;467;460;380;319;304;278;260
Калужская область;302;375;276;246;218;188;184
Костромская область;303;315;279;253;209;176;168
Курская область;494;629;536;499;488;397;368
Липецкая область;280;359;272;247;216;192;189
Московская область;229;249;204;180;153;117;103
Орловская область;544;532;485;438;420;406;414
Рязанская область;457;474;405;339;315;293;291
Смоленская область;404;499;415;348;273;254;229
Тамбовская область;366;388;323;312;278;286;276
Тверская область;283;315;277;258;224;199;195
Тульская область;271;339;272;259;232;217;218
Ярославская область;427;400;355;311;292;266;247
г. Москва;1097;1106;733;660;616;595;572
Северо-Западный      федеральный округ;534;530;408;365;335;310;301
Республика Карелия;357;345;271;262;227;192;187
Республика Коми;372;355;315;283;239;201;195
Архангельская область;372;337;243;217;193;164;164
в том числе: ;;;;;;;
Ненецкий автономный округ;77;-;-;-;-;-;-
Архангельская область     без автономного округа;;;252;225;201;170;171
Вологодская область;396;365;290;238;205;176;162
Калининградская область;428;446;350;311;280;251;238
Ленинградская область;121;102;71;63;55;50;44
Мурманская область;475;386;285;266;202;129;117
Новгородская область;345;330;260;258;203;188;133
Псковская область;324;382;273;246;222;200;195
г. Санкт-Петербург;910;935;687;611;580;556;549
Южный         федеральный округ;412;427;352;318;288;264;256
Республика Адыгея;352;440;334;318;280;261;275
Республика Калмыкия;390;463;342;328;307;350;299
Республика Крым;…;…;…;220;238;227;219
Краснодарский край;348;361;283;263;237;214;210
Астраханская область;402;444;405;420;371;315;289
Волгоградская область;418;434;355;310;281;258;249
Ростовская область;493;496;428;405;352;328;319
г. Севастополь;…;…;…;394;364;326;326
Северо-Кавказский      федеральный округ;400;396;327;305;264;235;221
Республика Дагестан;416;395;321;289;235;204;181
Республика Ингушетия ;245;231;234;236;187;168;157
Кабардино-Балкарская      Республика;333;314;248;242;198;175;163
Карачаево-Черкесская        Республика;358;397;314;300;281;239;230
Республика Северная Осетия - Алания;495;483;429;421;371;352;327
Чеченская Республика ;220;263;237;256;238;235;240
Ставропольский край;485;496;391;350;313;268;258
Приволжский        федеральный округ;469;464;376;345;319;297;288
Республика Башкортостан;384;416;346;311;281;259;255
Республика Марий Эл;405;428;330;297;286;274;279
Республика Мордовия;504;500;423;395;373;353;345
Республика Татарстан;590;555;474;441;422;394;385
Удмуртская Республика;464;480;363;346;338;316;302
Чувашская Республика;559;534;387;344;310;294;288
Пермский край;350;379;309;275;252;229;216
Кировская область;425;390;320;295;279;260;256
Нижегородская область ;530;502;381;340;301;280;273
Оренбургская область;394;384;339;312;267;245;234
Пензенская область;398;430;335;317;298;278;253
Самарская область;555;512;406;371;346;321;313
Саратовская область;480;473;388;364;340;323;309
Ульяновская область;406;441;362;336;312;294;296
Уральский     федеральный округ;472;470;372;331;294;266;262
Курганская область;349;397;312;273;246;209;207
Свердловская область ;479;465;386;338;313;280;289
Тюменская область;505;450;344;309;263;240;227
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;366;299;238;214;168;155;149
Ямало-Ненецкий       автономный округ;284;213;135;104;49;29;18
Тюменская область     без автономных округов;;;543;494;449;411;388
Челябинская область;464;517;400;357;315;289;278
Сибирский        федеральный округ;470;456;380;351;327;298;287
Республика Алтай;278;250;182;163;155;141;135
Республика Бурятия;400;501;399;358;342;292;253
Республика Тыва;204;196;187;170;158;137;144
Республика Хакасия;341;327;220;199;160;159;159
Алтайский край;385;355;305;290;255;220;218
Забайкальский край;330;370;304;277;249;227;218
Красноярский край;460;421;359;336;313;282;267
Иркутская область;510;494;408;372;328;298;289
Кемеровская область;384;343;280;247;227;194;191
Новосибирская область ;645;580;463;426;399;380;362
Омская область;495;527;486;448;448;421;411
Томская область;747;785;619;606;590;554;549
Дальневосточный        федеральный округ;494;473;363;329;290;262;249
Республика Саха (Якутия);489;497;368;318;280;253;248
Камчатский край;518;479;323;258;202;167;160
Приморский край;509;479;342;314;281;267;255
Хабаровский край ;646;603;513;479;417;379;359
Амурская область;374;340;296;271;240;209;199
Магаданская область;584;625;453;354;304;246;225
Сахалинская область;269;284;187;194;182;151;144
Еврейская автономная область;450;433;311;236;190;141;130
Чукотский автономный округ;-;-;102;95;92;58;35
