Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;
4.3. ОБЕСПЕЧЕННОСТЬ ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА МЕСТАМИ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ, ПРИСМОТР И УХОД ЗА ДЕТЬМИ1);;;;;;;;;;;
"(на конец года; приходится мест на 1000 детей)";;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;;;
Российская Федерация;553;570;592;600;612;626;635;633;;;
Центральный федеральный округ;583;614;636;643;648;651;649;641;;;
Белгородская область;581;612;632;625;637;648;662;662;;;
Брянская область;548;552;593;595;618;653;660;662;;;
Владимирская область;736;755;801;800;810;822;828;833;;;
Воронежская область;463;477;504;535;572;628;629;651;;;
Ивановская область;713;726;736;770;771;792;797;798;;;
Калужская область;558;610;625;639;654;660;662;660;;;
Костромская область;706;687;691;675;677;683;687;711;;;
Курская область;439;439;435;440;447;475;492;495;;;
Липецкая область;473;490;582;578;605;611;623;616;;;
Московская область;626;637;652;672;684;682;680;670;;;
Орловская область;639;619;656;642;640;643;647;654;;;
Рязанская область;541;559;556;570;610;630;631;633;;;
Смоленская область;604;614;606;658;674;687;725;728;;;
Тамбовская область;530;539;606;641;681;752;756;777;;;
Тверская область;718;727;727;725;726;746;748;745;;;
Тульская область;622;662;699;749;747;760;761;777;;;
Ярославская область;725;732;725;731;763;758;754;745;;;
г. Москва;532;609;633;617;597;572;561;535;;;
Северо-Западный федеральный округ;713;733;741;755;753;757;750;737;;;
Республика Карелия;779;790;807;822;810;808;807;810;;;
Республика Коми;843;867;892;897;897;924;924;930;;;
Архангельская область;727;746;758;777;788;819;843;852;;;
в том числе: ;;;;;;;;;;;
Ненецкий автономный округ;914;864;844;835;843;826;858;906;;;
Архангельская область без автономного округа;718;740;754;774;785;819;843;849;;;
Вологодская область;741;774;791;790;778;796;790;787;;;
Калининградская область;529;540;575;639;655;706;703;694;;;
Ленинградская область;687;694;705;711;730;757;774;788;;;
Мурманская область;796;799;794;789;826;841;843;841;;;
Новгородская область;801;829;875;861;867;866;875;876;;;
Псковская область;608;625;621;621;641;665;692;701;;;
г. Санкт-Петербург;691;719;710;732;711;683;653;622;;;
Южный              федеральный округ;488;495;504;514;534;558;582;583;;;
Республика Адыгея;383;386;408;434;482;501;500;503;;;
Республика Калмыкия;455;434;450;456;494;513;643;670;;;
Республика Крым;…;…;…;…;481;473;501;508;;;
Краснодарский край;475;483;490;498;504;549;593;583;;;
Астраханская область;529;534;524;565;622;617;620;628;;;
Волгоградская область;512;511;540;554;595;613;632;639;;;
Ростовская область;495;511;511;511;547;576;576;583;;;
г. Севастополь;…;…;…;…;525;500;500;519;;;
Северо-Кавказский федеральный округ;280;283;307;315;341;373;392;404;;;
Республика Дагестан;213;200;205;209;224;247;259;258;;;
Республика Ингушетия ;55;55;72;82;109;153;197;289;;;
Кабардино-Балкарская Республика;454;459;482;507;545;595;624;662;;;
Карачаево-Черкесская Республика;319;337;359;392;415;474;517;548;;;
Республика Северная Осетия – Алания;434;495;494;444;449;499;508;485;;;
Чеченская Республика;110;111;122;141;200;238;274;307;;;
Ставропольский край;488;495;570;577;583;602;604;591;;;
Приволжский федеральный округ;604;622;648;642;657;667;668;662;;;
Республика Башкортостан;504;557;574;583;602;608;605;616;;;
Республика Марий Эл;635;641;693;687;694;698;691;690;;;
Республика Мордовия;599;583;607;618;647;688;713;685;;;
Республика Татарстан;639;660;633;595;602;616;607;596;;;
