Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
"4.4. ЧИСЛО ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1);2)";;;;;;;;
 (на начало учебного года);;;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;
Российская Федерация;61497;49469;44436;43979;42687;42621;41958;
Центральный   федеральный округ;14508;11659;9891;9428;9004;9016;8904;
Белгородская область;769;620;571;566;559;560;557;
Брянская область;811;712;548;536;528;513;490;
Владимирская область;559;458;400;395;386;386;378;
Воронежская область;1075;918;853;843;830;822;785;
Ивановская область;449;314;300;295;291;277;278;
Калужская область;497;401;373;360;358;360;353;
Костромская область;468;382;332;320;314;311;307;
Курская область;876;684;548;546;540;550;542;
Липецкая область;654;362;287;286;283;283;283;
Московская область;1687;1542;1474;1480;1471;1500;1510;
Орловская область;606;489;390;389;381;386;385;
Рязанская область;765;600;300;299;297;299;298;
Смоленская область;604;518;406;398;382;390;386;
Тамбовская область;805;213;109;108;107;111;110;
Тверская область;878;602;537;528;504;524;507;
Тульская область;718;659;559;537;509;476;474;
Ярославская область;530;458;412;399;390;412;407;
г. Москва;1757;1727;1492;1143;874;856;854;
Северо-Западный   федеральный округ;4440;3693;3369;3303;3150;3143;3093;
Республика Карелия;278;233;220;217;216;219;211;
Республика Коми;515;427;392;375;359;351;346;
Архангельская область;525;453;404;399;388;392;376;
в том числе: ;;;;;;;;
Ненецкий автономный округ;43;38;37;37;37;35;28;
Архангельская область    без автономного округа;;;367;362;351;357;348;
Вологодская область;671;538;467;432;382;370;353;
Калининградская область;283;192;181;181;182;186;186;
Ленинградская область;459;412;380;379;379;384;383;
Мурманская область;225;187;169;170;165;170;168;
Новгородская область;302;243;186;180;171;171;28;
Псковская область;401;263;233;229;173;160;169;
г. Санкт-Петербург;781;745;737;741;735;740;744;
Южный            федеральный округ;4810;4131;3967;4563;4474;4516;4445;
Республика Адыгея;175;158;150;148;148;154;148;
Республика Калмыкия;203;171;167;165;166;174;164;
Республика Крым;…;…;…;583;563;565;560;
Краснодарский край;1433;1263;1238;1236;1226;1249;1245;
Астраханская область;352;317;291;290;285;280;277;
Волгоградская область;1289;1013;942;898;852;841;805;
Ростовская область;1358;1209;1179;1170;1162;1182;1176;
г. Севастополь;…;…;…;73;72;71;70;
Северо-Кавказский федеральный округ;3737;3519;3417;3393;3353;3364;3384;
Республика Дагестан;1687;1641;1545;1541;1489;1457;1463;
Республика Ингушетия ;115;120;117;113;115;117;123;
Кабардино-Балкарская    Республика;343;285;282;268;267;261;266;
Карачаево-Черкесская   Республика;192;182;179;179;180;179;178;
Республика Северная   Осетия - Алания;219;193;188;187;188;190;190;
Чеченская Республика ;460;449;479;480;492;521;527;
Ставропольский край;721;649;627;625;622;639;637;
Приволжский    федеральный округ;16428;12242;10648;10341;10004;9966;9827;
Республика Башкортостан;3132;1825;1498;1454;1369;1353;1320;
Республика Марий Эл;349;281;268;265;255;253;252;
Республика Мордовия;692;453;404;378;371;368;339;
Республика Татарстан;2422;2024;1508;1484;1426;1422;1429;
Удмуртская Республика;748;664;626;613;596;594;585;
Чувашская Республика;590;504;487;479;473;466;450;
Пермский край;1117;837;814;807;802;809;800;
Кировская область;850;620;588;578;562;561;537;
Нижегородская область ;1442;1052;876;872;838;851;845;
Оренбургская область;1446;1124;975;959;915;902;890;
Пензенская область;809;588;438;370;336;331;329;
Самарская область;830;750;728;715;711;714;711;
Саратовская область;1350;1016;955;934;920;923;923;
Ульяновская область;651;504;483;433;430;419;417;
Уральский         федеральный округ;4612;3650;3272;3222;3155;2974;2940;
Курганская область;776;548;377;368;353;362;356;
Свердловская область ;1310;1175;1098;1082;1062;1088;1086;
Тюменская область;1239;977;914;896;875;649;650;
в том числе:;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;387;364;333;332;323;329;325;
Ямало-Ненецкий     автономный округ;149;137;134;132;132;121;132;
Тюменская область    без автономных округов;;;447;432;420;199;193;
Челябинская область;1287;950;883;876;865;875;848;
Сибирский     федеральный округ;10109;8037;7477;7363;7226;7279;7026;
Республика Алтай;202;154;146;146;145;152;149;
Республика Бурятия;564;492;477;471;460;478;475;
Республика Тыва;176;173;171;170;170;180;176;
Республика Хакасия;283;190;181;181;180;182;181;
Алтайский край;1524;1206;1113;1084;1038;998;831;
Забайкальский край;643;618;599;589;574;580;573;
Красноярский край;1434;1076;1030;1030;1018;1017;1009;
Иркутская область;1353;1114;934;911;899;917;903;
Кемеровская область;1049;760;706;691;689;697;685;
Новосибирская область ;1152;1050;1004;986;982;996;992;
Омская область;1285;832;789;778;746;754;731;
Томская область;444;372;327;326;325;328;321;
Дальневосточный    федеральный округ;2853;2538;2395;2366;2321;2363;2339;
Республика Саха (Якутия);692;650;642;638;636;647;643;
Камчатский край;129;121;116;117;115;120;120;
Приморский край;687;613;555;552;550;566;558;
Хабаровский край ;485;414;400;398;392;399;392;
Амурская область;452;394;348;330;302;300;298;
Магаданская область;71;64;62;62;60;59;58;
Сахалинская область;188;166;160;159;158;163;161;
Еврейская автономная     область;100;74;70;68;67;67;67;
Чукотский автономный округ;49;42;42;42;41;42;42;
_____________;;;;;;;;
1) Здесь и далее с 2011/2012 учебного года - по данным Минпросвещения России.;;;;;;;;
2) До 2016/2017 учебного года - число общеобразовательных организаций (без вечерних (сменных) общеобразовательных организаций).;;;;;;;;
