Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
4.6. ЧИСЛЕННОСТЬ ОБУЧАЮЩИХСЯ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1);;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017 ;2017/2018 ;
Российская Федерация;15185,1;13317,7;13643,2;14191,6;14596,3;15219,0;15705,9;
Центральный федеральный округ;3446,6;3095,4;3207,1;3306,6;3424,6;3569,8;3700,0;
Белгородская область;158,6;136,2;139,3;145;147,7;152,7;156,0;
Брянская область;144,1;113,2;112,7;115,2;117,5;122,7;124,8;
Владимирская область;139,4;121,9;125,2;128,4;132,3;137,3;140,5;
Воронежская область;229,9;197,4;193,8;199,1;204;212,1;219,0;
Ивановская область;103,7;85,3;87,5;89,5;92;95,6;98,1;
Калужская область;97,7;86,5;90,4;93,7;97;101,1;105,1;
Костромская область;71;61,3;62,6;63,9;65,5;68,2;69,8;
Курская область;128,3;105,2;103,7;106,2;107,9;110,2;112,1;
Липецкая область;121,4;105;105,4;108,3;111,3;115,7;118,8;
Московская область;616,4;612,7;656,8;692,5;731,1;776,5;820,2;
Орловская область;85,5;71,6;69,8;71;72;73,2;75,4;
Рязанская область;116,5;95,4;95,9;97,6;99,8;103,1;106,0;
Смоленская область;98,8;80,8;80,3;81,7;84,1;88,6;90,8;
Тамбовская область;114;94,5;91,4;92;92,7;92,3;93,8;
Тверская область;139,2;117,6;120,5;123,2;126,2;131,8;134,4;
Тульская область;145,3;120,8;122,8;124,5;127,5;132,7;135,7;
Ярославская область;122,2;107,6;112,4;115,8;119,5;126,1;130,4;
г. Москва;814,3;782,4;836,6;859;896,7;929,7;969,2;
Северо-Западный     федеральный округ;1308,6;1147,2;1201,4;1230,6;1267,1;1329,3;1376,3;
Республика Карелия;74,7;63,3;63,6;64,3;65,4;68,1;69,5;
Республика Коми;119,2;97,1;96,1;96,9;98,2;100,7;101,7;
Архангельская область;137,7;120,4;122,2;123,5;126,1;131,2;133,3;
в том числе: ;;;;;;;;
Ненецкий автономный округ;6;5,7;5,8;5,8;6;6,2;6,3;
Архангельская область  без автономного округа;;;116,4;117,7;120;125,0;127,0;
Вологодская область;128;113,9;118,7;120,8;124;129,1;132,0;
Калининградская область;93,3;85;91,4;92,9;96,2;102,3;106,8;
Ленинградская область;146,4;126,6;129,6;132,9;136,8;146,2;153,3;
Мурманская область;90,9;74,9;74,1;75,2;76,6;79,0;80,6;
Новгородская область;63,6;55,9;56,8;58,4;59,7;61,8;63,6;
Псковская область;72,4;59,3;59,7;60,6;61,9;64,7;65,8;
г. Санкт-Петербург;382,2;350,9;389,2;405,1;422,2;446,1;469,5;
Южный           федеральный округ;1436,6;1275,4;1304;1579,3;1618,3;1694,0;1752,4;
Республика Адыгея;48;43,7;44,4;45,2;46,2;48,2;50,4;
Республика Калмыкия;41,7;31,8;31,2;31,4;31,6;32,6;33,4;
Республика Крым;…;…;…;187,9;186;194,8;200,9;
Краснодарский край;542,9;501,2;523,2;550,7;576;611,1;638,6;
Астраханская область;112,3;97,8;102;104,8;108,4;113,3;117,1;
Волгоградская область;264,8;225,2;228;232,7;238,2;246,1;251,5;
Ростовская область;426,7;375,7;375,1;388,4;393,9;407,0;417,9;
г. Севастополь;…;…;…;38,2;38;40,9;42,5;
Северо-Кавказский   федеральный округ;1274,4;1123,9;1132,5;1158,5;1181,8;1215,4;1254,1;
Республика Дагестан;432,5;380,6;368,3;370,8;374,6;381,6;393,3;
Республика Ингушетия ;64,9;54,9;61,2;63,6;65,5;64,1;68,8;
Кабардино-Балкарская Республика;115,3;91,8;88,5;89,9;91,7;95,9;99,3;
Карачаево-Черкесская Республика;55,7;46,5;47,1;48,3;49,8;51,5;50,7;
Республика Северная Осетия - Алания;91,4;81,1;80;81,2;81,3;82,3;84,1;
Чеченская Республика ;214,8;213,4;232,5;243,6;251,9;262,1;272,4;
Ставропольский край;299,7;255,6;255;261,2;267;277,7;285,6;
Приволжский федеральный округ;3345,9;2836,3;2832,9;2867,9;2928,9;3037,9;3122,5;
Республика Башкортостан;513,4;438,7;429,1;432,7;441,8;456,6;468,3;
Республика Марий Эл;82;66,1;66,8;68,1;69,8;72,8;74,8;
Республика Мордовия;89,2;69;67,4;67,9;68,8;70,6;71,6;
Республика Татарстан;441,8;378,7;370,2;372,7;377,4;390,3;404,4;
Удмуртская Республика;172,5;153,7;159,6;162,4;166,7;173,6;178,8;
Чувашская Республика;154,8;125,1;123;123,8;125,5;130,1;134,5;
Пермский край;298;270,8;276,8;280,9;288;300,9;308,0;
Кировская область;142,7;120,6;121,6;123,3;126,4;132,3;135,4;
Нижегородская область ;328,3;280,8;285,7;290,1;298,1;309,5;318,0;
Оренбургская область;253,5;208,8;205,8;208,6;212,5;220,4;226,8;
Пензенская область;142,4;112;111,4;113,4;115,7;118,9;122,4;
Самарская область;318,9;280,6;287,2;292,6;301,1;314,2;324,1;
Саратовская область;267,3;219,7;218,5;221,2;225,5;232,9;237,7;
Ульяновская область;141;111,6;109,7;110,2;111,6;114,8;117,5;
Уральский   федеральный округ;1325,5;1186,9;1254,3;1286,4;1330,5;1397,3;1448,8;
Курганская область;108;89,9;89,7;90,5;92,9;97,1;98,6;
Свердловская область ;434;392,5;421,3;431,9;446,8;470,0;488,5;
Тюменская область;418,5;380,5;403,9;417,2;431,6;454,6;473,8;
в том числе:;;;;;;;;
Ханты-Мансийский  автономный округ - Югра;188,7;174,6;184,9;189,9;194,9;202,7;210,3;
Ямало-Ненецкий  автономный округ;78,2;68,5;68,4;69,3;70;71,8;73,2;
Тюменская область     без автономных округов;;;150,6;158;166,6;180,1;190,3;
Челябинская область;364,8;324;339,5;346,7;359,2;375,7;387,9;
Сибирский   федеральный округ;2265,5;1985,3;2042,1;2086,3;2154,2;2253,5;2322,4;
Республика Алтай;30,8;29;30,5;31,7;33,3;35,1;36,2;
Республика Бурятия;129,2;115,1;123,6;126;130,7;135,4;138,8;
